ID,Urne,QR-Code,Categorie,1 - Proteger les pietons et reduire les nuisances sonores,2 - Developper le commerce de proximite dans le quartier de l Europe,3 - Poursuivre le renouveau du parc Monceau,4 - Renover les grilles de l avenue Ruysdael et les allees du parc Monceau,5 - Restaurer la facade ouest de l eglise de la Madeleine et ses statues,6 - Restaurer le patrimoine de la place de la Concorde,7 - Restaurer les grilles emblematiques du parc Monceau - avenue Van Dyck,8 - Restaurer les grilles emblematiques du parc Monceau - avenue Velasquez,9 - Restaurer les grilles emblematiques du parc Monceau - Bd de Courcelles,"10 - Apaiser, vegetaliser des rues et places de l arrondissement",11 - Renover le marche aux fleurs de la Madeleine et le gymnase Condorcet,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
66136,U08-002,2022AR08B,Valide,2,2,2,3,3,1,2,2,3,1,2,11,2,6,3,0,0
66138,U08-001,2022AR08B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
66142,U75-003,2022AR08A,Valide,1,3,1,1,2,1,1,1,1,1,2,11,8,2,1,0,0
66147,U08-002,2022AR08B,Valide,1,1,2,3,3,3,3,3,3,1,3,11,3,1,7,0,0
66151,U08-004,2022AR08A,Valide,2,novote,2,2,2,novote,2,2,2,1,novote,8,1,7,0,0,3
66161,U08-007,2022AR08B,Valide,1,1,novote,novote,novote,2,novote,novote,3,novote,novote,4,2,1,1,0,7
66163,U08-004,2022AR08A,Valide,1,novote,novote,1,novote,novote,1,novote,novote,1,novote,4,4,0,0,0,7
66165,U08-001,2022AR08A,Nul,novote,2,novote,novote,novote,novote,novote,novote,novote,1,novote,2,1,1,0,0,9
66168,U08-002,2022AR08B,Nul,novote,novote,novote,novote,1,1,1,1 2,1 2,1 2,1 2,3,3,0,0,0,4
66175,U08-005,2022AR08A,Valide,1,3,2,2,1,1,2,2,2,1,3,11,4,5,2,0,0
66176,U08-004,2022AR08A,Valide,2,2,3,3,3,3,3,3,3,1,3,11,1,2,8,0,0
66179,U08-002,2022AR08B,Nul,4,4,3,2,4,2,1 2,2,4,4,3,10,0,3,2,5,0
66186,U08-001,2022AR08A,Valide,2,2,1,1,1,2,1,1,1,2,2,11,6,5,0,0,0
66188,U08-004,2022AR08B,Valide,2,2,1,3,3,3,3,2,1,2,3,11,2,4,5,0,0
66195,U08-002,2022AR08A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
66209,U08-001,2022AR08A,Valide,3,3,1,3,3,3,3,3,3,1,1,11,3,0,8,0,0
66213,U08-002,2022AR08B,Valide,2,3,3,3,2,2,3,3,3,1,2,11,1,4,6,0,0
66218,U08-002,2022AR08B,Valide,1,1,2,2,1,1,2,2,2,2,1,11,5,6,0,0,0
66221,U08-003,2022AR08B,Valide,2,2,novote,novote,1,1,novote,novote,novote,1,2,6,3,3,0,0,5
66225,U08-002,2022AR08B,Valide,2,1,1,1,1,1,2,2,1,1,1,11,8,3,0,0,0
66245,U08-001,2022AR08A,Valide,novote,novote,novote,novote,1,1,novote,novote,novote,1,1,4,4,0,0,0,7
66249,U08-004,2022AR08A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
66252,U08-002,2022AR08A,Nul,1 2 3 4,1 2 3 4,1 2 3,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,7
