ID,Urne,QR-Code,Categorie,1 - Renover le terrain du stade de la Muette,2 - Acquerir un kiosque mobile d informations sociales pour Auteuil-Sud,3 - Nettoyer le mur des rampes du Pont de Bir-Hakeim,4 - Nettoyer les murs exterieurs du cimetiere de Passy,5 - Apaiser la circulation automobile dans le 16e,6 - Installer des preaux dans deux ecoles du 16e,7 - Aider a la renovation du domaine de Bagatelle,8 - Restaurer le monument Claude Debussy,9 - Ameliorer le cadre de vie dans le Bois de Boulogne,10 - Restaurer la Fontaine Victor Hugo,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
11461,U16-004,2022AR16A,Valide,2,novote,novote,novote,2,novote,2,novote,2,novote,4,0,4,0,0,6
11464,U16-004,2022AR16A,Nul,novote,2,novote,novote,2,1,novote,novote,novote,novote,3,1,2,0,0,7
11473,U16-004,2022AR16A,Valide,2,2,2,2,1,1,novote,novote,novote,novote,6,2,4,0,0,4
11482,U16-004,2022AR16A,Valide,3,1,2,2,3,1,2,2,1,2,10,3,5,2,0,0
11484,U16-004,2022AR16B,Nul,2,novote,novote,novote,1,3,novote,novote,novote,novote,3,1,1,1,0,7
11485,U16-004,2022AR16A,Valide,3,3,2,3,1,3,3,3,2,3,10,1,2,7,0,0
11504,U16-004,2022AR16A,Valide,3,novote,novote,novote,2,1,novote,novote,novote,3,4,1,1,2,0,6
11524,U16-004,2022AR16A,Valide,1,1,1,1,1,1,3,1,1,1,10,9,0,1,0,0
11533,U16-004,2022AR16B,Valide,1,2,2,3,2,1,2,2,1,3,10,3,5,2,0,0
11535,U16-004,2022AR16A,Valide,2,1,2,1,1,1,3,1,1,1,10,7,2,1,0,0
11538,U16-004,2022AR16B,Valide,1,novote,novote,novote,1,1,novote,novote,1,novote,4,4,0,0,0,6
11544,U16-004,2022AR16A,Valide,2,1,4,1,1,1,1,1,1,1,10,8,1,0,1,0
11547,U16-004,2022AR16B,Valide,3,1,1,3,2,3,3,2,3,3,10,2,2,6,0,0
11552,U16-004,2022AR16A,Valide,1,novote,novote,novote,1,novote,1,novote,novote,1,4,4,0,0,0,6
11557,U16-004,2022AR16B,Valide,3,1,1,1,1,3,1,2,2,2,10,5,3,2,0,0
11562,U16-004,2022AR16A,Valide,novote,novote,novote,novote,1,1,1,novote,1,novote,4,4,0,0,0,6
11564,U16-004,2022AR16A,Valide,2,2,1,2,1,2,2,1,1,2,10,4,6,0,0,0
11571,U16-004,2022AR16B,Valide,1,2,3,3,1,1,3,1,4,3,10,4,1,4,1,0
11575,U16-004,2022AR16B,Valide,novote,novote,2,1,4,2,novote,novote,1,novote,5,2,2,0,1,5
11587,U16-004,2022AR16A,Valide,2,4,novote,2,2,1,2,3,1,novote,8,2,4,1,1,2
11590,U16-004,2022AR16A,Valide,2,3,3,2,2,2,2,3,2,2,10,0,7,3,0,0
11594,U16-004,2022AR16A,Valide,1,1,1,3,1,1,1,3,1,3,10,7,0,3,0,0
11597,U16-004,2022AR16A,Valide,3,2,3,3,1,3,4,3,1,3,10,2,1,6,1,0
