ID,Urne,QR-Code,Categorie,1 - Renover le terrain du stade de la Muette,2 - Acquerir un kiosque mobile d informations sociales pour Auteuil-Sud,3 - Nettoyer le mur des rampes du Pont de Bir-Hakeim,4 - Nettoyer les murs exterieurs du cimetiere de Passy,5 - Apaiser la circulation automobile dans le 16e,6 - Installer des preaux dans deux ecoles du 16e,7 - Aider a la renovation du domaine de Bagatelle,8 - Restaurer le monument Claude Debussy,9 - Ameliorer le cadre de vie dans le Bois de Boulogne,10 - Restaurer la Fontaine Victor Hugo,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
45,U16-005,2022AR16B,Nul,novote,novote,novote,1,novote,novote,novote,1,1,novote,3,3,0,0,0,7
55,U16-005,2022AR16A,Valide,2,novote,1,novote,1,novote,3,2,1,novote,6,3,2,1,0,4
56,U16-005,2022AR16A,Valide,4,1,3,3,1,3,3,3,3,2,10,2,1,6,1,0
60,U16-005,2022AR16B,Valide,1,1,1,novote,1,1,1,1,1,1,9,9,0,0,0,1
62,U16-005,2022AR16B,Nul,novote,1,novote,novote,novote,2,novote,novote,novote,novote,2,1,1,0,0,8
64,U16-005,2022AR16A,Valide,2,novote,novote,novote,1,1,1,novote,novote,novote,4,3,1,0,0,6
69,U16-005,2022AR16B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
73,U16-005,2022AR16B,Valide,novote,novote,2,2,novote,2,novote,novote,novote,2,4,0,4,0,0,6
75,U16-005,2022AR16B,Nul,novote,1,novote,novote,novote,1,novote,novote,novote,novote,2,2,0,0,0,8
80,U16-005,2022AR16A,Valide,4,4,4,4,4,4,1,4,1,3,10,2,0,1,7,0
93,U16-005,2022AR16A,Valide,novote,novote,1,novote,1,novote,1,novote,1,novote,4,4,0,0,0,6
97,U16-005,2022AR16A,Valide,1,3,2,2,4,1,2,3,1,2,10,3,4,2,1,0
102,U16-005,2022AR16B,Valide,3,2,3,novote,1,1,2,novote,1,novote,7,3,2,2,0,3
119,U16-005,2022AR16B,Valide,4,1,3,3,2,4,2,4,1,4,10,2,2,2,4,0
129,U16-005,2022AR16A,Valide,2,4,2,4,2,4,3,1,2,2,10,1,5,1,3,0
133,U16-005,2022AR16A,Valide,2,2,2,1,4,1,2,4,1,2,10,3,5,0,2,0
155,U16-005,2022AR16B,Valide,novote,novote,2,novote,2,novote,1,novote,1,novote,4,2,2,0,0,6
162,U16-005,2022AR16A,Valide,3,3,3,3,2,3,3,4,4,4,10,0,1,6,3,0
163,U16-005,2022AR16B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,9
164,U16-005,2022AR16B,Valide,2,3,4,4,4,2,3,4,3,4,10,0,2,3,5,0
165,U16-005,2022AR16A,Valide,1,4,2,2,1,3,3,3,4,3,10,2,2,4,2,0
170,U16-005,2022AR16B,Valide,2,1,2,2,2,1,1,novote,1,2,9,4,5,0,0,1
178,U16-005,2022AR16A,Valide,1,2,1,2,4,2,2,1,1,1,10,5,4,0,1,0
185,U16-005,2022AR16A,Valide,3,3,3,3,3,3,3,3,3,3,10,0,0,10,0,0
191,U16-005,2022AR16A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
194,U16-005,2022AR16B,Valide,1,1,1,2,1,2,2,2,1,1,10,6,4,0,0,0
197,U16-005,2022AR16B,Valide,1,novote,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,6
198,U16-005,2022AR16B,Valide,4,1,2,2,2,2,2,2,4,1,10,2,6,0,2,0
200,U16-005,2022AR16B,Valide,novote,1,2,2,4,2,novote,1,3,3,8,2,3,2,1,2
205,U16-005,2022AR16A,Valide,3,2,3,3,1,1,3,3,1,2,10,3,2,5,0,0
207,U16-005,2022AR16B,Valide,2,1,2,2,2,4,2,4,1,4,10,2,5,0,3,0
210,U16-005,2022AR16B,Valide,2,2,2,3,3,2,1,1,1,1,10,4,4,2,0,0
219,U16-005,2022AR16B,Valide,novote,1,novote,novote,novote,1,1,novote,1,novote,4,4,0,0,0,6
223,U16-005,2022AR16A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
232,U16-005,2022AR16A,Valide,novote,1,novote,1,1,1,novote,novote,novote,novote,4,4,0,0,0,6
233,U16-005,2022AR16A,Valide,1,novote,novote,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
237,U16-005,2022AR16B,Valide,novote,novote,novote,novote,3,1,novote,novote,3,4,4,1,0,2,1,6
256,U16-005,2022AR16A,Nul,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,1,1,0,0,0,9
263,U16-005,2022AR16A,Valide,4,4,4,2,4,2,1,novote,1,1,9,3,2,0,4,1
269,U16-005,2022AR16B,Valide,1,1,novote,2,3,2,2,novote,novote,2,7,2,4,1,0,3
270,U16-005,2022AR16B,Nul,novote,novote,novote,novote,2,novote,novote,novote,1,1,3,2,1,0,0,7
277,U16-005,2022AR16A,Nul,novote,novote,1,1,1,novote,novote,novote,novote,novote,3,3,0,0,0,7
286,U16-005,2022AR16B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
293,U16-005,2022AR16B,Valide,1,novote,2,2,3,2,4,3,2,2,9,1,5,2,1,1
296,U16-005,2022AR16B,Valide,novote,novote,1,1,novote,novote,novote,novote,1,1,4,4,0,0,0,6
300,U16-005,2022AR16A,Valide,1,novote,1,1,2,novote,2,3,1,3,8,4,2,2,0,2
303,U16-005,2022AR16B,Valide,3,3,2,2,1,2,2,3,2,1,10,2,5,3,0,0
309,U16-005,2022AR16A,Valide,3,3,1,1,4,3,2,2,2,2,10,2,4,3,1,0
311,U16-005,2022AR16B,Valide,2,1,2,3,4,1,1,novote,2,3,9,3,3,2,1,1
318,U16-005,2022AR16A,Valide,3,1,2,2,1,3,2,2,2,2,10,2,6,2,0,0
333,U16-005,2022AR16B,Valide,4,3,2,3,3,4,2,4,1,4,10,1,2,3,4,0
338,U16-005,2022AR16B,Valide,novote,1,1,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
352,U16-005,2022AR16A,Valide,1,2,1,1,2,novote,novote,novote,novote,novote,5,3,2,0,0,5
353,U16-005,2022AR16A,Valide,1,1,1,novote,1,1,1,novote,1,1,8,8,0,0,0,2
359,U16-005,2022AR16A,Valide,3,4,3,3,3,1,1,3,3,1,10,3,0,6,1,0
361,U16-005,2022AR16B,Valide,3,3,3,2,3,3,1,1,3,4,10,2,1,6,1,0
370,U16-005,2022AR16A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
375,U16-005,2022AR16B,Valide,novote,2,2,novote,2,novote,novote,2,novote,novote,4,0,4,0,0,6
380,U16-005,2022AR16A,Valide,2,novote,4,novote,novote,1,novote,novote,2,novote,4,1,2,0,1,6
407,U16-005,2022AR16A,Valide,novote,2,novote,2,novote,novote,2,novote,novote,1,4,1,3,0,0,6
412,U16-005,2022AR16A,Valide,3,3,3,3,3,3,3,3,3,3,10,0,0,10,0,0
419,U16-005,2022AR16A,Valide,2,2,1,3,1,2,2,3,2,3,10,2,5,3,0,0
423,U16-005,2022AR16B,Valide,novote,novote,1,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
424,U16-005,2022AR16A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
432,U16-005,2022AR16A,Valide,3,3,1,2,4,3,2,2,3,3,10,1,3,5,1,0
434,U16-005,2022AR16B,Valide,2,2,2,2,1,2,1,2,2,1,10,3,7,0,0,0
446,U16-005,2022AR16B,Valide,1,1,3,3,1,3,1,novote,1,novote,8,5,0,3,0,2
448,U16-005,2022AR16B,Valide,1,novote,3,novote,3,novote,novote,novote,2,novote,4,1,1,2,0,6
449,U16-005,2022AR16A,Nul,novote,novote,novote,novote,1,novote,novote,novote,1,1,3,3,0,0,0,7
456,U16-005,2022AR16A,Valide,novote,3,novote,novote,3,novote,novote,3,1,novote,4,1,0,3,0,6
459,U16-005,2022AR16A,Valide,1,2,1,1,novote,novote,novote,novote,novote,novote,4,3,1,0,0,6
462,U16-005,2022AR16A,Valide,1,novote,novote,novote,1,1,novote,novote,1,novote,4,4,0,0,0,6
466,U16-005,2022AR16B,Valide,3,4,1,2,4,1,1,2,1,1,10,5,2,1,2,0
476,U16-005,2022AR16A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
489,U16-005,2022AR16A,Valide,1,2,1,1,4,novote,novote,novote,novote,novote,5,3,1,0,1,5
500,U16-005,2022AR16B,Nul,1,1,2,2,1,2,1,1 2,1,1,9,6,3,0,0,0
501,U16-005,2022AR16B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
504,U16-005,2022AR16A,Valide,2,novote,novote,novote,novote,2,1,novote,1,novote,4,2,2,0,0,6
505,U16-005,2022AR16A,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
506,U16-005,2022AR16B,Nul,novote,novote,novote,novote,1,1,1,novote,novote,novote,3,3,0,0,0,7
509,U16-005,2022AR16A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
520,U16-005,2022AR16A,Valide,novote,1,novote,novote,2,1,novote,novote,1,novote,4,3,1,0,0,6
527,U16-005,2022AR16A,Valide,3,novote,1,novote,2,1,novote,2,novote,novote,5,2,2,1,0,5
528,U16-005,2022AR16A,Valide,1,1,2,1,1,1,novote,novote,novote,1,7,6,1,0,0,3
539,U16-005,2022AR16A,Valide,novote,novote,4,novote,4,novote,novote,novote,4,4,4,0,0,0,4,6
544,U16-005,2022AR16A,Valide,3,1,1,1,1,1,1,3,1,1,10,8,0,2,0,0
545,U16-005,2022AR16A,Valide,novote,novote,novote,2,2,2,novote,novote,2,novote,4,0,4,0,0,6
546,U16-005,2022AR16B,Valide,2,4,2,2,1,2,2,3,3,3,10,1,5,3,1,0
550,U16-005,2022AR16B,Valide,1,1,2,2,2,1,2,2,novote,2,9,3,6,0,0,1
560,U16-005,2022AR16B,Valide,1,1,1,1,1,novote,1,1,2,1,9,8,1,0,0,1
564,U16-005,2022AR16B,Valide,3,1,3,3,1,2,2,2,1,2,10,3,4,3,0,0
568,U16-005,2022AR16A,Valide,1,novote,1,novote,1,1,1,novote,novote,novote,5,5,0,0,0,5
577,U16-005,2022AR16A,Valide,novote,novote,1,novote,novote,novote,1,1,1,novote,4,4,0,0,0,6
582,U16-005,2022AR16A,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,6
583,U16-005,2022AR16B,Valide,1,novote,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,6
587,U16-005,2022AR16A,Nul,novote,novote,novote,novote,novote,1,novote,novote,1,novote,2,2,0,0,0,8
597,U16-005,2022AR16A,Valide,1,1,1,1,2,2,1,1,2,1,10,7,3,0,0,0
607,U16-005,2022AR16B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
609,U16-005,2022AR16A,Valide,novote,2,novote,novote,novote,2,2,novote,1,novote,4,1,3,0,0,6
627,U16-005,2022AR16B,Valide,4,4,1,2,1,3,novote,2,3,3,9,2,2,3,2,1
628,U16-005,2022AR16A,Valide,2,4,2,2,4,2,1,3,1,3,10,2,4,2,2,0
643,U16-005,2022AR16A,Valide,novote,4,1,novote,3,novote,novote,novote,3,novote,4,1,0,2,1,6
646,U16-005,2022AR16A,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,0,0,0,9
649,U16-005,2022AR16A,Valide,1,1,1,2,2,2,2,1,1,1,10,6,4,0,0,0
654,U16-005,2022AR16A,Valide,1,novote,novote,novote,1,novote,3,4,3,4,6,2,0,2,2,4
656,U16-005,2022AR16A,Valide,1,1,1,1,novote,1,1,1,1,1,9,9,0,0,0,1
663,U16-005,2022AR16B,Valide,novote,novote,novote,novote,1,1,1,1,novote,novote,4,4,0,0,0,6
683,U16-005,2022AR16A,Valide,2,1,4,4,3,1,2,3,1,2,10,3,3,2,2,0
706,U16-005,2022AR16A,Valide,novote,2,1,3,3,2,1,1,3,4,9,3,2,3,1,1
712,U16-005,2022AR16A,Valide,1,1,novote,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,6
717,U16-005,2022AR16A,Valide,1,1,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,6
720,U16-005,2022AR16A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
731,U16-005,2022AR16A,Valide,2,1,1,2,1,1,2,1,1,2,10,6,4,0,0,0
749,U16-005,2022AR16B,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,4,4,0,0,0,6
751,U16-005,2022AR16B,Valide,2,2,2,2,2,2,2,2,1,1,10,2,8,0,0,0
754,U16-005,2022AR16A,Valide,2,3,1,3,1,1,3,3,2,3,10,3,2,5,0,0
760,U16-005,2022AR16B,Valide,2,1,1,1,2,1,1,1,1,1,10,8,2,0,0,0
766,U16-005,2022AR16A,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,0,0,0,9
769,U16-005,2022AR16B,Valide,2,novote,2,novote,novote,2,2,novote,novote,novote,4,0,4,0,0,6
772,U16-005,2022AR16A,Valide,novote,3,1,3,2,3,4,3,1,4,9,2,1,4,2,1
776,U16-005,2022AR16A,Valide,3,3,1,1,1,3,1,3,3,2,10,4,1,5,0,0
779,U16-005,2022AR16A,Valide,1,1,novote,novote,1,2,1,novote,novote,novote,5,4,1,0,0,5
789,U16-005,2022AR16A,Valide,4,3,1,4,1,2,4,4,3,4,10,2,1,2,5,0
7942,U16-004,2022AR16B,Valide,1,novote,1,1,novote,1,novote,novote,novote,novote,4,4,0,0,0,6
7945,U16-004,2022AR16B,Valide,1,3,3,2,1,1,2,3,2,4,10,3,3,3,1,0
7948,U16-004,2022AR16A,Valide,1,2,2,1,1,2,1,3,novote,3,9,4,3,2,0,1
7950,U16-004,2022AR16A,Valide,2,3,1,1,2,1,novote,novote,novote,1,7,4,2,1,0,3
7952,U16-004,2022AR16A,Valide,novote,1,novote,novote,1,1,novote,novote,1,novote,4,4,0,0,0,6
7962,U16-004,2022AR16A,Valide,novote,novote,2,novote,2,novote,novote,novote,4,4,4,0,2,0,2,6
7966,U16-004,2022AR16B,Valide,1,2,3,1,3,4,2,1,2,1,10,4,3,2,1,0
7968,U16-004,2022AR16A,Valide,1,novote,1,1,novote,novote,1,1,1,1,7,7,0,0,0,3
7969,U16-004,2022AR16A,Valide,2,4,2,3,2,3,2,2,2,3,10,0,6,3,1,0
7977,U16-004,2022AR16A,Valide,1,novote,novote,novote,1,novote,1,novote,1,novote,4,4,0,0,0,6
7985,U16-004,2022AR16A,Valide,novote,novote,1,1,novote,novote,1,novote,1,novote,4,4,0,0,0,6
7995,U16-004,2022AR16A,Valide,1,2,1,2,2,1,novote,2,novote,2,8,3,5,0,0,2
7996,U16-004,2022AR16A,Valide,1,novote,novote,novote,1,2,novote,novote,1,novote,4,3,1,0,0,6
8002,U16-004,2022AR16B,Valide,1,2,4,2,2,1,3,2,4,2,10,2,5,1,2,0
8029,U16-004,2022AR16A,Valide,1,3,3,3,4,2,novote,3,4,2,9,1,2,4,2,1
8037,U16-004,2022AR16A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
8039,U16-004,2022AR16A,Valide,1,novote,novote,novote,1,1,novote,novote,1,novote,4,4,0,0,0,6
8046,U16-004,2022AR16B,Valide,1,3,2,1,4,1,novote,4,4,4,9,3,1,1,4,1
8055,U16-004,2022AR16A,Valide,2,2,2,2,1,2,novote,2,1,1,9,3,6,0,0,1
8058,U16-004,2022AR16A,Nul,novote,novote,1,2,novote,novote,novote,novote,novote,novote,2,1,1,0,0,8
8061,U16-004,2022AR16A,Valide,3,4,4,4,2,1,4,4,4,4,10,1,1,1,7,0
8063,U16-004,2022AR16A,Valide,1,novote,novote,novote,1,novote,novote,1,1,novote,4,4,0,0,0,6
8073,U16-004,2022AR16A,Valide,novote,4,4,4,4,1,1,novote,1,novote,7,3,0,0,4,3
8075,U16-004,2022AR16B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,9
8086,U16-004,2022AR16A,Valide,1,1,2,2,2,1,1,3,1,2,10,5,4,1,0,0
8099,U16-004,2022AR16B,Valide,3,1,2,novote,2,1,1,novote,2,novote,7,3,3,1,0,3
8103,U16-004,2022AR16A,Valide,2,2,1,1,3,2,4,3,4,2,10,2,4,2,2,0
8104,U16-004,2022AR16B,Valide,2,4,3,4,1,1,2,3,3,3,10,2,2,4,2,0
8106,U16-004,2022AR16A,Valide,1,novote,1,novote,novote,novote,1,novote,1,novote,4,4,0,0,0,6
8111,U16-004,2022AR16B,Valide,1,1,2,1,1,2,3,3,1,2,10,5,3,2,0,0
8116,U16-004,2022AR16A,Valide,novote,novote,1,1,1,1,novote,novote,1,novote,5,5,0,0,0,5
8117,U16-004,2022AR16A,Nul,novote,novote,novote,novote,1,1,novote,novote,1,novote,3,3,0,0,0,7
8118,U16-004,2022AR16A,Valide,3,4,1,2,1,1,1,novote,1,3,9,5,1,2,1,1
8127,U16-004,2022AR16B,Valide,2,3,novote,novote,1,1,novote,1,1,4,7,4,1,1,1,3
8137,U16-004,2022AR16B,Valide,2,3,2,2,4,2,3,4,1,4,10,1,4,2,3,0
8151,U16-004,2022AR16A,Valide,3,3,3,3,3,1,1,1,2,3,10,3,1,6,0,0
8154,U16-004,2022AR16A,Valide,novote,novote,novote,1,novote,1,1,1,1,1,6,6,0,0,0,4
8158,U16-004,2022AR16B,Valide,1,1,1,1,3,1,2,3,1,2,10,6,2,2,0,0
8166,U16-004,2022AR16A,Valide,1,novote,novote,novote,1,novote,2,novote,1,novote,4,3,1,0,0,6
8168,U16-004,2022AR16A,Valide,1,3,3,3,1,2,1,3,2,3,10,3,2,5,0,0
8177,U16-004,2022AR16A,Valide,2,2,1,1,3,3,2,2,2,4,10,2,5,2,1,0
8181,U16-004,2022AR16A,Valide,2,novote,2,4,2,2,4,4,4,novote,8,0,4,0,4,2
8183,U16-004,2022AR16B,Valide,novote,novote,novote,novote,2,4,4,4,novote,4,5,0,1,0,4,5
8192,U16-004,2022AR16B,Valide,3,2,3,3,4,1,3,3,2,4,10,1,2,5,2,0
8224,U16-004,2022AR16B,Valide,2,4,4,4,2,4,2,4,2,2,10,0,5,0,5,0
8232,U16-004,2022AR16A,Valide,4,4,4,2,3,4,4,4,2,4,10,0,2,1,7,0
8235,U16-004,2022AR16A,Valide,4,3,3,3,4,3,1,3,2,3,10,1,1,6,2,0
8236,U16-004,2022AR16A,Valide,2,2,1,novote,1,1,1,3,2,3,9,4,3,2,0,1
8242,U16-004,2022AR16B,Valide,novote,novote,novote,4,1,1,novote,novote,1,novote,4,3,0,0,1,6
8248,U16-004,2022AR16A,Nul,novote,novote,novote,novote,1,1,novote,novote,novote,novote,2,2,0,0,0,8
8249,U16-004,2022AR16B,Valide,2,novote,novote,novote,2,2,novote,novote,3,novote,4,0,3,1,0,6
8250,U16-004,2022AR16A,Valide,3,2,3,3,1,2,3,3,2,3,10,1,3,6,0,0
8255,U16-004,2022AR16A,Valide,3,3,2,2,1,3,3,3,4,novote,9,1,2,5,1,1
8257,U16-004,2022AR16A,Nul,novote,novote,novote,novote,1,1,novote,novote,novote,novote,2,2,0,0,0,8
8276,U16-004,2022AR16A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
8282,U16-004,2022AR16A,Valide,3,2,1,1,2,1,3,novote,4,3,9,3,2,3,1,1
8284,U16-004,2022AR16A,Valide,3,3,2,4,2,2,2,4,1,3,10,1,4,3,2,0
8296,U16-004,2022AR16B,Valide,2,3,novote,novote,1,1,novote,novote,novote,novote,4,2,1,1,0,6
8297,U16-004,2022AR16A,Nul,novote,novote,1,novote,1,novote,novote,novote,1,novote,3,3,0,0,0,7
8313,U16-004,2022AR16A,Valide,novote,novote,3,2,2,1,novote,novote,novote,novote,4,1,2,1,0,6
8314,U16-004,2022AR16A,Valide,novote,3,2,2,2,1,novote,novote,1,4,7,2,3,1,1,3
8338,U16-004,2022AR16A,Valide,novote,2,2,novote,novote,1,novote,novote,2,novote,4,1,3,0,0,6
8340,U16-004,2022AR16B,Valide,2,3,novote,4,2,2,3,2,3,2,9,0,5,3,1,1
8346,U16-004,2022AR16A,Valide,1,4,1,4,4,2,4,1,4,4,10,3,1,0,6,0
8347,U16-004,2022AR16B,Valide,novote,4,4,4,novote,1,novote,novote,4,novote,5,1,0,0,4,5
8349,U16-004,2022AR16B,Valide,1,novote,novote,novote,1,1,novote,novote,novote,1,4,4,0,0,0,6
8366,U16-004,2022AR16A,Valide,1,2,2,novote,2,2,2,2,1,2,9,2,7,0,0,1
8368,U16-004,2022AR16A,Valide,1,novote,2,2,2,novote,novote,novote,1,novote,5,2,3,0,0,5
8370,U16-004,2022AR16B,Valide,novote,1,novote,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
8373,U16-004,2022AR16A,Valide,2,novote,1,1,1,2,1,1,1,1,9,7,2,0,0,1
8376,U16-004,2022AR16A,Valide,1,novote,1,1,4,4,1,1,2,2,9,5,2,0,2,1
8379,U16-004,2022AR16A,Valide,4,4,2,2,2,2,2,4,4,novote,9,0,5,0,4,1
8382,U16-004,2022AR16A,Valide,novote,novote,1,1,1,1,novote,novote,1,1,6,6,0,0,0,4
8390,U16-004,2022AR16B,Valide,1,1,1,1,1,1,2,2,2,1,10,7,3,0,0,0
8395,U16-004,2022AR16B,Valide,4,4,4,4,novote,novote,novote,novote,1,novote,5,1,0,0,4,5
8396,U16-004,2022AR16A,Valide,3,1,2,3,3,2,1,4,1,4,10,3,2,3,2,0
8397,U16-004,2022AR16B,Valide,2,3,2,1,3,2,3,2,2,2,10,1,6,3,0,0
8404,U16-004,2022AR16A,Valide,3,4,3,2,3,2,2,3,2,3,10,0,4,5,1,0
8410,U16-004,2022AR16A,Valide,3,3,2,2,2,2,3,3,3,3,10,0,4,6,0,0
8413,U16-004,2022AR16B,Valide,1,2,2,2,1,1,1,2,1,2,10,5,5,0,0,0
8419,U16-004,2022AR16A,Valide,novote,1,novote,novote,2,1,novote,novote,1,novote,4,3,1,0,0,6
8427,U16-004,2022AR16B,Valide,3,3,3,3,1,2,3,3,3,4,10,1,1,7,1,0
8437,U16-004,2022AR16B,Valide,1,2,1,1,2,1,1,1,2,1,10,7,3,0,0,0
8440,U16-004,2022AR16B,Valide,1,1,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,6
8446,U16-004,2022AR16B,Valide,1,1,2,4,1,1,1,4,1,3,10,6,1,1,2,0
8449,U16-004,2022AR16B,Valide,2,2,1,2,2,3,3,3,2,3,10,1,5,4,0,0
8455,U16-004,2022AR16A,Valide,2,3,1,2,1,3,1,3,1,3,10,4,2,4,0,0
8456,U16-004,2022AR16A,Valide,1,novote,novote,novote,1,1,novote,novote,1,novote,4,4,0,0,0,6
8463,U16-004,2022AR16A,Valide,3,2,2,1,2,1,2,2,1,2,10,3,6,1,0,0
8469,U16-004,2022AR16A,Nul,novote,novote,novote,novote,1,novote,novote,novote,1,novote,2,2,0,0,0,8
8486,U16-004,2022AR16A,Valide,3,3,2,2,1,1,2,3,2,2,10,2,5,3,0,0
8490,U16-004,2022AR16B,Valide,2,3,3,3,2,3,2,3,1,3,10,1,3,6,0,0
8491,U16-004,2022AR16A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
8494,U16-004,2022AR16A,Valide,2,1,novote,novote,novote,novote,2,novote,2,novote,4,1,3,0,0,6
8502,U16-004,2022AR16A,Valide,1,4,3,1,3,2,2,2,1,2,10,3,4,2,1,0
8506,U16-004,2022AR16A,Valide,novote,1,1,1,1,novote,1,novote,1,novote,6,6,0,0,0,4
8522,U16-004,2022AR16A,Valide,1,novote,2,novote,1,1,novote,novote,novote,novote,4,3,1,0,0,6
8529,U16-004,2022AR16B,Valide,2,3,3,1,3,1,2,2,1,4,10,3,3,3,1,0
8535,U16-004,2022AR16B,Valide,2,4,2,3,4,3,2,3,1,3,10,1,3,4,2,0
8541,U16-004,2022AR16A,Valide,novote,2,3,3,2,1,novote,novote,novote,novote,5,1,2,2,0,5
8543,U16-004,2022AR16A,Valide,2,4,2,2,1,1,1,novote,2,2,9,3,5,0,1,1
8548,U16-004,2022AR16B,Valide,3,1,1,2,3,1,3,4,2,4,10,3,2,3,2,0
8552,U16-004,2022AR16A,Valide,novote,novote,2,novote,novote,1,novote,2,2,novote,4,1,3,0,0,6
8555,U16-004,2022AR16A,Valide,2,3,1,1,2,2,2,3,1,3,10,3,4,3,0,0
8576,U16-004,2022AR16B,Valide,1,4,novote,novote,novote,1,1,novote,novote,novote,4,3,0,0,1,6
8583,U16-004,2022AR16B,Valide,2,3,2,2,2,2,3,novote,3,1,9,1,5,3,0,1
8587,U16-004,2022AR16A,Valide,2,2,1,1,1,2,2,2,1,2,10,4,6,0,0,0
8589,U16-004,2022AR16A,Valide,3,4,3,2,1,1,4,2,2,2,10,2,4,2,2,0
8597,U16-004,2022AR16B,Valide,1,1,1,2,1,1,2,2,1,2,10,6,4,0,0,0
8601,U16-004,2022AR16A,Valide,1,novote,novote,novote,1,1,novote,novote,1,novote,4,4,0,0,0,6
8604,U16-004,2022AR16B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
8609,U16-004,2022AR16B,Valide,1,3,novote,2,4,2,2,1,novote,novote,7,2,3,1,1,3
8610,U16-004,2022AR16A,Valide,1,2,2,2,3,1,1,1,3,3,10,4,3,3,0,0
8611,U16-004,2022AR16A,Valide,novote,novote,novote,2,1,novote,2,novote,novote,2,4,1,3,0,0,6
8633,U16-004,2022AR16B,Valide,1,2,2,2,4,3,2,2,1,2,10,2,6,1,1,0
8639,U16-004,2022AR16A,Valide,4,1,4,4,1,4,4,4,1,4,10,3,0,0,7,0
8643,U16-004,2022AR16B,Valide,novote,2,novote,1,1,novote,3,novote,novote,novote,4,2,1,1,0,6
8645,U16-004,2022AR16B,Valide,novote,2,novote,novote,2,2,novote,novote,2,3,5,0,4,1,0,5
8646,U16-004,2022AR16A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
8651,U16-004,2022AR16B,Valide,3,novote,novote,2,novote,2,novote,novote,2,novote,4,0,3,1,0,6
8657,U16-004,2022AR16A,Valide,novote,novote,novote,1,1,novote,novote,novote,1,1,4,4,0,0,0,6
8661,U16-004,2022AR16A,Valide,1,3,1,novote,novote,1,novote,novote,novote,novote,4,3,0,1,0,6
8675,U16-004,2022AR16B,Valide,2,1,4,4,2,novote,3,3,3,4,9,1,2,3,3,1
8681,U16-004,2022AR16A,Valide,2,3,1,2,1,3,novote,novote,novote,novote,6,2,2,2,0,4
8683,U16-004,2022AR16A,Valide,2,1,2,3,1,2,3,3,3,3,10,2,3,5,0,0
8688,U16-004,2022AR16A,Valide,1,2,3,novote,2,2,2,3,novote,4,8,1,4,2,1,2
8698,U16-004,2022AR16A,Valide,3,2,2,2,2,3,1,novote,novote,novote,7,1,4,2,0,3
8701,U16-004,2022AR16B,Valide,2,2,2,2,2,2,2,2,2,2,10,0,10,0,0,0
8708,U16-004,2022AR16B,Valide,1,1,1,1,1,1,2,2,1,1,10,8,2,0,0,0
8715,U16-004,2022AR16B,Valide,1,1,3,2,3,1,2,1,3,1,10,5,2,3,0,0
8719,U16-004,2022AR16A,Valide,1,novote,1,1,novote,2,3,2,novote,novote,6,3,2,1,0,4
