ID,Urne,QR-Code,Categorie,1 - ilot refuge pour pietons et velos pont Alexandre III,2 - Reamenager et equiper les espaces verts du 7e arrondissement,3 - Embellir les cours des ecoles du 7e arrondissement !,4  - Reamenagement des espaces dedies a la jeunesse,5 - Restauration des chapelles Sainte-Valere et Sainte-Clotilde,6 - Restauration du temple de Pentemont,7 - Restaurer la sacristie de l eglise Saint-Thomas d Aquin et son local,8 - Restaurer le Champ de Mars et son mobilier historique,9 - Sauvegarde des statues de l arrondissement,10 - Vegetalisation et equipement de la place Fontenoy,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
4333,U07-005,2022AR07A,Valide,2,1,1,1,3,3,3,1,3,1,10,5,1,4,0,0
4335,U07-005,2022AR07A,Valide,novote,1,1,novote,novote,novote,novote,1,1,novote,4,4,0,0,0,6
4340,U07-003,2022AR07B,Valide,2,2,3,3,2,3,3,1,1,3,10,2,3,5,0,0
4344,U07-005,2022AR07A,Valide,4,1,3,3,1,1,1,1,3,3,10,5,0,4,1,0
4347,U07-003,2022AR07A,Valide,3,2,novote,novote,2,2,novote,1,novote,2,6,1,4,1,0,4
4348,U07-005,2022AR07A,Valide,2,1,1,1,2,2,2,1,2,1,10,5,5,0,0,0
4349,U07-005,2022AR07A,Valide,3,2,1,1,novote,novote,2,2,1,1,8,4,3,1,0,2
4351,U07-005,2022AR07B,Valide,2,novote,2,1,1,1,1,1,1,1,9,7,2,0,0,1
4355,U07-005,2022AR07B,Valide,3,1,1,1,1,3,1,1,1,1,10,8,0,2,0,0
4357,U07-005,2022AR07A,Valide,novote,1,1,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,6
4359,U07-005,2022AR07B,Valide,1,novote,1,1,3,3,1,1,1,1,9,7,0,2,0,1
4361,U07-005,2022AR07B,Valide,novote,1,novote,novote,novote,novote,novote,1,2,2,4,2,2,0,0,6
4363,U07-005,2022AR07B,Valide,novote,novote,novote,2,1,3,4,2,1,novote,6,2,2,1,1,4
4365,U07-005,2022AR07A,Valide,4,novote,1,1,novote,novote,novote,2,1,novote,5,3,1,0,1,5
4367,U07-005,2022AR07B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
4369,U07-005,2022AR07B,Nul,3,novote,novote,novote,novote,novote,novote,1,2,2,4,1,2,1,0,6
4371,U07-005,2022AR07B,Valide,novote,novote,novote,1,2,2,1,novote,novote,1,5,3,2,0,0,5
4376,U07-005,2022AR07B,Valide,novote,1,novote,novote,novote,novote,novote,1,1,1,4,4,0,0,0,6
4378,U07-005,2022AR07B,Valide,novote,novote,novote,1,3,3,3,1,novote,1,6,3,0,3,0,4
4381,U07-005,2022AR07B,Valide,1,1,1,1,3,2,3,1,2,1,10,6,2,2,0,0
4386,U07-005,2022AR07B,Valide,novote,2,1,1,novote,novote,novote,novote,novote,1,4,3,1,0,0,6
4390,U07-005,2022AR07B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
4399,U07-005,2022AR07A,Valide,1,1,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,6
4405,U07-005,2022AR07B,Valide,3,1,novote,novote,3,3,3,1,2,2,8,2,2,4,0,2
4407,U07-005,2022AR07B,Valide,1,2,novote,2,1,1,2,1,1,1,9,6,3,0,0,1
4409,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,2,2,1,1,1,6,3,3,0,0,4
4416,U07-005,2022AR07B,Valide,novote,novote,novote,novote,1,3,novote,1,1,1,5,4,0,1,0,5
4418,U07-005,2022AR07B,Valide,novote,novote,novote,novote,3,3,2,2,3,novote,5,0,2,3,0,5
4420,U07-005,2022AR07B,Valide,novote,novote,novote,novote,3,1,1,1,1,1,6,5,0,1,0,4
4424,U07-005,2022AR07A,Valide,novote,2,novote,1,2,novote,2,novote,novote,novote,4,1,3,0,0,6
4426,U07-005,2022AR07B,Valide,novote,2,novote,2,novote,novote,novote,1,novote,2,4,1,3,0,0,6
4430,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,4,4,3,1,novote,5,1,1,1,2,5
4432,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,3,2,1,1,1,6,3,2,1,0,4
4434,U07-005,2022AR07A,Valide,2,3,3,3,2,3,2,2,2,1,10,1,5,4,0,0
4436,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,1,2,2,1,1,6,3,3,0,0,4
4439,U07-005,2022AR07A,Valide,4,1,1,1,4,4,4,1,4,3,10,4,0,1,5,0
4441,U07-005,2022AR07B,Nul,novote,2,novote,novote,novote,1,novote,1,novote,novote,3,2,1,0,0,7
4442,U07-005,2022AR07A,Valide,novote,1,1,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,6
4458,U07-005,2022AR07B,Valide,4,novote,1,1,4,novote,novote,novote,novote,novote,4,2,0,0,2,6
4460,U07-005,2022AR07A,Valide,1,1,1,1,1,1,2,1,2,1,10,8,2,0,0,0
4462,U07-005,2022AR07B,Nul,2 4,1,3,1,3,2,2,2,1,1,9,4,3,2,0,0
4464,U07-005,2022AR07B,Valide,novote,novote,novote,novote,1,1,1,1,1,1,6,6,0,0,0,4
4469,U07-005,2022AR07A,Valide,novote,1,1,1,1,2,2,1,1,1,9,7,2,0,0,1
4482,U07-005,2022AR07B,Valide,novote,1,novote,novote,novote,1,novote,1,novote,1,4,4,0,0,0,6
4484,U07-005,2022AR07A,Valide,3,1,1,3,2,1,3,1,1,3,10,5,1,4,0,0
4486,U07-005,2022AR07A,Valide,novote,novote,1,1,1,novote,novote,1,novote,novote,4,4,0,0,0,6
4488,U07-003,2022AR07A,Nul,novote,novote,novote,1,novote,novote,1,1,novote,novote,3,3,0,0,0,7
4489,U07-005,2022AR07B,Valide,1,1,novote,novote,3,1,4,1,3,4,8,4,0,2,2,2
4495,U07-005,2022AR07A,Valide,2,1,1,2,novote,novote,1,1,novote,1,7,5,2,0,0,3
4497,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,2,2,2,2,2,6,0,6,0,0,4
4502,U07-005,2022AR07B,Valide,1,1,1,1,3,3,3,3,3,2,10,4,1,5,0,0
4511,U07-005,2022AR07B,Valide,novote,1,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,6
4515,U07-005,2022AR07A,Valide,2,2,2,1,3,3,2,2,2,2,10,1,7,2,0,0
4519,U07-005,2022AR07A,Valide,2,1,1,1,2,2,2,1,2,3,10,4,5,1,0,0
4521,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,novote,2,1,2,novote,4,1,3,0,0,6
4523,U07-005,2022AR07A,Valide,1,2,2,2,3,2,3,3,2,2,10,1,6,3,0,0
4525,U07-005,2022AR07B,Nul,novote,1,novote,1,novote,novote,novote,1,novote,novote,3,3,0,0,0,7
4527,U07-005,2022AR07B,Valide,novote,1,1,novote,novote,novote,novote,1,1,1,5,5,0,0,0,5
4529,U07-005,2022AR07B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
4531,U07-005,2022AR07B,Valide,2,1,1,2,3,3,2,3,3,4,10,2,3,4,1,0
4533,U07-005,2022AR07B,Valide,novote,novote,novote,1,1,novote,1,4,2,2,6,3,2,0,1,4
4543,U07-005,2022AR07A,Valide,novote,1,novote,1,novote,novote,novote,novote,1,1,4,4,0,0,0,6
4544,U07-003,2022AR07A,Valide,4,2,3,4,1,3,2,2,2,3,10,1,4,3,2,0
