ID,Urne,QR-Code,Categorie,1 - Favoriser la pratique sportive dans le 15e,2 - Un nouvel espace d escalade au centre sportif La Plaine,3 - Un 15e encore plus solidaire,4 - Un cafe des enfants,5 - Un coup de vert dans le 15e,6 - Des cours d ecoles renovees pour le bien-etre des ecoliers,7 - Des tableaux numeriques interactifs dans toutes les ecoles maternelles,8 - Un kit mobile multimedia pour la jeunesse,9 - Restaurons les decors de Saint-Christophe de Javel,10 - Le renouveau des Freres Voisin,11 - Un espace public pacifie et adapte a tous,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
141332,U15-003,2022AR15B,Nul,novote,novote,novote,novote,1,2,novote,novote,novote,novote,2,3,1,2,0,0,8
141373,U15-007,2022AR15A,Valide,1,1,novote,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,7
141375,U15-003,2022AR15B,Valide,1,2,4,4,1,4,4,4,4,4,4,11,2,1,0,8,0
141430,U15-007,2022AR15A,Valide,2,novote,novote,4,1,novote,novote,novote,4,novote,novote,4,1,1,0,2,7
141517,U15-007,2022AR15A,Valide,1,novote,novote,1,novote,3,1,novote,novote,novote,novote,4,3,0,1,0,7
141600,U15-007,2022AR15A,Valide,novote,novote,1,novote,1,novote,novote,2,1,novote,1,5,4,1,0,0,6
141623,U15-007,2022AR15A,Valide,1,4,3,3,3,4,4,3,2,3,3,11,1,1,6,3,0
141719,U15-007,2022AR15A,Valide,1,2,3,2,1,2,4,2,2,3,2,11,2,6,2,1,0
141767,U15-003,2022AR15B,Valide,1,1,novote,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
141793,U15-007,2022AR15A,Valide,1,2,2,1,2,1,1,1,2,2,2,11,5,6,0,0,0
141807,U15-003,2022AR15B,Valide,1,1,novote,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
141829,U15-003,2022AR15B,Valide,1,1,3,2,3,1,4,4,2,2,3,11,3,3,3,2,0
141839,U15-007,2022AR15A,Valide,4,novote,4,2,3,novote,1,novote,1,novote,1,7,3,1,1,2,4
141888,U15-007,2022AR15A,Valide,1,1,2,4,2,3,4,4,1,3,3,11,3,2,3,3,0
141932,U15-007,2022AR15A,Valide,novote,1,1,novote,1,novote,4,novote,4,3,2,7,3,1,1,2,4
141947,U15-007,2022AR15A,Nul,1,novote,1 2,novote,novote,1,novote,1 2,novote,1 2,novote,2,2,0,0,0,6
141954,U15-003,2022AR15B,Valide,1,1,novote,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
142012,U15-003,2022AR15B,Valide,1,1,1,novote,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,7
142028,U15-007,2022AR15A,Valide,2,1,2,1,2,1,2,2,novote,novote,novote,8,3,5,0,0,3
142052,U15-007,2022AR15A,Valide,1,2,1,1,1,1,3,3,3,2,3,11,5,2,4,0,0
142070,U15-007,2022AR15A,Valide,1,3,2,2,3,2,novote,2,2,3,2,10,1,6,3,0,1
142085,U15-007,2022AR15A,Valide,2,2,2,2,novote,2,4,2,3,2,2,10,0,8,1,1,1
142110,U15-007,2022AR15A,Valide,1,novote,1,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
142171,U15-007,2022AR15A,Valide,2,2,1,1,1,2,novote,novote,3,1,novote,8,4,3,1,0,3
142235,U15-007,2022AR15A,Valide,1,4,3,3,3,4,4,3,2,3,3,11,1,1,6,3,0
142256,U15-007,2022AR15A,Valide,2,2,1,2,1,2,3,2,3,4,3,11,2,5,3,1,0
142357,U15-007,2022AR15A,Valide,2,1,novote,novote,2,1,novote,novote,novote,novote,novote,4,2,2,0,0,7
142377,U15-007,2022AR15A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
142432,U15-003,2022AR15B,Valide,3,3,2,2,1,2,4,2,3,3,2,11,1,5,4,1,0
142449,U15-003,2022AR15B,Valide,novote,2,3,4,1,2,novote,novote,1,novote,3,7,2,2,2,1,4
142502,U15-007,2022AR15A,Valide,1,1,novote,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
142526,U15-007,2022AR15A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
142590,U15-007,2022AR15A,Valide,1,2,1,2,3,1,2,2,3,1,3,11,4,4,3,0,0
142626,U15-007,2022AR15A,Valide,2,4,1,4,1,4,4,4,1,4,1,11,4,1,0,6,0
142646,U15-007,2022AR15A,Valide,1,3,2,novote,1,2,1,2,3,2,1,10,4,4,2,0,1
142707,U15-007,2022AR15A,Valide,2,novote,1,novote,1,novote,3,1,2,1,1,8,5,2,1,0,3
142718,U15-003,2022AR15B,Valide,4,4,2,4,2,4,4,2,4,2,4,11,0,4,0,7,0
142770,U15-007,2022AR15A,Valide,1,novote,novote,novote,1,1,novote,novote,novote,1,novote,4,4,0,0,0,7
142790,U15-007,2022AR15A,Valide,novote,novote,novote,novote,novote,2,4,3,1,novote,novote,4,1,1,1,1,7
142836,U15-007,2022AR15A,Valide,3,3,4,3,1,3,3,3,1,3,3,11,2,0,8,1,0
142867,U15-007,2022AR15A,Valide,1,1,novote,1,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,7
142886,U15-007,2022AR15A,Valide,novote,novote,novote,1,novote,1,1,novote,1,novote,novote,4,4,0,0,0,7
142932,U15-007,2022AR15A,Nul,novote,novote,novote,1,novote,1,novote,novote,novote,novote,novote,2,2,0,0,0,9
143017,U15-003,2022AR15B,Valide,3,3,3,3,1,2,2,3,2,3,3,11,1,3,7,0,0
143064,U15-007,2022AR15A,Valide,novote,novote,1,novote,2,2,novote,novote,1,novote,novote,4,2,2,0,0,7
143086,U15-007,2022AR15A,Valide,2,novote,1,1,novote,2,4,novote,novote,novote,novote,5,2,2,0,1,6
143106,U15-007,2022AR15A,Valide,1,1,novote,novote,1,1,novote,novote,novote,novote,1,5,5,0,0,0,6
143128,U15-007,2022AR15A,Valide,1,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0
143271,U15-003,2022AR15B,Valide,1,1,novote,novote,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,7
143279,U15-007,2022AR15A,Valide,novote,novote,novote,novote,1,novote,novote,novote,1,1,1,4,4,0,0,0,7
143356,U15-007,2022AR15A,Nul,novote,3,novote,1,novote,novote,novote,2,novote,novote,novote,3,1,1,1,0,8
143382,U15-003,2022AR15B,Valide,1,2,1,4,1,1,4,2,3,3,1,11,5,2,2,2,0
143541,U15-003,2022AR15B,Valide,3,3,3,3,1,2,4,3,3,3,1,11,2,1,7,1,0
143545,U15-007,2022AR15A,Valide,1,novote,1,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
143621,U15-003,2022AR15B,Valide,novote,1,1,novote,1,novote,novote,novote,2,novote,2,5,3,2,0,0,6
143727,U15-007,2022AR15A,Valide,1,1,novote,novote,1,novote,novote,novote,novote,novote,4,4,3,0,0,1,7
143769,U15-007,2022AR15A,Valide,1,1,2,1,2,2,1,1,2,2,1,11,6,5,0,0,0
143780,U15-007,2022AR15A,Valide,2,1,2,1,1,1,1,2,1,3,2,11,6,4,1,0,0
143798,U15-007,2022AR15A,Valide,1,novote,1,novote,1,novote,novote,1,novote,novote,1,5,5,0,0,0,6
143803,U15-003,2022AR15B,Nul,novote,novote,1,novote,1,novote,novote,novote,novote,novote,novote,2,2,0,0,0,9
143923,U15-007,2022AR15A,Valide,novote,2,2,novote,2,1,novote,novote,novote,novote,novote,4,1,3,0,0,7
143944,U15-007,2022AR15A,Valide,1,novote,1,novote,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,7
143966,U15-007,2022AR15A,Valide,novote,4,1,4,novote,novote,novote,novote,1,1,2,6,3,1,0,2,5
143990,U15-007,2022AR15A,Valide,2,novote,1,1,novote,2,2,2,novote,novote,1,7,3,4,0,0,4
144011,U15-007,2022AR15A,Nul,1,novote,novote,novote,1,1,novote,novote,novote,novote,novote,3,3,0,0,0,8
144027,U15-007,2022AR15A,Valide,2,novote,2,1,1,1,2,novote,novote,novote,2,7,3,4,0,0,4
144107,U15-007,2022AR15A,Valide,novote,novote,1,1,1,1,4,4,1,2,1,9,6,1,0,2,2
144129,U15-007,2022AR15A,Nul,1,novote,novote,novote,4,novote,novote,1,novote,novote,novote,3,2,0,0,1,8
144177,U15-003,2022AR15B,Valide,2,4,3,3,1,4,4,3,3,4,4,11,1,1,4,5,0
144184,U15-007,2022AR15A,Valide,2,novote,4,4,3,2,4,4,4,4,2,10,0,3,1,6,1
144260,U18-004,2022AR15B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
144290,U15-007,2022AR15A,Valide,2,1,2,2,2,2,2,3,2,2,2,11,1,9,1,0,0
144296,U15-003,2022AR15B,Valide,3,3,2,2,1,2,3,3,2,1,2,11,2,5,4,0,0
144314,U15-007,2022AR15A,Valide,1,novote,novote,novote,1,1,4,novote,novote,novote,1,5,4,0,0,1,6
144342,U15-003,2022AR15B,Valide,1,novote,novote,novote,novote,1,1,novote,1,novote,1,5,5,0,0,0,6
144345,U75-001,2022AR15A,Nul,1,2,2,1,1,1 2,3,1,3,2,1,10,5,3,2,0,0
144362,U15-003,2022AR15B,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
144507,U15-003,2022AR15B,Valide,1,novote,novote,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,7
144521,U15-007,2022AR15A,Valide,2,1,2,3,2,3,3,3,3,3,1,11,2,3,6,0,0
144531,U15-003,2022AR15B,Valide,1,novote,novote,novote,novote,1,novote,novote,1,novote,1,4,4,0,0,0,7
144570,U15-003,2022AR15B,Nul,2,1,novote,1,novote,1,2 3,1,1 2 4,4,3,7,4,1,1,1,2
144583,U15-007,2022AR15A,Valide,1,1,1,novote,novote,1,4,novote,1,novote,novote,6,5,0,0,1,5
144595,U15-003,2022AR15B,Valide,3,1,1,2,4,2,3,2,4,3,3,11,2,3,4,2,0
144625,U75-001,2022AR15A,Valide,1,1,novote,novote,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,7
144641,U15-003,2022AR15B,Valide,2,3,novote,novote,1,novote,novote,novote,2,novote,2,5,1,3,1,0,6
144691,U15-007,2022AR15A,Valide,1,novote,novote,1,1,novote,novote,1,novote,1,1,6,6,0,0,0,5
144733,U15-007,2022AR15A,Valide,1,1,1,novote,novote,novote,novote,novote,1,novote,novote,4,4,0,0,0,7
