ID,Urne,QR-Code,Categorie,1 - Ameliorer l accueil des sportifs dans le 12e arrondissement,2 - Renover nos Terrains d’Education Physique (TEP),3 - Faire du 12e un arrondissement plus solidaire,4 - Realiser deux amenagements ponctuels et mesurer la pollution sonore,"5 - Sublimer nos squares, parcs et jardins",6 - Ameliorer le quotidien des eleves du 12e,7 - Faisons du 12e un arrondissement toujours plus culturel !,8 - Renovons notre Patrimoine,9 - Restaurer la facade de l eglise du Rendez vous,10 - Ameliorer le quotidien des habitant·e·s du quartier Bel-Air Nord,11 - Renforcer l accessibilite et l inclusivite dans le 12e arrondissement,12 - Valoriser les squares du quartier Erard-Rozanoff,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
204332,U12-005,2022AR12A,Valide,novote,novote,1,novote,novote,1,1,novote,novote,novote,1,novote,4,4,0,0,0,8
204333,U12-008,2022AR12B,Valide,3,2,2,3,2,1,2,4,4,4,3,2,12,1,5,3,3,0
204339,U12-008,2022AR12A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
204349,U12-005,2022AR12A,Valide,2,1,1,4,1,2,1,3,4,2,1,1,12,6,3,1,2,0
204357,U12-010,2022AR12A,Valide,novote,novote,2,novote,novote,2,1,novote,novote,2,novote,novote,4,1,3,0,0,8
204358,U12-008,2022AR12A,Valide,2,3,2,1,1,1,3,4,4,3,2,1,12,4,3,3,2,0
204363,U12-008,2022AR12A,Valide,novote,novote,novote,novote,1,2,1,novote,novote,1,novote,novote,4,3,1,0,0,8
204364,U12-010,2022AR12B,Valide,1,1,1,1,1,1,novote,novote,novote,novote,novote,novote,6,6,0,0,0,6
204375,U12-008,2022AR12B,Valide,novote,1,1,novote,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,8
204397,U12-005,2022AR12B,Valide,1,novote,1,novote,1,1,1,novote,4,novote,1,novote,7,6,0,0,1,5
204401,U12-010,2022AR12B,Nul,1 2,2,4,1,1,2,2,2,2,2,2,2,11,2,8,0,1,0
204419,U12-010,2022AR12B,Valide,1,novote,novote,1,1,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,8
204436,U12-008,2022AR12A,Valide,1,2,4,1,1,4,3,2,3,3,4,3,12,3,2,4,3,0
204441,U12-008,2022AR12A,Valide,novote,1,novote,1,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
204447,U12-008,2022AR12B,Nul,novote,novote,novote,novote,novote,1,1,novote,4,novote,1 4,novote,3,2,0,0,1,8
204451,U12-016,2022AR12A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,3,3,0,0,0,9
204452,U12-010,2022AR12B,Valide,3,2,2,3,2,2,2,2,3,novote,2,2,11,0,8,3,0,1
204453,U12-008,2022AR12A,Valide,2,2,2,2,1,2,2,3,4,2,1,1,12,3,7,1,1,0
204458,U12-008,2022AR12B,Valide,1,1,1,1,1,2,1,1,1,1,2,2,12,9,3,0,0,0
204465,U12-008,2022AR12B,Valide,1,1,3,1,1,2,2,2,2,1,1,1,12,7,4,1,0,0
204467,U12-010,2022AR12B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,11
204469,U12-003,2022AR12B,Valide,1,1,1,novote,1,1,1,novote,novote,novote,1,1,8,8,0,0,0,4
204475,U12-016,2022AR12A,Nul,1,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,3,3,0,0,0,9
204479,U12-008,2022AR12B,Valide,3,2,1,3,1,1,1,3,3,3,2,4,12,4,2,5,1,0
204482,U12-005,2022AR12B,Valide,1,2,novote,1,novote,novote,1,novote,novote,novote,novote,novote,4,3,1,0,0,8
204484,U12-008,2022AR12B,Valide,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,0,0,0
204496,U12-008,2022AR12B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
204500,U12-008,2022AR12B,Valide,3,3,2,2,2,3,3,2,3,2,2,3,12,0,6,6,0,0
204502,U12-010,2022AR12B,Valide,2,novote,2,3,1,1,2,novote,3,1,1,1,10,5,3,2,0,2
204507,U12-005,2022AR12B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
204512,U12-010,2022AR12B,Valide,4,4,2,1,1,1,2,3,4,2,1,2,12,4,4,1,3,0
