ID,Urne,QR-Code,Categorie,1 - Ce serait Elisa « bete » de jouer au tennis sous la pluie !,2 - La balle est dans votre camp pour plus de sport au Stade Didot !,3 - Creons une oasis associative et citoyenne a Porte de Vanves !,4 - Du matos pour les assoc !,5 - Adoucir et rafraichir les espaces verts du 14e,6 - Jouons toutes et tous ensemble !,7 - Ouvrons les ecoles aux enfants extraordinaires !,"8 - Mettre en valeur l Aqueduc Medicis, lieu de patrimoine et d histoire",9 - Un musee a ciel ouvert en quartier populaire !,10 - Un vent de fraicheur sur le patrimoine du 14e,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
10361,U14-023,2022AR14B,Valide,1,4,2,1,3,1,3,3,3,2,10,3,2,4,1,0
10398,U14-013,2022AR14A,Valide,2,1,novote,1,novote,1,1,novote,novote,novote,5,4,1,0,0,5
10423,U14-023,2022AR14A,Valide,2,4,2,novote,novote,novote,novote,novote,2,novote,4,0,3,0,1,6
10586,U14-023,2022AR14A,Valide,3,1,2,1,2,3,3,3,3,3,10,2,2,6,0,0
10601,U14-023,2022AR14A,Valide,1,2,2,2,1,1,1,2,1,1,10,6,4,0,0,0
10604,U14-023,2022AR14A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
10626,U14-013,2022AR14A,Valide,novote,1,1,1,novote,novote,1,novote,novote,novote,4,4,0,0,0,6
10642,U14-005,2022AR14A,Valide,3,3,4,4,3,1,1,1,4,1,10,4,0,3,3,0
10714,U14-013,2022AR14A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,4,4,0,0,0,6
10716,U14-013,2022AR14A,Valide,novote,2,novote,novote,2,1,novote,novote,1,novote,4,2,2,0,0,6
10723,U14-023,2022AR14A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
10739,U14-013,2022AR14A,Valide,novote,novote,novote,1,2,novote,1,novote,1,novote,4,3,1,0,0,6
10851,U14-005,2022AR14A,Valide,novote,novote,1,novote,1,novote,novote,1,novote,1,4,4,0,0,0,6
10870,U14-023,2022AR14B,Valide,1,3,3,1,3,1,2,3,3,2,10,3,2,5,0,0
10884,U14-013,2022AR14A,Valide,novote,novote,1,1,1,novote,1,novote,novote,novote,4,4,0,0,0,6
10899,U14-013,2022AR14A,Valide,novote,novote,1,novote,1,novote,2,2,novote,novote,4,2,2,0,0,6
10913,U14-023,2022AR14A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
10920,U14-005,2022AR14A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
11107,U14-013,2022AR14A,Valide,1,1,4,3,4,3,3,4,4,2,10,2,1,3,4,0
11170,U14-023,2022AR14A,Valide,2,1,1,1,1,1,1,2,2,2,10,6,4,0,0,0
