ID,Urne,QR-Code,Categorie,1 - Amenager et equiper les residences sociales,2 - Equiper les associations d alimentation durable,3 - Restaurer la Maison de l Air pour les habitantes et habitants !,4 - Securiser la voirie et apaiser la circulation,5 - Amenager des espaces publics verdoyants pour le 20e,6 - Embellir nos parcs et jardins,7 - Des projets educatifs pour le 20e,8 - Des projets pour la jeunesse du 20e,9 - Renovations energetiques pour les ecoles de la rue Le Vau et la creche collective 8 rue des Lyanes,10 - Embellir le 20e avec des fresques et de la vegetalisation,11 - Poursuivre la restauration de La Fleche d Or : un projet sur les rails !,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
31327,U20-024,2022AR20A,Valide,1,novote,novote,1,1,novote,novote,1,novote,1,novote,5,5,0,0,0,6
31366,U20-007,2022AR20B,Valide,novote,1,novote,novote,novote,1,novote,novote,novote,1,1,4,4,0,0,0,7
31388,U20-002,2022AR20A,Valide,2,1,2,1,1,1,2,3,1,4,2,11,5,4,1,1,0
31481,U20-007,2022AR20B,Valide,novote,novote,novote,1,2,2,novote,novote,novote,2,3,5,1,3,1,0,6
31501,U20-024,2022AR20A,Valide,1,1,3,2,1,2,2,1,1,2,2,11,5,5,1,0,0
31507,U20-005,2022AR20B,Valide,1,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0
31535,U20-007,2022AR20B,Nul,2,1 2,1,1,novote,1,1,novote,2,1,1,8,6,2,0,0,2
31545,U20-009,2022AR20B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
31563,U20-005,2022AR20A,Valide,3,2,3,2,3,4,1,2,4,2,3,11,1,4,4,2,0
31589,U20-024,2022AR20A,Valide,2,2,1,2,1,1,3,3,3,1,1,11,5,3,3,0,0
31652,U20-007,2022AR20B,Valide,2,1,1,1,3,3,2,2,3,2,1,11,4,4,3,0,0
31666,U20-005,2022AR20B,Valide,1,1,2,2,2,2,1,1,1,2,1,11,6,5,0,0,0
31694,U20-018,2022AR20A,Valide,2,2,1,3,2,novote,2,novote,novote,novote,1,7,2,4,1,0,4
31732,U20-002,2022AR20B,Valide,novote,novote,novote,novote,1,1,novote,3,novote,2,4,5,2,1,1,1,6
31743,U20-022,2022AR20A,Valide,1,novote,2,novote,1,1,novote,novote,novote,novote,novote,4,3,1,0,0,7
31817,U20-005,2022AR20B,Valide,2,2,2,2,2,1,2,1,2,2,1,11,3,8,0,0,0
31823,U20-005,2022AR20A,Valide,1,1,novote,novote,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,7
31835,U20-005,2022AR20A,Valide,1,2,2,1,1,1,1,1,2,2,1,11,7,4,0,0,0
31836,U20-024,2022AR20B,Valide,2,1,4,1,2,2,1,2,1,3,2,11,4,5,1,1,0
31856,U20-002,2022AR20A,Valide,novote,novote,novote,1,1,novote,novote,1,novote,novote,1,4,4,0,0,0,7
31878,U20-024,2022AR20A,Valide,1,1,2,2,1,1,2,2,2,1,3,11,5,5,1,0,0
31906,U20-002,2022AR20B,Valide,novote,1,1,novote,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,7
31957,U20-005,2022AR20A,Valide,3,3,3,1,2,2,1,1,1,4,4,11,4,2,3,2,0
31963,U20-024,2022AR20A,Valide,1,1,1,2,1,1,2,2,3,2,2,11,5,5,1,0,0
32015,U20-005,2022AR20A,Nul,novote,novote,novote,novote,1,1,novote,1,novote,novote,novote,3,3,0,0,0,8
32022,U20-005,2022AR20A,Valide,1,1,2,1,1,1,1,1,1,2,1,11,9,2,0,0,0
32026,U20-009,2022AR20A,Valide,2,2,4,2,1,1,1,1,novote,1,1,10,6,3,0,1,1
32060,U20-022,2022AR20A,Valide,1,2,novote,novote,2,2,novote,novote,novote,novote,novote,4,1,3,0,0,7
32080,U20-005,2022AR20A,Valide,3,1,1,2,3,2,1,1,2,3,1,11,5,3,3,0,0
32120,U20-024,2022AR20A,Valide,novote,novote,novote,novote,novote,novote,1,1,novote,1,1,4,4,0,0,0,7
32148,U20-002,2022AR20A,Valide,1,1,2,2,1,1,1,1,1,1,1,11,9,2,0,0,0
32152,U20-010,2022AR20A,Valide,novote,novote,1,novote,novote,novote,2,1,novote,novote,1,4,3,1,0,0,7
32191,U20-002,2022AR20B,Valide,novote,novote,1,4,1,novote,novote,1,novote,novote,1,5,4,0,0,1,6
32246,U20-005,2022AR20B,Nul,novote,novote,novote,novote,1,1,novote,novote,novote,novote,novote,2,2,0,0,0,9
32268,U20-023,2022AR20A,Valide,2,1,2,1,2,2,2,2,3,2,1,11,3,7,1,0,0
32289,U20-023,2022AR20B,Valide,1,novote,novote,1,1,novote,novote,novote,1,novote,1,5,5,0,0,0,6
32358,U20-023,2022AR20B,Valide,1,1,novote,1,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,7
32365,U20-002,2022AR20B,Valide,1,1,1,3,1,1,2,1,1,2,1,11,8,2,1,0,0
32368,U20-023,2022AR20B,Valide,3,2,3,2,novote,2,novote,novote,3,3,4,8,0,3,4,1,3
32375,U20-022,2022AR20A,Valide,1,novote,novote,novote,3,novote,novote,novote,novote,4,2,4,1,1,1,1,7
32411,U20-023,2022AR20B,Valide,1,1,novote,novote,novote,novote,novote,2,novote,novote,1,4,3,1,0,0,7
32412,U20-005,2022AR20A,Valide,1,1,1,2,3,1,novote,1,3,3,1,10,6,1,3,0,1
32417,U20-024,2022AR20A,Valide,1,1,2,2,novote,novote,1,1,novote,novote,novote,6,4,2,0,0,5
32436,U20-005,2022AR20A,Valide,1,novote,2,1,1,2,1,1,1,2,3,10,6,3,1,0,1
32444,U20-024,2022AR20A,Valide,1,1,2,1,1,1,2,1,3,3,1,11,7,2,2,0,0
32452,U20-024,2022AR20A,Valide,1,1,novote,novote,1,1,1,1,1,1,1,9,9,0,0,0,2
32481,U20-023,2022AR20B,Valide,1,1,novote,novote,novote,novote,2,novote,novote,novote,1,4,3,1,0,0,7
32482,U20-022,2022AR20A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,10
32490,U20-002,2022AR20A,Valide,novote,novote,2,3,3,novote,novote,novote,novote,novote,1,4,1,1,2,0,7
32493,U20-023,2022AR20B,Valide,1,novote,1,novote,1,novote,novote,1,novote,novote,1,5,5,0,0,0,6
32501,U20-023,2022AR20B,Valide,1,1,novote,1,novote,2,novote,novote,novote,novote,novote,4,3,1,0,0,7
32507,U20-005,2022AR20B,Valide,novote,1,novote,2,novote,2,novote,novote,1,novote,novote,4,2,2,0,0,7
32550,U20-009,2022AR20B,Nul,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,1,1,0,0,0,10
32581,U20-023,2022AR20A,Valide,1,2,3,3,2,2,1,1,3,2,1,11,4,4,3,0,0
32607,U20-002,2022AR20B,Valide,1,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0
32615,U20-024,2022AR20A,Nul,1 2 3,1 2 3 4,1 2 3 4,1 2 3 4,1 2 3,1 2 3 4,1 2 3 4,1 2 3 4,1 2 3 4,1 2 3 4,1 2 3 4,0,0,0,0,0,0
32628,U20-024,2022AR20A,Valide,novote,novote,novote,1,1,2,novote,novote,2,1,1,6,4,2,0,0,5
32637,U20-023,2022AR20A,Valide,2,2,3,1,1,1,1,1,2,1,novote,10,6,3,1,0,1
32639,U20-024,2022AR20A,Valide,1,1,2,1,1,1,1,1,2,3,2,11,7,3,1,0,0
32648,U20-099,2022AR20B,Valide,3,2,1,1,1,1,2,2,1,1,1,11,7,3,1,0,0
32659,U20-023,2022AR20A,Valide,2,novote,novote,1,2,novote,novote,novote,novote,3,novote,4,1,2,1,0,7
32660,U20-099,2022AR20B,Valide,1,1,1,1,1,novote,1,1,novote,1,3,9,8,0,1,0,2
32662,U20-010,2022AR20A,Valide,novote,novote,novote,1,novote,1,1,1,novote,novote,novote,4,4,0,0,0,7
32670,U20-002,2022AR20B,Valide,4,3,3,2,1,1,2,1,2,3,3,11,3,3,4,1,0
32671,U20-023,2022AR20A,Valide,1,1,novote,1,1,1,1,1,1,1,1,10,10,0,0,0,1
32682,U20-023,2022AR20B,Nul,1,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,2,2,0,0,0,9
32685,U20-099,2022AR20A,Valide,novote,2,novote,novote,novote,2,novote,2,novote,novote,1,4,1,3,0,0,7
32695,U20-023,2022AR20B,Valide,1,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0
32713,U20-099,2022AR20A,Valide,2,2,2,2,1,1,1,1,1,1,1,11,7,4,0,0,0
32718,U20-023,2022AR20A,Valide,1,2,2,1,2,2,1,1,1,2,3,11,5,5,1,0,0
32722,U20-024,2022AR20A,Valide,1,1,3,4,4,4,1,1,1,4,1,11,6,0,1,4,0
32724,U20-099,2022AR20B,Valide,1,novote,novote,1,1,novote,novote,novote,novote,1,novote,4,4,0,0,0,7
32731,U20-005,2022AR20A,Valide,1,2,1,3,2,3,1,1,1,2,2,11,5,4,2,0,0
32733,U20-099,2022AR20A,Valide,novote,3,4,1,1,1,1,1,1,novote,1,9,7,0,1,1,2
32734,U20-005,2022AR20B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
32757,U20-024,2022AR20A,Valide,4,2,1,2,1,1,2,3,4,1,3,11,4,3,2,2,0
32760,U20-099,2022AR20B,Valide,novote,novote,1,novote,novote,1,1,novote,novote,novote,1,4,4,0,0,0,7
32775,U20-007,2022AR20B,Valide,2,2,2,2,2,2,2,2,2,2,2,11,0,11,0,0,0
32788,U20-023,2022AR20A,Valide,1,1,novote,novote,1,novote,novote,1,2,1,novote,6,5,1,0,0,5
32799,U20-009,2022AR20B,Valide,novote,novote,novote,2,4,4,2,2,2,2,2,8,0,6,0,2,3
32828,U20-099,2022AR20A,Valide,novote,novote,novote,2,2,novote,2,novote,novote,2,novote,4,0,4,0,0,7
32845,U20-023,2022AR20A,Valide,1,1,1,1,1,1,1,novote,1,1,1,10,10,0,0,0,1
32848,U20-099,2022AR20B,Valide,novote,novote,3,3,4,3,novote,2,1,3,novote,7,1,1,4,1,4
32875,U20-023,2022AR20A,Valide,novote,1,1,novote,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,7
32884,U20-009,2022AR20B,Valide,novote,novote,3,3,1,novote,novote,1,novote,novote,novote,4,2,0,2,0,7
32895,U20-007,2022AR20A,Nul,3,novote,novote,novote,novote,novote,novote,3,novote,novote,2,3,0,1,2,0,8
32902,U20-099,2022AR20A,Valide,1,1,novote,4,1,4,1,2,2,3,4,10,4,2,1,3,1
32910,U20-023,2022AR20A,Valide,1,4,2,2,2,1,2,novote,1,3,2,10,3,5,1,1,1
32925,U20-099,2022AR20A,Nul,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,1,1,0,0,0,10
32931,U20-023,2022AR20A,Valide,2,2,3,2,2,2,1,1,1,novote,2,10,3,6,1,0,1
32941,U20-023,2022AR20A,Valide,4,1,1,1,1,1,1,1,1,1,1,11,10,0,0,1,0
32962,U20-099,2022AR20A,Valide,3,novote,1,4,3,3,1,1,4,3,4,10,3,0,4,3,1
32964,U20-023,2022AR20A,Valide,1,1,1,2,1,1,1,1,novote,1,2,10,8,2,0,0,1
32976,U20-023,2022AR20B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
32978,U20-024,2022AR20A,Valide,novote,novote,novote,2,2,1,1,novote,novote,novote,novote,4,2,2,0,0,7
32985,U20-099,2022AR20A,Valide,1,1,3,1,3,3,1,1,2,3,1,11,6,1,4,0,0
32986,U20-005,2022AR20B,Valide,1,1,4,1,1,2,1,1,2,1,1,11,8,2,0,1,0
32987,U20-023,2022AR20A,Valide,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
32991,U20-024,2022AR20A,Valide,1,3,1,2,3,3,1,1,novote,novote,1,9,5,1,3,0,2
33005,U20-023,2022AR20A,Valide,1,2,3,3,2,3,2,3,1,2,2,11,2,5,4,0,0
33006,U20-099,2022AR20A,Valide,novote,2,novote,1,1,novote,2,novote,novote,novote,2,5,2,3,0,0,6
33007,U20-024,2022AR20A,Valide,4,novote,novote,4,1,3,novote,novote,novote,novote,novote,4,1,0,1,2,7
33016,U20-023,2022AR20A,Nul,2,2 3,2,4,2,4,2,1,1,4,novote,9,2,4,0,3,1
33019,U20-099,2022AR20A,Valide,1,1,3,1,1,1,1,1,1,2,3,11,8,1,2,0,0
33020,U20-018,2022AR20A,Valide,novote,novote,novote,4,novote,novote,1,1,novote,novote,4,4,2,0,0,2,7
33024,U20-005,2022AR20B,Valide,3,3,3,2,1,2,3,3,2,3,1,11,2,3,6,0,0
33029,U20-007,2022AR20B,Valide,2,2,1,3,2,1,2,2,2,1,3,11,3,6,2,0,0
33046,U20-099,2022AR20A,Valide,1,3,3,3,2,3,1,1,3,3,1,11,4,1,6,0,0
33048,U20-018,2022AR20A,Valide,2,2,3,2,2,2,1,1,2,1,2,11,3,7,1,0,0
