ID,Urne,QR-Code,Categorie,1 - Moderniser les salles d escrime du gymnase Buffault,2 - Reinventer la maison pour tous YMCA de la rue de Trevise,3 - Installer des radars pedagogiques,4 - Diversifier les commerces dans le quartier Pigalle,5 - Ameliorer le confort des usagers du Conservatoire Boulanger,6 - Creer un parcours patrimonial grace a des QR codes,7 - Restaurer les publicites peintes de la rue des Martyrs,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
2503,U09-004,2022AR09B,Valide,3,1,1,3,1,1,1,7,5,0,2,0,0
2504,U09-004,2022AR09B,Valide,2,2,1,1,2,4,3,7,2,3,1,1,0
2505,U09-004,2022AR09B,Valide,3,3,novote,1,3,3,2,6,1,1,4,0,1
2506,U09-004,2022AR09B,Valide,3,3,2,2,3,3,4,7,0,2,4,1,0
2507,U09-004,2022AR09B,Valide,1,1,3,3,4,1,1,7,4,0,2,1,0
2509,U09-004,2022AR09B,Valide,novote,2,1,2,2,novote,novote,4,1,3,0,0,3
2510,U09-004,2022AR09B,Valide,3,1,1,3,1,1,1,7,5,0,2,0,0
2512,U09-004,2022AR09B,Valide,2,1,2,1,1,1,1,7,5,2,0,0,0
2515,U09-004,2022AR09B,Valide,1,1,4,4,1,1,1,7,5,0,0,2,0
2516,U09-004,2022AR09B,Valide,1,2,1,2,novote,novote,novote,4,2,2,0,0,3
2520,U09-004,2022AR09B,Valide,3,3,3,1,3,3,2,7,1,1,5,0,0
2521,U09-004,2022AR09B,Valide,1,1,novote,1,novote,1,1,5,5,0,0,0,2
2522,U09-004,2022AR09B,Valide,2,2,2,4,2,4,2,7,0,5,0,2,0
2523,U09-004,2022AR09B,Valide,2,2,2,2,1,2,1,7,2,5,0,0,0
2524,U09-004,2022AR09B,Valide,4,1,1,4,4,4,1,7,3,0,0,4,0
2525,U09-004,2022AR09B,Valide,novote,4,1,1,4,novote,novote,4,2,0,0,2,3
2526,U09-004,2022AR09B,Valide,2,1,4,3,1,1,1,7,4,1,1,1,0
2527,U09-004,2022AR09B,Valide,2,1,4,1,novote,2,1,6,3,2,0,1,1
2528,U09-004,2022AR09B,Valide,2,1,1,1,3,1,1,7,5,1,1,0,0
2529,U09-004,2022AR09B,Valide,4,3,1,1,2,1,1,7,4,1,1,1,0
2531,U09-004,2022AR09B,Valide,1,2,1,1,1,1,2,7,5,2,0,0,0
2532,U09-004,2022AR09B,Valide,3,3,4,4,2,4,2,7,0,2,2,3,0
2533,U09-004,2022AR09B,Valide,1,2,1,3,2,1,1,7,4,2,1,0,0
2534,U09-004,2022AR09B,Valide,3,1,2,1,novote,3,1,6,3,1,2,0,1
2535,U09-004,2022AR09B,Valide,1,3,2,1,3,2,1,7,3,2,2,0,0
2536,U09-004,2022AR09B,Valide,3,3,2,2,2,3,2,7,0,4,3,0,0
2538,U09-004,2022AR09B,Valide,4,1,1,4,4,4,1,7,3,0,0,4,0
2541,U09-004,2022AR09B,Valide,1,2,1,3,2,2,1,7,3,3,1,0,0
2542,U09-004,2022AR09B,Valide,1,1,4,2,1,4,1,7,4,1,0,2,0
2543,U09-004,2022AR09B,Nul,1,novote,1,2,3,1 2,1 2,4,2,1,1,0,1
2545,U09-004,2022AR09B,Valide,novote,novote,2,1,novote,2,1,4,2,2,0,0,3
2546,U09-004,2022AR09B,Valide,1,1,1,1,3,1,2,7,5,1,1,0,0
2550,U09-004,2022AR09B,Valide,3,3,3,3,3,3,3,7,0,0,7,0,0
2552,U09-004,2022AR09B,Valide,novote,novote,2,1,novote,2,2,4,1,3,0,0,3
2554,U09-004,2022AR09B,Valide,novote,novote,2,1,novote,2,1,4,2,2,0,0,3
2555,U09-004,2022AR09B,Valide,novote,novote,1,1,novote,1,1,4,4,0,0,0,3
2558,U09-004,2022AR09B,Valide,3,2,2,2,1,novote,2,6,1,4,1,0,1
2563,U09-004,2022AR09B,Valide,2,2,novote,1,novote,novote,1,4,2,2,0,0,3
2567,U09-004,2022AR09B,Valide,3,1,2,2,3,2,2,7,1,4,2,0,0
2569,U09-004,2022AR09B,Valide,4,1,4,1,4,4,4,7,2,0,0,5,0
2571,U09-004,2022AR09B,Valide,1,novote,1,1,novote,novote,1,4,4,0,0,0,3
2572,U09-004,2022AR09B,Valide,3,2,2,2,2,2,2,7,0,6,1,0,0
2573,U09-004,2022AR09B,Valide,novote,2,2,2,novote,2,novote,4,0,4,0,0,3
2574,U09-004,2022AR09B,Valide,2,2,2,3,2,1,3,7,1,4,2,0,0
2578,U09-004,2022AR09B,Valide,2,1,2,2,1,1,1,7,4,3,0,0,0
2581,U09-004,2022AR09B,Valide,1,1,1,1,2,1,1,7,6,1,0,0,0
2583,U09-004,2022AR09B,Valide,novote,2,2,2,novote,novote,2,4,0,4,0,0,3
2586,U09-004,2022AR09B,Valide,3,3,2,3,3,3,2,7,0,2,5,0,0
2587,U09-004,2022AR09B,Valide,1,1,1,1,3,1,2,7,5,1,1,0,0
2589,U09-004,2022AR09B,Valide,novote,novote,1,2,3,1,3,5,2,1,2,0,2
2590,U09-004,2022AR09B,Valide,3,3,3,3,3,3,3,7,0,0,7,0,0
2601,U09-004,2022AR09B,Valide,2,2,2,1,2,4,1,7,2,4,0,1,0
2609,U09-004,2022AR09B,Valide,novote,1,novote,3,2,novote,2,4,1,2,1,0,3
2610,U09-004,2022AR09B,Valide,3,2,1,2,2,2,1,7,2,4,1,0,0
2612,U09-004,2022AR09B,Valide,novote,2,2,3,novote,1,2,5,1,3,1,0,2
2613,U09-004,2022AR09B,Valide,2,1,3,3,3,3,2,7,1,2,4,0,0
2614,U09-004,2022AR09B,Valide,2,2,novote,novote,novote,3,2,4,0,3,1,0,3
2618,U09-004,2022AR09B,Valide,1,2,1,1,1,1,2,7,5,2,0,0,0
2622,U09-004,2022AR09B,Valide,1,1,1,2,1,2,2,7,4,3,0,0,0
2626,U09-004,2022AR09B,Valide,3,2,4,1,novote,4,3,6,1,1,2,2,1
2627,U09-004,2022AR09B,Valide,3,1,1,1,1,3,3,7,4,0,3,0,0
2629,U09-004,2022AR09B,Valide,4,1,novote,2,novote,novote,2,4,1,2,0,1,3
2635,U09-004,2022AR09B,Valide,2,1,1,1,1,1,1,7,6,1,0,0,0
2636,U09-004,2022AR09B,Valide,2,2,2,2,3,4,1,7,1,4,1,1,0
2637,U09-004,2022AR09B,Valide,4,3,3,1,3,4,4,7,1,0,3,3,0
2638,U09-004,2022AR09B,Valide,novote,4,1,1,4,novote,novote,4,2,0,0,2,3
2639,U09-004,2022AR09B,Valide,2,1,1,3,1,2,2,7,3,3,1,0,0
2645,U09-004,2022AR09B,Valide,1,1,4,3,1,1,1,7,5,0,1,1,0
2646,U09-004,2022AR09B,Valide,3,3,4,3,2,4,1,7,1,1,3,2,0
