ID,Urne,QR-Code,Categorie,"1 - Velo, velo, velo !",2 - Ameliorer les terrains sportifs du 17eme !,3 - Creation d un espace de glisse urbaine,4 - Des equipements sportifs moins energivores et mieux securises !,5 - Des equipements sportifs plus inclusifs,6 - Du tennis et du padel !,7 - Renover les gymnases du 17eme !,8 - Des locaux equipes pour un quartier plus solidaire,9 - Securiser les carrefours dangereux et les abords des ecoles,10 - Vers plus de vert dans le 17eme !,11 - Renover l ecole Bessieres aux Epinettes,12 - Renovons les ecoles du 17eme !,13 - Renover les marches couverts du 17eme,14 - Super ! La ressourcerie des familles,15 - De l art hors les murs !,16 - Patrimoine et memoire : restaurer et valoriser le 17eme !,17 - Reamenager la place des Ternes !,18 - Refection des chaussees boulevard des Batignolles,19 - Refection des trottoirs avenues de Clichy et St-Ouen,20 - Renovation de la rue de Rome et du boulevard Pereire,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
61215,U75-003,2022AR17A,Valide,novote,4,4,4,4,1,4,3,4,1,1,4,2,3,3,2,4,3,1,4,19,4,2,4,9,1
61277,U75-002,2022AR17A,Valide,1,novote,novote,novote,1,novote,1,novote,novote,1,1,novote,novote,1,1,1,novote,novote,1,1,10,10,0,0,0,10
61408,U75-003,2022AR17A,Valide,1,novote,novote,novote,novote,novote,3,2,1,1,1,novote,novote,novote,2,1,1,2,novote,2,11,6,4,1,0,9
61805,U75-005,2022AR17A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,20
61901,U75-005,2022AR17A,Valide,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,4,4,4,1,1,20,14,0,0,6,0
62059,U75-003,2022AR17A,Valide,4,3,4,2,1,2,1,3,2,1,3,1,3,3,2,2,2,4,3,3,20,4,6,7,3,0
62161,U75-003,2022AR17A,Nul,novote,2,novote,novote,novote,1,novote,novote,novote,2,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,3,1,2,0,0,17
62217,U75-003,2022AR17A,Valide,2,novote,novote,novote,novote,novote,2,novote,1,1,novote,2,2,novote,2,2,1,novote,novote,1,10,4,6,0,0,10
62424,U75-004,2022AR17A,Valide,2,1,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,20,1,6,13,0,0
62481,U75-003,2022AR17A,Valide,3,novote,novote,novote,novote,novote,novote,2,1,2,3,3,3,2,2,1,3,3,1,3,14,3,4,7,0,6
62515,U75-003,2022AR17A,Valide,1,1,novote,novote,novote,novote,novote,1,novote,1,novote,novote,1,2,2,2,1,2,novote,novote,10,6,4,0,0,10
62598,U75-003,2022AR17A,Valide,3,3,4,2,2,4,2,3,2,2,novote,novote,1,novote,novote,1,2,2,2,1,16,3,8,3,2,4
62685,U75-003,2022AR17A,Valide,1,2,3,2,1,1,1,1,1,1,2,1,3,1,1,1,3,1,1,1,20,14,3,3,0,0
62898,U75-003,2022AR17A,Valide,1,1,1,1,novote,novote,1,novote,novote,1,novote,novote,novote,1,1,novote,novote,novote,novote,novote,8,8,0,0,0,12
63323,U75-003,2022AR17A,Valide,3,3,3,novote,3,3,3,2,1,1,novote,novote,novote,novote,2,2,novote,1,1,2,14,4,4,6,0,6
63386,U75-003,2022AR17A,Valide,novote,novote,4,novote,novote,1,novote,4,4,1,novote,novote,novote,novote,3,1,1,4,4,novote,10,4,0,1,5,10
63406,U75-003,2022AR17A,Valide,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,16
63542,U75-003,2022AR17A,Valide,4,2,4,3,novote,2,2,novote,novote,novote,novote,novote,2,novote,novote,novote,3,2,2,4,11,0,6,2,3,9
63587,U75-003,2022AR17A,Nul,novote,novote,novote,novote,novote,1,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,18
64262,U75-004,2022AR17A,Valide,1,novote,4,novote,novote,1,2,novote,novote,1,novote,novote,novote,3,novote,novote,3,novote,1,novote,8,4,1,2,1,12
64319,U75-003,2022AR17A,Valide,2,2,4,2,2,2,3,3,2,1,3,3,3,2,3,3,4,1,3,1,20,3,7,8,2,0
64377,U75-004,2022AR17A,Valide,1,novote,novote,1,novote,novote,novote,novote,1,1,1,novote,novote,novote,novote,2,novote,novote,1,novote,7,6,1,0,0,13
64477,U75-005,2022AR17A,Valide,2,2,3,1,1,4,2,1,2,1,2,2,3,2,3,3,3,3,3,4,20,4,7,7,2,0
64764,U75-003,2022AR17A,Valide,1,1,2,2,novote,novote,novote,1,novote,1,1,1,3,novote,novote,novote,novote,novote,novote,novote,9,6,2,1,0,11
64798,U75-003,2022AR17A,Valide,4,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,1,4,20,4,0,0,16,0
64887,U75-003,2022AR17A,Valide,1,1,3,1,1,4,2,3,1,1,1,1,1,2,1,1,4,2,2,1,20,12,4,2,2,0
64900,U75-003,2022AR17A,Valide,2,2,3,3,2,3,2,3,1,2,novote,1,2,1,2,2,1,3,2,1,19,5,9,5,0,1
65020,U75-005,2022AR17A,Valide,2,3,4,2,1,3,2,1,1,1,3,2,1,4,3,1,4,1,1,1,20,9,4,4,3,0
65050,U75-004,2022AR17A,Valide,1,novote,1,novote,1,novote,1,1,1,novote,4,1,novote,novote,novote,novote,1,novote,novote,novote,9,8,0,0,1,11
65257,U75-003,2022AR17A,Valide,1,1,3,2,1,4,1,1,2,1,2,2,1,1,2,2,2,2,2,1,20,9,9,1,1,0
65306,U75-005,2022AR17A,Valide,1,1,3,1,1,3,1,1,1,1,3,3,1,1,1,1,3,1,1,3,20,14,0,6,0,0
65324,U75-003,2022AR17A,Valide,1,2,3,2,2,4,3,novote,2,1,1,1,3,4,3,2,3,2,novote,novote,17,4,6,5,2,3
65387,U75-002,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,16
66233,U75-003,2022AR17A,Valide,3,2,3,2,2,2,1,2,1,2,2,2,2,2,2,1,3,2,1,3,20,4,12,4,0,0
66330,U75-003,2022AR17A,Valide,1,1,2,1,2,4,3,2,3,2,3,3,3,2,1,novote,2,3,1,2,19,5,7,6,1,1
66646,U75-003,2022AR17A,Valide,2,3,4,3,4,3,3,3,2,1,2,3,novote,novote,2,3,3,3,3,3,18,1,4,11,2,2
66657,U75-003,2022AR17A,Valide,1,novote,2,2,2,3,3,2,2,1,novote,2,1,1,1,1,3,1,1,3,18,8,6,4,0,2
66817,U75-003,2022AR17A,Valide,3,4,novote,novote,novote,4,3,novote,1,3,3,3,3,novote,4,novote,novote,1,1,novote,12,3,0,6,3,8
67105,U75-003,2022AR17A,Valide,3,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,novote,novote,1,1,1,novote,1,7,6,0,1,0,13
67340,U75-003,2022AR17A,Valide,1,novote,4,1,novote,3,4,1,3,1,1,2,4,1,1,novote,4,4,1,4,17,8,1,2,6,3
67650,U75-003,2022AR17A,Valide,1,2,3,2,2,2,2,1,3,1,3,3,1,2,1,2,3,2,2,2,20,5,10,5,0,0
68215,U75-003,2022AR17A,Valide,4,4,4,4,4,novote,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,0,0,0,19,1
68293,U75-003,2022AR17A,Valide,4,1,4,3,3,1,1,novote,1,2,3,2,3,novote,3,1,3,novote,3,3,17,5,2,8,2,3
68354,U75-002,2022AR17A,Valide,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,0,20,0,0,0
68491,U75-003,2022AR17A,Valide,1,3,4,3,4,2,2,3,2,1,3,2,1,3,3,2,3,2,3,1,20,4,6,8,2,0
68737,U75-003,2022AR17A,Valide,1,4,4,4,4,4,novote,novote,1,novote,1,1,novote,novote,4,novote,novote,novote,novote,novote,10,4,0,0,6,10
68842,U75-004,2022AR17A,Valide,novote,novote,novote,2,1,2,novote,1,novote,2,novote,2,2,novote,novote,1,novote,novote,novote,novote,8,3,5,0,0,12
69114,U75-003,2022AR17A,Valide,1,1,4,1,novote,4,1,3,1,1,novote,1,1,novote,novote,1,1,1,novote,1,15,12,0,1,2,5
69286,U75-004,2022AR17A,Valide,3,2,3,2,2,3,2,2,4,4,2,2,3,2,2,2,3,2,2,2,20,0,13,5,2,0
69437,U75-003,2022AR17A,Valide,1,2,4,2,novote,4,2,1,novote,1,novote,novote,2,1,novote,novote,novote,novote,novote,novote,10,4,4,0,2,10
69715,U75-003,2022AR17A,Valide,1,novote,novote,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,1,1,1,1,7,7,0,0,0,13
69763,U75-003,2022AR17A,Valide,2,1,3,1,1,1,2,1,2,1,1,2,3,1,1,2,4,3,1,4,20,10,5,3,2,0
69904,U75-004,2022AR17A,Valide,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,19,0,1,0,0
70049,U75-003,2022AR17A,Valide,1,1,3,2,2,3,2,2,2,1,2,1,2,3,1,2,3,3,1,2,20,6,9,5,0,0
70202,U75-003,2022AR17A,Valide,4,3,4,1,3,3,3,1,1,1,3,3,3,1,4,2,3,3,3,3,20,5,1,11,3,0
70229,U75-003,2022AR17A,Valide,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,20,17,3,0,0,0
70484,U75-003,2022AR17A,Nul,3,3,4,2,4,2 4,novote,1 2,1,1,2,2,novote,novote,novote,novote,4,4,2,4,13,2,4,2,5,5
70560,U75-002,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,novote,1,novote,1,novote,novote,1,novote,1,1,novote,novote,novote,novote,5,5,0,0,0,15
71013,U75-003,2022AR17A,Valide,1,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,novote,novote,1,novote,4,4,0,0,0,16
71841,U75-002,2022AR17A,Valide,2,novote,novote,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,4,2,2,0,0,16
71888,U75-003,2022AR17A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,novote,2,2,0,0,0,18
72020,U75-005,2022AR17A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,20
72052,U75-003,2022AR17A,Valide,1,1,novote,3,2,4,novote,1,3,1,2,2,3,1,novote,3,4,3,3,3,17,5,3,7,2,3
72074,U75-003,2022AR17A,Valide,1,3,2,2,2,1,3,3,2,1,3,3,3,3,3,3,2,2,2,3,20,3,7,10,0,0
72166,U75-003,2022AR17A,Valide,4,1,2,2,1,1,1,3,2,1,2,1,1,1,2,1,2,1,1,1,20,12,6,1,1,0
72315,U75-003,2022AR17A,Valide,2,3,4,3,2,4,novote,novote,2,1,4,3,novote,novote,novote,1,novote,1,1,novote,13,4,3,3,3,7
72341,U75-003,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,1,novote,novote,1,1,novote,4,4,0,0,0,16
72443,U75-003,2022AR17A,Valide,2,2,3,1,1,3,1,1,2,2,1,1,1,1,4,1,1,1,1,2,20,12,5,2,1,0
72548,U75-003,2022AR17A,Valide,2,1,4,2,3,4,3,3,2,1,4,3,4,4,4,3,1,4,4,2,20,3,4,5,8,0
72705,U75-004,2022AR17A,Valide,2,novote,novote,novote,1,novote,novote,novote,novote,1,novote,novote,novote,1,novote,novote,novote,1,1,novote,6,5,1,0,0,14
