ID,Urne,QR-Code,Categorie,"1 - Velo, velo, velo !",2 - Ameliorer les terrains sportifs du 17eme !,3 - Creation d un espace de glisse urbaine,4 - Des equipements sportifs moins energivores et mieux securises !,5 - Des equipements sportifs plus inclusifs,6 - Du tennis et du padel !,7 - Renover les gymnases du 17eme !,8 - Des locaux equipes pour un quartier plus solidaire,9 - Securiser les carrefours dangereux et les abords des ecoles,10 - Vers plus de vert dans le 17eme !,11 - Renover l ecole Bessieres aux Epinettes,12 - Renovons les ecoles du 17eme !,13 - Renover les marches couverts du 17eme,14 - Super ! La ressourcerie des familles,15 - De l art hors les murs !,16 - Patrimoine et memoire : restaurer et valoriser le 17eme !,17 - Reamenager la place des Ternes !,18 - Refection des chaussees boulevard des Batignolles,19 - Refection des trottoirs avenues de Clichy et St-Ouen,20 - Renovation de la rue de Rome et du boulevard Pereire,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
112614,U17-006,2022AR17B,Valide,1,novote,novote,novote,novote,1,novote,novote,novote,1,novote,novote,1,novote,1,1,1,novote,novote,novote,7,7,0,0,0,13
112616,U17-010,2022AR17B,Valide,1,1,novote,novote,novote,novote,2,1,1,novote,novote,novote,1,novote,1,novote,novote,novote,1,novote,8,7,1,0,0,12
112631,U17-008,2022AR17B,Valide,novote,1,2,1,2,2,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,6,3,3,0,0,14
112641,U17-003,2022AR17A,Valide,1,novote,novote,novote,novote,1,novote,novote,novote,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,16
112644,U17-010,2022AR17A,Valide,4,4,4,novote,4,4,4,4,4,novote,4,4,4,4,4,1,4,4,4,4,18,1,0,0,17,2
112647,U17-011,2022AR17A,Valide,1,1,novote,novote,1,novote,novote,novote,novote,1,novote,1,novote,1,novote,novote,novote,novote,novote,novote,6,6,0,0,0,14
112650,U17-010,2022AR17B,Valide,1,2,2,2,2,3,1,2,2,1,3,2,2,2,3,3,3,3,3,3,20,3,9,8,0,0
112651,U17-011,2022AR17B,Valide,1,1,2,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1,4,1,20,15,2,1,2,0
112652,U17-008,2022AR17A,Valide,novote,1,novote,novote,novote,novote,novote,1,novote,novote,novote,1,novote,novote,novote,novote,novote,1,novote,novote,4,4,0,0,0,16
112660,U19-060,2022AR17A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,1,novote,novote,1,3,3,0,0,0,17
112663,U17-003,2022AR17B,Valide,1,novote,2,novote,novote,novote,novote,novote,novote,2,novote,novote,novote,novote,novote,novote,novote,2,novote,2,5,1,4,0,0,15
112667,U17-011,2022AR17B,Valide,1,1,1,novote,novote,1,novote,novote,2,1,novote,novote,1,novote,2,2,4,2,2,3,13,6,5,1,1,7
112681,U17-005,2022AR17B,Valide,1,1,novote,novote,novote,novote,novote,novote,1,1,novote,1,novote,1,novote,1,1,novote,novote,novote,8,8,0,0,0,12
112688,U17-006,2022AR17B,Valide,4,2,3,2,1,1,2,1,2,1,3,1,2,1,4,2,3,3,3,2,20,6,7,5,2,0
112700,U17-010,2022AR17A,Valide,1,2,3,2,2,4,2,2,2,1,2,2,3,1,3,2,4,2,2,2,20,3,12,3,2,0
112704,U17-006,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,novote,novote,novote,1,novote,4,4,0,0,0,16
112711,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,1,1,novote,1,novote,novote,novote,novote,1,novote,novote,1,5,5,0,0,0,15
112712,U17-011,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,3,2,1,1,2,2,4,1,1,2,10,4,4,1,1,10
112718,U17-006,2022AR17B,Valide,novote,2,novote,2,2,2,novote,novote,novote,1,1,1,novote,novote,novote,novote,novote,novote,novote,novote,7,3,4,0,0,13
112723,U17-003,2022AR17A,Valide,novote,1,1,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,16
112725,U17-001,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,1,4,2,3,novote,novote,3,6,2,1,2,1,14
112728,U17-011,2022AR17B,Valide,2,2,4,1,1,4,2,1,2,1,2,2,3,3,2,2,2,3,3,3,20,4,9,5,2,0
112740,U17-003,2022AR17B,Valide,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,novote,4,4,4,4,19,6,1,0,12,1
112743,U17-005,2022AR17B,Nul,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1 4,1,1,2,19,16,3,0,0,0
112765,U17-010,2022AR17B,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,4,novote,novote,novote,novote,novote,3,2,0,0,1,17
112773,U17-001,2022AR17B,Valide,novote,1,novote,novote,novote,1,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,16
112775,U17-005,2022AR17B,Valide,1,2,3,1,1,1,3,1,2,1,2,2,2,2,1,2,2,3,2,3,20,7,9,4,0,0
112799,U17-006,2022AR17B,Valide,1,novote,novote,novote,novote,novote,novote,novote,1,1,novote,1,novote,novote,novote,novote,1,novote,novote,novote,5,5,0,0,0,15
112831,U17-011,2022AR17B,Valide,3,2,2,novote,novote,novote,1,novote,2,2,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,7,2,4,1,0,13
112833,U19-060,2022AR17A,Valide,novote,1,3,3,2,1,2,3,2,1,2,2,3,3,2,2,1,2,novote,1,18,5,8,5,0,2
112836,U17-010,2022AR17A,Valide,novote,1,novote,novote,novote,novote,novote,novote,1,novote,1,novote,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,16
112842,U17-011,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,4,4,4,novote,4,1,0,0,3,16
112845,U17-011,2022AR17A,Valide,novote,novote,novote,1,novote,2,novote,novote,1,2,novote,1,1,novote,1,novote,novote,novote,novote,novote,7,5,2,0,0,13
112850,U17-003,2022AR17A,Valide,1,2,3,3,3,4,1,2,1,2,3,2,2,3,3,2,1,1,1,1,20,7,6,6,1,0
112861,U17-005,2022AR17B,Valide,novote,novote,3,novote,novote,novote,2,novote,1,3,novote,3,novote,2,novote,1,1,novote,novote,3,9,3,2,4,0,11
112863,U17-003,2022AR17A,Valide,novote,1,novote,1,1,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,16
112879,U17-003,2022AR17A,Valide,4,3,2,3,4,3,3,3,1,1,4,3,3,2,4,4,4,3,4,4,20,2,2,8,8,0
112880,U17-011,2022AR17A,Valide,4,novote,novote,novote,2,novote,novote,2,1,novote,novote,1,novote,novote,2,1,novote,novote,2,novote,8,3,4,0,1,12
112888,U17-006,2022AR17B,Nul,3 4,2,2,2,2,3,4,2,1,1,3,2,2,2,2,2,2,3,3,3,19,2,11,5,1,0
112889,U17-008,2022AR17A,Valide,1,2,3,novote,1,novote,1,2,2,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,8,4,3,1,0,12
112892,U17-011,2022AR17B,Valide,4,novote,novote,novote,4,novote,novote,novote,novote,novote,novote,novote,2,novote,2,1,4,2,2,4,9,1,4,0,4,11
112907,U17-010,2022AR17B,Valide,1,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,16
112910,U17-003,2022AR17A,Valide,3,1,novote,novote,novote,2,1,1,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,novote,8,6,1,1,0,12
112919,U17-006,2022AR17B,Valide,3,2,4,4,2,3,2,2,1,1,2,1,3,1,novote,3,3,2,1,4,19,5,6,5,3,1
112930,U17-005,2022AR17B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,3,3,novote,novote,1,1 2,novote,novote,novote,3,1,0,2,0,16
112940,U17-010,2022AR17A,Valide,1,1,2,1,1,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,20,12,1,7,0,0
112943,U17-001,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,1,novote,1,2,novote,novote,novote,2,novote,novote,novote,novote,novote,novote,4,2,2,0,0,16
112945,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,2,1,2,2,3,1,4,1,2,1,1,novote,11,5,4,1,1,9
112953,U17-011,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,novote,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,16
112958,U17-001,2022AR17A,Valide,2,1,novote,novote,novote,1,1,1,2,1,1,1,2,novote,novote,novote,novote,1,1,novote,12,9,3,0,0,8
112970,U17-011,2022AR17B,Valide,2,novote,2,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,4,2,2,0,0,16
112974,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,3,novote,novote,2,2,novote,3,novote,2,novote,1,1,1,novote,novote,8,3,3,2,0,12
112975,U17-011,2022AR17A,Valide,2,2,1,3,3,2,1,1,2,1,3,1,3,1,1,3,3,2,2,2,20,7,7,6,0,0
112984,U17-006,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,2,2,novote,2,novote,novote,1,novote,1,novote,novote,novote,5,2,3,0,0,15
112992,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,2,novote,2,novote,3,novote,2,novote,1,1,2,3,4,9,2,4,2,1,11
112997,U17-003,2022AR17A,Valide,2,2,3,1,1,2,1,1,1,1,2,1,2,1,3,2,3,2,1,2,20,9,8,3,0,0
113003,U17-008,2022AR17B,Valide,novote,1,novote,1,novote,1,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,16
113015,U17-006,2022AR17B,Valide,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,3,2,2,20,15,3,2,0,0
113018,U17-010,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,1,4,4,0,0,0,16
113030,U17-006,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,novote,1,novote,novote,novote,1,4,4,0,0,0,16
113038,U17-003,2022AR17A,Valide,4,4,4,3,3,3,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,7,1,0,3,3,13
113048,U17-005,2022AR17B,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,novote,novote,novote,3,3,0,0,0,17
113049,U17-001,2022AR17B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,novote,2,novote,novote,novote,novote,novote,novote,2,novote,3,0,3,0,0,17
113057,U17-011,2022AR17A,Nul,novote,novote,novote,novote,novote,novote,novote,3,novote,2,novote,novote,novote,novote,novote,novote,novote,3,novote,novote,3,0,1,2,0,17
113061,U17-005,2022AR17B,Valide,1,novote,novote,novote,novote,1,novote,novote,1,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,16
113069,U17-002,2022AR17B,Valide,2,1,4,2,3,3,novote,3,2,novote,4,1,3,1,novote,4,1,novote,4,1,16,5,3,4,4,4
113070,U17-003,2022AR17B,Valide,3,2,3,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,20,5,13,2,0,0
113080,U17-001,2022AR17A,Valide,1,3,4,1,2,3,2,2,1,1,3,2,3,1,2,novote,4,3,1,3,19,6,5,6,2,1
113087,U17-001,2022AR17B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,novote,1 2 3 4,novote,2,novote,novote,novote,novote,novote,2,3,0,3,0,0,16
113088,U17-005,2022AR17B,Valide,novote,novote,novote,1,novote,1,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,1,novote,novote,6,6,0,0,0,14
113095,U17-005,2022AR17B,Valide,2,3,4,4,4,2,4,4,2,3,2,3,2,4,4,4,4,3,4,2,20,0,6,4,10,0
113102,U17-010,2022AR17B,Valide,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,3,1,20,17,0,1,2,0
113106,U17-006,2022AR17B,Valide,3,1,3,2,1,3,2,2,3,3,2,3,1,1,3,1,4,2,2,3,20,5,6,8,1,0
113113,U17-002,2022AR17B,Valide,2,1,2,2,2,3,2,2,1,1,3,1,1,1,1,1,3,3,3,novote,19,8,6,5,0,1
113119,U17-005,2022AR17B,Valide,4,3,2,3,3,3,2,2,1,1,1,1,1,2,3,3,3,3,3,3,20,5,4,10,1,0
113123,U17-001,2022AR17B,Valide,4,novote,4,4,4,4,3,4,3,1,1,1,3,novote,novote,2,4,novote,3,novote,15,3,1,4,7,5
113126,U17-011,2022AR17B,Valide,1,1,4,2,1,1,1,2,1,1,4,2,1,3,3,1,4,2,2,2,20,9,6,2,3,0
113136,U17-006,2022AR17B,Valide,1,novote,novote,novote,novote,4,novote,novote,novote,novote,novote,2,novote,novote,novote,1,novote,novote,novote,novote,4,2,1,0,1,16
113150,U17-008,2022AR17A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,20
113158,U17-003,2022AR17A,Valide,4,novote,novote,novote,2,novote,novote,1,novote,1,novote,novote,4,1,novote,1,novote,4,4,4,10,4,1,0,5,10
113164,U17-006,2022AR17B,Valide,1,1,2,1,1,novote,1,2,2,1,3,3,2,2,2,2,2,3,1,2,19,7,9,3,0,1
113184,U17-004,2022AR17B,Valide,1,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,novote,1,5,5,0,0,0,15
113185,U17-001,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,2,1,novote,novote,1,novote,novote,1,novote,novote,novote,1,5,4,1,0,0,15
113191,U17-011,2022AR17A,Valide,2,3,novote,novote,novote,novote,novote,2,2,1,novote,novote,novote,novote,1,1,novote,novote,novote,1,8,4,3,1,0,12
113196,U17-008,2022AR17A,Valide,3,1,2,1,1,3,1,1,1,1,1,1,3,1,1,1,3,3,3,1,20,13,1,6,0,0
113197,U17-006,2022AR17B,Valide,1,2,2,1,1,1,1,2,1,1,2,2,3,2,1,1,3,3,1,2,20,10,7,3,0,0
113200,U17-010,2022AR17B,Valide,3,2,novote,novote,2,novote,1,novote,2,1,novote,1,2,novote,novote,novote,novote,2,2,novote,10,3,6,1,0,10
113207,U17-011,2022AR17B,Valide,4,4,4,4,4,1,4,4,1,4,4,2,1,2,4,1,4,4,4,2,20,4,3,0,13,0
113219,U17-001,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,novote,novote,3,novote,novote,4,3,0,1,0,16
113234,U17-011,2022AR17A,Valide,1,novote,novote,novote,2,novote,novote,1,novote,novote,novote,1,novote,novote,1,novote,novote,novote,1,novote,6,5,1,0,0,14
113249,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,1,novote,novote,1,novote,novote,novote,1,4,4,0,0,0,16
113262,U19-060,2022AR17A,Valide,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,18,2,0,0,0
113266,U17-011,2022AR17A,Valide,1,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,16
113286,U17-011,2022AR17B,Valide,1,2,1,1,novote,3,3,1,1,1,2,3,1,1,1,1,3,2,2,3,19,10,4,5,0,1
113298,U17-005,2022AR17B,Valide,2,2,2,1,3,1,2,3,1,1,2,1,1,2,2,3,2,3,4,2,20,6,9,4,1,0
113305,U17-006,2022AR17B,Valide,1,3,3,1,1,2,1,3,1,1,3,1,1,2,3,1,4,3,2,3,20,9,3,7,1,0
113312,U17-011,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,1,novote,novote,2,3,novote,3,novote,novote,novote,novote,novote,novote,novote,4,1,1,2,0,16
113314,U17-005,2022AR17B,Valide,4,3,4,3,3,3,2,3,2,2,2,2,3,3,4,2,4,2,2,4,20,0,8,7,5,0
113318,U17-011,2022AR17B,Valide,3,3,3,3,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,3,20,0,4,16,0,0
113325,U17-001,2022AR17A,Valide,novote,1,novote,novote,novote,novote,1,1,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,16
113328,U17-011,2022AR17A,Valide,2,1,novote,1,2,3,3,1,1,1,1,1,2,3,2,1,3,1,1,2,19,10,5,4,0,1
113329,U17-005,2022AR17B,Valide,2,novote,4,novote,4,novote,novote,2,novote,4,novote,2,novote,novote,1,1,1,novote,novote,novote,9,3,3,0,3,11
113334,U17-006,2022AR17B,Valide,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,1,3,20,12,7,1,0,0
113336,U17-011,2022AR17B,Valide,1,3,3,1,2,3,2,1,1,1,3,1,2,novote,novote,1,3,2,2,3,18,7,5,6,0,2
113338,U17-010,2022AR17A,Valide,4,2,2,2,3,3,1,2,1,3,1,1,1,2,2,3,3,3,1,3,20,6,6,7,1,0
113343,U17-005,2022AR17B,Valide,1,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,novote,1,novote,5,5,0,0,0,15
113353,U17-011,2022AR17A,Valide,3,2,3,2,1,3,3,2,1,1,2,1,1,1,1,1,3,2,1,novote,19,9,5,5,0,1
113354,U17-008,2022AR17B,Valide,novote,novote,novote,1,novote,4,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,4,2,1,0,1,16
113360,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,16
113367,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,16
113374,U17-008,2022AR17B,Valide,novote,1,1,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,16
113376,U17-003,2022AR17B,Valide,1,2,1,2,2,3,3,2,1,1,3,1,2,2,2,2,3,2,2,3,20,5,10,5,0,0
113386,U17-005,2022AR17B,Valide,1,novote,novote,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,4,4,0,0,0,16
113391,U17-010,2022AR17A,Valide,1,novote,4,2,2,3,2,2,2,1,1,1,2,1,3,1,2,1,1,1,19,9,7,2,1,1
113407,U17-003,2022AR17B,Valide,1,1,1,1,2,4,2,1,1,1,2,1,2,2,1,1,2,1,novote,2,19,11,7,0,1,1
113415,U17-003,2022AR17A,Valide,1,3,4,3,2,4,3,1,3,3,2,4,4,1,3,4,4,4,3,4,20,3,2,7,8,0
113419,U17-005,2022AR17B,Valide,1,2,4,1,4,3,2,2,2,1,1,1,1,1,2,1,1,1,1,1,20,12,5,1,2,0
113426,U17-010,2022AR17B,Valide,2,2,novote,novote,novote,novote,novote,novote,2,1,1,2,novote,2,2,novote,novote,novote,1,novote,9,3,6,0,0,11
113434,U17-011,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,novote,2,novote,novote,novote,1,novote,novote,novote,1,4,2,2,0,0,16
113437,U17-005,2022AR17B,Valide,1,2,4,2,4,4,4,3,1,2,novote,1,3,3,novote,1,4,novote,novote,1,16,5,3,3,5,4
113465,U17-010,2022AR17B,Valide,2,novote,novote,novote,novote,novote,novote,novote,2,1,1,1,novote,2,2,novote,novote,novote,novote,novote,7,3,4,0,0,13
113469,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,novote,1,novote,1,novote,novote,4,4,0,0,0,16
113470,U17-011,2022AR17B,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,20,1,0,0,19,0
113473,U17-008,2022AR17A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20,0,0,0,0
113483,U17-001,2022AR17B,Valide,4,2,4,1,1,1,1,1,1,1,2,2,1,3,3,2,3,1,1,2,20,10,5,3,2,0
113490,U17-011,2022AR17A,Valide,novote,novote,novote,1,novote,novote,novote,2,novote,1,novote,novote,novote,2,2,2,4,novote,novote,novote,7,2,4,0,1,13
113496,U17-006,2022AR17A,Valide,1,4,4,4,4,4,4,4,4,1,4,4,4,1,2,2,4,4,4,4,20,3,2,0,15,0
113502,U17-003,2022AR17A,Valide,2,3,2,1,1,2,3,1,3,1,3,3,1,1,1,1,3,2,2,2,20,8,6,6,0,0
113504,U17-011,2022AR17A,Valide,1,2,novote,novote,1,novote,novote,novote,1,1,novote,novote,novote,1,1,1,novote,novote,novote,novote,8,7,1,0,0,12
113515,U17-001,2022AR17B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,18
113517,U17-005,2022AR17B,Valide,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4,4,20,12,4,0,4,0
113518,U17-011,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,1,1,novote,1,1,1,1,1,1,11,11,0,0,0,9
113519,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,4,novote,4,4,4,1,0,0,3,16
113527,U17-006,2022AR17B,Valide,1,1,novote,novote,novote,novote,2,1,2,1,1,novote,1,novote,1,2,3,3,1,3,14,8,3,3,0,6
113533,U17-008,2022AR17A,Valide,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,novote,3,3,3,19,11,5,3,0,1
113540,U17-011,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,4,novote,novote,3,novote,4,novote,1,novote,novote,novote,novote,4,1,0,1,2,16
113550,U17-011,2022AR17A,Valide,novote,1,novote,1,1,1,1,1,novote,1,novote,novote,novote,novote,1,novote,novote,1,1,novote,10,10,0,0,0,10
113552,U17-005,2022AR17B,Nul,4,novote,2,novote,novote,2,novote,1,1,1,novote,1,1,1 2,novote,1,1,novote,2,2,12,7,4,0,1,7
113557,U17-011,2022AR17A,Valide,3,novote,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,1,novote,1,novote,novote,5,4,0,1,0,15
113569,U17-001,2022AR17B,Valide,1,2,3,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,20,12,7,1,0,0
113571,U17-003,2022AR17A,Valide,1,2,3,3,3,1,3,2,1,2,1,1,3,3,2,1,4,1,1,4,20,8,4,6,2,0
113572,U17-011,2022AR17A,Valide,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,20,15,5,0,0,0
113576,U17-011,2022AR17A,Valide,2,novote,novote,novote,1,1,novote,novote,1,novote,novote,novote,novote,1,1,novote,novote,novote,novote,1,7,6,1,0,0,13
113586,U17-006,2022AR17B,Valide,3,2,3,2,3,3,2,2,2,2,1,1,2,1,3,3,3,2,2,3,20,3,9,8,0,0
113590,U17-001,2022AR17B,Valide,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,19,0,1,0,0
113591,U17-005,2022AR17B,Valide,2,1,3,1,1,1,1,2,1,3,1,1,1,novote,3,1,4,4,3,4,19,10,2,4,3,1
113593,U17-011,2022AR17A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,2,2,0,0,0,18
113600,U17-006,2022AR17B,Valide,1,2,2,2,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,1,20,4,15,1,0,0
113606,U17-005,2022AR17B,Valide,1,novote,4,1,novote,4,3,2,1,1,novote,novote,1,novote,novote,novote,1,3,2,1,13,7,2,2,2,7
113609,U17-005,2022AR17B,Valide,novote,2,novote,novote,2,novote,novote,2,novote,2,3,novote,2,novote,novote,2,1,novote,3,3,10,1,6,3,0,10
113610,U17-011,2022AR17A,Valide,2,1,1,1,1,3,1,2,1,1,1,2,2,1,1,2,2,novote,2,novote,18,10,7,1,0,2
113620,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,1,novote,1,1,novote,novote,novote,4,4,0,0,0,16
113622,U17-003,2022AR17A,Valide,2,novote,novote,novote,novote,1,novote,novote,novote,1,novote,novote,novote,novote,2,novote,novote,novote,1,novote,5,3,2,0,0,15
113624,U17-011,2022AR17A,Valide,2,1,3,4,novote,novote,1,1,2,novote,novote,novote,novote,novote,2,2,4,4,3,novote,12,3,4,2,3,8
113636,U17-006,2022AR17B,Valide,1,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,novote,novote,novote,1,1,novote,novote,novote,5,5,0,0,0,15
113638,U17-003,2022AR17B,Valide,2,1,3,2,novote,4,1,2,3,1,novote,3,3,1,3,2,1,novote,2,4,17,5,5,5,2,3
113651,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,1,1,novote,novote,1,4,4,0,0,0,16
113654,U17-003,2022AR17B,Valide,novote,2,novote,novote,2,novote,1,novote,novote,1,novote,novote,novote,novote,1,2,novote,novote,2,novote,7,3,4,0,0,13
113667,U17-006,2022AR17B,Valide,novote,2,2,novote,novote,novote,novote,2,3,novote,1,1,1,1,1,1,1,1,1,1,14,10,3,1,0,6
113668,U17-011,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,1,1,novote,novote,novote,novote,1,novote,4,4,0,0,0,16
113670,U17-001,2022AR17B,Valide,novote,novote,novote,novote,2,novote,novote,novote,novote,2,novote,novote,2,novote,novote,novote,novote,2,novote,2,5,0,5,0,0,15
113685,U17-011,2022AR17A,Valide,1,novote,1,novote,novote,1,novote,1,1,1,1,1,2,1,1,1,4,1,1,3,16,13,1,1,1,4
113686,U17-001,2022AR17B,Valide,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,20,17,3,0,0,0
113696,U17-003,2022AR17B,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,1,1,0,0,18
113704,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,1,novote,1,1,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,16
113711,U17-005,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,1,novote,1,novote,1,novote,novote,novote,1,1,novote,novote,novote,5,5,0,0,0,15
113721,U17-001,2022AR17A,Valide,4,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,20,5,14,0,1,0
113723,U17-003,2022AR17A,Valide,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,20,12,8,0,0,0
113727,U17-011,2022AR17B,Valide,novote,1,novote,1,novote,1,novote,novote,1,1,novote,1,1,novote,novote,1,2,2,2,2,12,8,4,0,0,8
