ID,Urne,QR-Code,Categorie,1 - Des stationnements pour les velos,2 - Renovation espace de glisse JEMMAPES,3 - Un terrain couvert pour les sportifs du 10eme,4 - Aider les sans-abris et lutter contre la precarite menstruelle,5 - Agrandir le jardin du Chalet et favoriser la biodiversite,6 - Des cours d ecoles et de colleges vegetalisees et Oasis,7 - Les ecoliers du 10e pionniers de l egalite numerique,8 - Un eco-lieu pour le 10e,9 - Rendre son lustre a la maison des habitant.e.s du 10e !,10 - Restauration de la Chapelle de la Vierge,11 - Restauration des decors de l eglise Saint-Martin-des-Champs,12 - Restaurer les grilles de l eglise Saint-Vincent-de-Paul,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
71759,U75-004,2022AR10A,Valide,2,1,1,2,4,1,2,1,1,novote,2,2,11,5,5,0,1,1
72050,U75-002,2022AR10A,Valide,1,1,1,novote,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,8
72066,U75-002,2022AR10A,Valide,2,2,2,1,1,2,2,1,3,2,2,1,12,4,7,1,0,0
72381,U75-003,2022AR10A,Valide,2,novote,novote,novote,1,1,novote,2,novote,novote,novote,novote,4,2,2,0,0,8
72746,U75-002,2022AR10A,Valide,3,1,1,2,1,1,1,3,1,2,1,3,12,7,2,3,0,0
73043,U75-003,2022AR10A,Valide,2,novote,novote,1,novote,1,novote,1,novote,novote,novote,novote,4,3,1,0,0,8
73104,U75-003,2022AR10A,Valide,2,2,3,2,3,1,2,2,3,2,3,2,12,1,7,4,0,0
73111,U75-002,2022AR10A,Valide,2,3,2,1,2,2,2,2,2,3,2,2,12,1,9,2,0,0
73132,U75-004,2022AR10A,Valide,1,4,4,1,1,1,1,1,3,3,3,3,12,6,0,4,2,0
73193,U75-003,2022AR10A,Valide,1,4,1,novote,novote,1,1,2,3,novote,4,4,9,4,1,1,3,3
73209,U75-002,2022AR10A,Valide,2,4,2,1,2,2,4,1,1,4,4,4,12,3,4,0,5,0
73526,U75-003,2022AR10A,Valide,2,3,2,1,3,4,novote,2,2,3,3,3,11,1,4,5,1,1
73856,U75-003,2022AR10A,Valide,3,2,3,1,1,3,3,novote,4,2,3,3,11,2,2,6,1,1
74128,U75-002,2022AR10A,Valide,2,1,1,2,2,1,3,2,2,2,3,1,12,4,6,2,0,0
74188,U75-002,2022AR10A,Valide,1,3,novote,1,1,2,1,1,1,1,1,1,11,9,1,1,0,1
74192,U75-003,2022AR10A,Valide,novote,novote,novote,1,1,novote,novote,1,novote,novote,novote,1,4,4,0,0,0,8
74233,U75-002,2022AR10A,Valide,3,2,2,2,2,1,2,2,2,2,2,3,12,1,9,2,0,0
74419,U75-003,2022AR10A,Valide,4,4,1,1,1,2,4,2,4,3,novote,novote,10,3,2,1,4,2
74464,U75-003,2022AR10A,Valide,novote,3,novote,novote,2,novote,novote,2,novote,novote,1,novote,4,1,2,1,0,8
74587,U75-003,2022AR10A,Valide,2,4,4,2,2,2,3,2,3,2,2,2,12,0,8,2,2,0
74886,U75-002,2022AR10A,Valide,1,1,1,1,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,8
74965,U75-003,2022AR10A,Valide,1,novote,1,1,novote,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,8
75099,U75-002,2022AR10A,Nul,2,3 4,4,1,novote,4,novote,1,4,4,2 4,4,8,2,1,0,5,2
75221,U75-002,2022AR10A,Valide,3,2,2,1,1,1,2,3,3,2,1,1,12,5,4,3,0,0
75277,U75-003,2022AR10A,Valide,2,2,novote,3,1,1,1,1,1,1,1,1,11,8,2,1,0,1
75451,U75-003,2022AR10A,Valide,4,3,1,3,2,1,1,2,novote,novote,3,3,10,3,2,4,1,2
75648,U75-003,2022AR10A,Valide,2,1,2,3,1,1,novote,2,novote,novote,2,novote,8,3,4,1,0,4
76103,U75-002,2022AR10A,Valide,1,novote,1,1,novote,novote,novote,2,novote,novote,novote,2,5,3,2,0,0,7
77256,U75-002,2022AR10A,Valide,2,2,1,2,novote,1,1,1,3,1,1,1,11,7,3,1,0,1
78009,U75-002,2022AR10A,Valide,3,3,2,1,1,2,2,1,2,3,3,4,12,3,4,4,1,0
78582,U75-002,2022AR10A,Valide,1,novote,4,4,4,3,2,4,2,4,4,4,11,1,2,1,7,1
90519,U10-006,2022AR10A,Valide,1,2,novote,1,novote,novote,1,novote,novote,1,1,1,7,6,1,0,0,5
90700,U10-006,2022AR10A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,0,0,0
90725,U10-006,2022AR10A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
90748,U10-006,2022AR10A,Valide,2,3,3,1,2,3,2,novote,3,2,2,2,11,1,6,4,0,1
90818,U10-006,2022AR10A,Valide,2,novote,novote,1,1,2,novote,novote,novote,novote,novote,novote,4,2,2,0,0,8
90826,U10-006,2022AR10A,Nul,novote,1,1,novote,novote,novote,1,novote,novote,novote,novote,novote,3,3,0,0,0,9
90874,U10-006,2022AR10A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
90882,U10-006,2022AR10A,Valide,1,2,3,1,2,1,2,2,4,1,1,3,12,5,4,2,1,0
90974,U10-006,2022AR10A,Valide,novote,1,1,1,1,1,1,2,2,3,2,3,11,6,3,2,0,1
91042,U10-006,2022AR10A,Valide,1,2,1,1,1,1,2,1,2,2,2,2,12,6,6,0,0,0
91086,U10-006,2022AR10A,Valide,2,2,2,2,3,2,2,3,4,2,novote,novote,10,0,7,2,1,2
91151,U10-006,2022AR10A,Valide,3,3,1,2,novote,3,3,novote,novote,novote,novote,novote,6,1,1,4,0,6
91356,U10-006,2022AR10A,Nul,novote,novote,novote,1,novote,1,novote,novote,novote,novote,novote,novote,2,2,0,0,0,10
91690,U10-006,2022AR10A,Valide,novote,1,novote,2,novote,1,novote,novote,2,novote,novote,novote,4,2,2,0,0,8
91721,U10-006,2022AR10A,Valide,novote,novote,novote,1,2,novote,2,2,novote,1,novote,1,6,3,3,0,0,6
91772,U10-006,2022AR10A,Nul,novote,novote,novote,1,2,2,novote,novote,novote,novote,novote,novote,3,1,2,0,0,9
91996,U10-006,2022AR10A,Valide,1,2,2,1,1,novote,novote,1,3,novote,novote,3,8,4,2,2,0,4
92068,U10-006,2022AR10A,Valide,3,2,2,1,1,1,1,1,2,2,1,1,12,7,4,1,0,0
92105,U10-006,2022AR10A,Valide,2,2,2,1,2,1,1,1,novote,3,3,3,11,4,4,3,0,1
92196,U10-006,2022AR10A,Valide,2,1,3,1,3,4,3,3,3,4,4,4,12,2,1,5,4,0
