ID,Urne,QR-Code,Categorie,1 - Ameliorer les equipements sportifs du 11e pour en developper l usage,2 - Innover au service de toutes et tous dans le 11e,3 - Rendre le 11e encore plus vert,4 - Amenager et equiper les ecoles du 11e,5 - Creer une cour Oasis pour les ecoles Belleville et Presentation,6 - Equiper les colleges du 11e pour developper les apprentissages,"7 - Embellir l eglise Saint-Ambroise, patrimoine du 11e",8 - Embellir le 11e grace a des œuvres sur les murs,9 - Favoriser la vie culturelle du quartier Belleville Saint-Maur,10 - Apaiser la circulation et partager l espace public du 11e,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
65122,U75-005,2022AR11A,Valide,1,2,1,3,2,2,2,3,2,1,10,3,5,2,0,0
65300,U75-003,2022AR11A,Valide,3,3,1,2,2,2,2,4,4,1,10,2,4,2,2,0
65798,U75-002,2022AR11A,Valide,2,2,2,novote,3,3,3,3,3,2,9,0,4,5,0,1
65836,U75-003,2022AR11A,Valide,3,2,1,1,3,novote,novote,novote,novote,1,6,3,1,2,0,4
65874,U75-003,2022AR11A,Valide,1,2,2,3,3,2,1,novote,novote,1,8,3,3,2,0,2
66109,U75-003,2022AR11A,Valide,1,1,1,1,2,1,1,novote,1,1,9,8,1,0,0,1
66181,U75-002,2022AR11B,Valide,novote,1,1,novote,novote,novote,novote,1,1,novote,4,4,0,0,0,6
66323,U75-002,2022AR11A,Valide,2,1,1,novote,novote,novote,4,3,2,1,7,3,2,1,1,3
66361,U75-003,2022AR11A,Valide,1,2,1,3,3,2,2,2,1,1,10,4,4,2,0,0
66478,U75-004,2022AR11A,Valide,novote,1,1,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,6
66829,U75-002,2022AR11B,Valide,novote,1,1,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,6
66865,U75-002,2022AR11B,Valide,3,4,1,1,3,3,4,4,2,2,10,2,2,3,3,0
67117,U75-004,2022AR11A,Valide,novote,novote,novote,1,novote,1,1,novote,novote,1,4,4,0,0,0,6
67229,U75-003,2022AR11A,Valide,3,3,1,3,novote,novote,2,novote,novote,3,6,1,1,4,0,4
67492,U75-002,2022AR11B,Valide,4,2,1,1,2,1,2,2,2,2,10,3,6,0,1,0
67590,U75-004,2022AR11A,Valide,1,novote,2,1,3,1,3,2,3,2,9,3,3,3,0,1
67656,U75-004,2022AR11A,Valide,3,1,1,3,3,3,2,2,4,1,10,3,2,4,1,0
67800,U75-003,2022AR11A,Valide,2,1,1,1,1,1,2,2,1,1,10,7,3,0,0,0
67882,U75-005,2022AR11A,Valide,3,3,1,4,4,4,1,2,2,1,10,3,2,2,3,0
67916,U75-003,2022AR11A,Nul,3,1,1 2,4,4,1,2,2,2,1,9,3,3,1,2,0
68126,U75-003,2022AR11A,Valide,1,1,1,2,3,3,4,3,2,1,10,4,2,3,1,0
68134,U75-003,2022AR11A,Valide,3,2,1,3,3,3,2,1,2,1,10,3,3,4,0,0
68184,U75-002,2022AR11B,Valide,2,novote,1,novote,novote,2,novote,novote,novote,1,4,2,2,0,0,6
68191,U75-002,2022AR11A,Valide,3,2,1,2,3,3,2,1,2,1,10,3,4,3,0,0
68327,U75-003,2022AR11A,Valide,1,3,1,3,3,1,4,1,2,1,10,5,1,3,1,0
68550,U75-003,2022AR11A,Valide,2,2,1,1,1,1,3,2,2,1,10,5,4,1,0,0
68923,U75-003,2022AR11A,Valide,1,2,1,2,3,2,3,3,2,1,10,3,4,3,0,0
69034,U75-003,2022AR11A,Valide,novote,novote,1,1,novote,1,novote,1,novote,3,5,4,0,1,0,5
69067,U75-002,2022AR11A,Valide,2,novote,1,1,novote,2,4,3,1,1,8,4,2,1,1,2
69163,U75-003,2022AR11A,Valide,novote,novote,1,1,novote,1,novote,novote,novote,1,4,4,0,0,0,6
69400,U75-003,2022AR11A,Valide,novote,novote,2,novote,novote,novote,1,1,1,novote,4,3,1,0,0,6
69551,U75-003,2022AR11A,Valide,1,novote,1,novote,novote,1,novote,4,1,4,6,4,0,0,2,4
69619,U75-003,2022AR11A,Valide,1,4,1,4,4,4,novote,3,novote,1,8,3,0,1,4,2
70107,U75-002,2022AR11A,Valide,novote,2,novote,novote,novote,2,novote,novote,2,2,4,0,4,0,0,6
70155,U75-003,2022AR11A,Valide,1,novote,1,2,3,3,2,novote,2,1,8,3,3,2,0,2
70305,U75-002,2022AR11A,Valide,1,2,1,2,2,novote,2,novote,3,3,8,2,4,2,0,2
70355,U75-003,2022AR11A,Valide,1,novote,1,novote,novote,novote,2,novote,novote,1,4,3,1,0,0,6
70887,U75-002,2022AR11A,Valide,1,2,1,1,2,1,3,1,2,1,10,6,3,1,0,0
70999,U75-002,2022AR11A,Valide,1,novote,1,1,1,novote,novote,novote,novote,1,5,5,0,0,0,5
71352,U75-002,2022AR11B,Nul,novote,novote,1,novote,novote,novote,novote,2,novote,novote,2,1,1,0,0,8
71404,U75-003,2022AR11A,Nul,2,novote,1 2,novote,novote,novote,novote,novote,novote,2,2,0,2,0,0,7
72016,U75-003,2022AR11A,Valide,3,2,1,2,2,2,2,1,3,2,10,2,6,2,0,0
72024,U75-004,2022AR11A,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,1,2,2,0,0,0,8
72133,U75-004,2022AR11A,Valide,1,3,3,1,1,2,2,2,novote,4,9,3,3,2,1,1
72336,U75-002,2022AR11A,Valide,2,3,2,3,3,1,4,2,4,3,10,1,3,4,2,0
72365,U75-003,2022AR11A,Valide,2,3,3,1,1,3,3,3,2,3,10,2,2,6,0,0
72369,U75-004,2022AR11A,Valide,1,1,1,1,3,2,2,1,1,1,10,7,2,1,0,0
72387,U75-002,2022AR11A,Nul,3,2,4,2,3 4,2,2,4,2,3,9,0,5,2,2,0
72435,U75-003,2022AR11A,Valide,2,1,1,3,3,2,1,4,4,1,10,4,2,2,2,0
72571,U75-004,2022AR11A,Valide,1,2,1,2,2,2,3,3,3,2,10,2,5,3,0,0
72573,U75-003,2022AR11A,Valide,4,3,3,2,4,4,1,4,2,4,10,1,2,2,5,0
72651,U75-002,2022AR11B,Valide,1,novote,1,1,1,1,1,4,1,novote,8,7,0,0,1,2
72749,U75-003,2022AR11A,Valide,1,2,1,3,3,3,1,1,1,2,10,5,2,3,0,0
72911,U75-003,2022AR11A,Valide,4,3,2,1,4,1,2,4,3,4,10,2,2,2,4,0
73011,U75-002,2022AR11B,Valide,2,2,1,1,1,1,3,1,1,1,10,7,2,1,0,0
73036,U75-003,2022AR11A,Valide,novote,novote,2,novote,novote,novote,2,1,novote,2,4,1,3,0,0,6
73228,U75-004,2022AR11A,Valide,3,3,3,3,2,1,1,1,1,1,10,5,1,4,0,0
73487,U75-003,2022AR11A,Valide,1,4,1,3,2,2,2,2,2,1,10,3,5,1,1,0
73674,U75-002,2022AR11B,Valide,1,novote,1,1,novote,1,1,1,novote,1,7,7,0,0,0,3
73723,U75-003,2022AR11A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,9
73747,U75-003,2022AR11A,Nul,3,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,0,0,1,0,9
73798,U75-002,2022AR11B,Valide,1,2,4,2,3,1,1,3,novote,3,9,3,2,3,1,1
73924,U75-002,2022AR11B,Valide,2,2,2,2,1,novote,4,2,1,1,9,3,5,0,1,1
73965,U75-003,2022AR11A,Valide,1,2,1,4,4,4,2,1,1,1,10,5,2,0,3,0
73969,U75-003,2022AR11A,Nul,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,1,1,0,0,0,9
73972,U75-003,2022AR11A,Valide,novote,1,1,novote,novote,novote,1,1,1,1,6,6,0,0,0,4
73980,U75-003,2022AR11A,Valide,1,novote,novote,novote,novote,1,1,1,2,1,6,5,1,0,0,4
74055,U75-002,2022AR11B,Valide,2,2,1,1,3,1,2,3,1,1,10,5,3,2,0,0
74142,U75-003,2022AR11A,Valide,2,1,1,3,3,3,3,3,2,1,10,3,2,5,0,0
74168,U75-002,2022AR11A,Valide,2,1,1,1,2,2,2,1,2,1,10,5,5,0,0,0
74196,U75-002,2022AR11A,Valide,1,1,1,1,3,3,3,1,2,2,10,5,2,3,0,0
74295,U75-002,2022AR11B,Valide,1,1,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,6
74335,U75-003,2022AR11A,Valide,1,novote,1,1,novote,novote,novote,novote,1,1,5,5,0,0,0,5
74350,U75-002,2022AR11B,Valide,1,2,2,2,3,2,3,4,2,2,10,1,6,2,1,0
74354,U75-003,2022AR11A,Valide,1,1,1,novote,novote,novote,2,3,2,1,7,4,2,1,0,3
74380,U75-002,2022AR11A,Valide,2,3,3,4,4,4,1,1,4,4,10,2,1,2,5,0
74389,U75-003,2022AR11A,Valide,1,2,3,1,3,1,1,4,2,1,10,5,2,2,1,0
74477,U75-003,2022AR11A,Valide,3,1,1,3,2,2,4,1,1,1,10,5,2,2,1,0
74482,U75-003,2022AR11A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
74551,U75-003,2022AR11A,Valide,3,3,1,3,3,3,1,3,novote,2,9,2,1,6,0,1
74614,U75-003,2022AR11A,Valide,3,1,1,2,2,2,3,1,1,2,10,4,4,2,0,0
74695,U75-002,2022AR11B,Valide,3,2,1,2,2,2,3,2,1,2,10,2,6,2,0,0
74716,U75-002,2022AR11A,Nul,2,1 3,3,3,3,3,2,1,1,1,9,3,2,4,0,0
74749,U75-003,2022AR11A,Valide,novote,novote,1,novote,novote,novote,1,novote,1,1,4,4,0,0,0,6
75071,U75-003,2022AR11A,Valide,2,1,1,2,1,2,3,2,1,1,10,5,4,1,0,0
75106,U75-003,2022AR11A,Valide,1,2,2,1,3,2,1,3,2,3,10,3,4,3,0,0
75163,U75-002,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
75193,U75-003,2022AR11A,Valide,1,3,3,2,4,4,2,2,2,2,10,1,5,2,2,0
75231,U75-003,2022AR11A,Valide,3,3,1,1,1,1,3,3,2,1,10,5,1,4,0,0
75315,U75-002,2022AR11B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
75317,U75-003,2022AR11A,Valide,2,novote,1,novote,novote,1,3,3,2,1,7,3,2,2,0,3
75352,U75-003,2022AR11A,Valide,novote,novote,1,novote,novote,novote,2,2,novote,1,4,2,2,0,0,6
75391,U75-003,2022AR11A,Valide,4,3,3,1,2,1,1,3,3,4,10,3,1,4,2,0
75423,U75-002,2022AR11A,Valide,1,1,novote,novote,novote,1,novote,novote,novote,1,4,4,0,0,0,6
75491,U75-003,2022AR11A,Valide,1,2,2,2,3,3,1,2,1,1,10,4,4,2,0,0
75531,U75-003,2022AR11A,Valide,2,1,1,2,2,2,1,3,2,2,10,3,6,1,0,0
75559,U75-003,2022AR11A,Valide,novote,novote,1,1,novote,1,novote,1,novote,novote,4,4,0,0,0,6
75642,U75-003,2022AR11A,Valide,novote,novote,1,1,novote,1,novote,4,novote,1,5,4,0,0,1,5
75679,U75-002,2022AR11B,Valide,2,2,1,1,2,1,3,1,2,2,10,4,5,1,0,0
75700,U75-003,2022AR11A,Valide,3,1,1,3,2,3,3,novote,novote,1,8,3,1,4,0,2
75712,U75-003,2022AR11A,Valide,1,1,1,1,1,1,4,3,3,1,10,7,0,2,1,0
75759,U75-002,2022AR11B,Valide,1,novote,1,novote,novote,1,novote,novote,1,novote,4,4,0,0,0,6
75778,U75-002,2022AR11B,Valide,4,3,1,1,3,2,3,4,4,3,10,2,1,4,3,0
75810,U75-003,2022AR11A,Valide,1,1,1,2,2,2,1,2,2,1,10,5,5,0,0,0
75817,U75-002,2022AR11B,Valide,novote,1,2,1,2,novote,novote,1,1,2,7,4,3,0,0,3
75835,U75-003,2022AR11A,Valide,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,6
76091,U75-002,2022AR11B,Nul,1,3,1 2,2,4,3,1,4,2,4,9,2,2,2,3,0
76282,U75-002,2022AR11B,Valide,4,1,2,3,1,1,4,1,2,2,10,4,3,1,2,0
76550,U75-002,2022AR11B,Valide,3,3,4,2,2,2,1,1,3,4,10,2,3,3,2,0
76577,U75-002,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
76623,U75-002,2022AR11B,Nul,2,2 3,1,2,3,2,3,1,3,2,9,2,4,3,0,0
76808,U75-002,2022AR11A,Valide,3,3,1,2,3,2,1,1,2,1,10,4,3,3,0,0
76818,U75-002,2022AR11B,Valide,2,1,2,2,2,1,3,3,2,2,10,2,6,2,0,0
76833,U75-002,2022AR11A,Valide,1,2,4,2,4,2,2,4,4,4,10,1,4,0,5,0
77044,U75-002,2022AR11B,Valide,1,4,3,2,2,2,1,1,2,4,10,3,4,1,2,0
77105,U75-002,2022AR11B,Valide,2,1,1,1,1,1,3,2,2,2,10,5,4,1,0,0
77244,U75-002,2022AR11B,Valide,1,1,2,1,2,1,3,2,novote,2,9,4,4,1,0,1
77424,U75-002,2022AR11A,Valide,1,novote,1,3,novote,2,3,1,2,novote,7,3,2,2,0,3
77651,U75-002,2022AR11B,Valide,3,1,2,1,2,1,3,3,2,1,10,4,3,3,0,0
77828,U75-002,2022AR11B,Valide,2,2,2,2,2,2,2,2,2,2,10,0,10,0,0,0
78420,U75-002,2022AR11A,Valide,4,2,1,3,2,3,3,4,2,1,10,2,3,3,2,0
78435,U75-002,2022AR11B,Valide,2,3,1,2,3,2,4,1,3,1,10,3,3,3,1,0
94432,U75-001,2022AR11A,Valide,3,3,1,2,1,1,4,2,3,1,10,4,2,3,1,0
95671,U19-001,2022AR11B,Valide,2,2,1,2,2,1,3,3,1,2,10,3,5,2,0,0
96008,U75-001,2022AR11A,Valide,1,1,1,1,1,1,novote,novote,novote,novote,6,6,0,0,0,4
97281,U75-001,2022AR11A,Valide,3,3,1,1,1,2,2,2,1,3,10,4,3,3,0,0
97847,U75-001,2022AR11A,Valide,3,1,1,4,3,1,1,1,2,4,10,5,1,2,2,0
100542,U75-001,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
100926,U75-001,2022AR11A,Valide,3,2,1,3,3,2,4,3,2,1,10,2,3,4,1,0
101223,U75-001,2022AR11A,Valide,1,1,1,1,2,2,3,1,2,1,10,6,3,1,0,0
101962,U75-001,2022AR11A,Valide,3,2,3,2,3,3,2,4,3,1,10,1,3,5,1,0
107020,U75-001,2022AR11A,Valide,1,novote,novote,1,novote,novote,1,novote,novote,1,4,4,0,0,0,6
110432,U75-001,2022AR11A,Valide,1,novote,2,1,3,1,2,1,1,2,9,5,3,1,0,1
111282,U75-001,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
111540,U75-001,2022AR11A,Valide,3,4,1,1,1,1,3,3,3,1,10,5,0,4,1,0
111924,U75-001,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
112266,U75-001,2022AR11A,Valide,1,3,1,1,1,1,1,1,1,1,10,9,0,1,0,0
117521,U75-001,2022AR11A,Nul,novote,1,novote,novote,novote,novote,3,novote,novote,1,3,2,0,1,0,7
121234,U75-001,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
126294,U75-001,2022AR11A,Valide,novote,novote,1,1,novote,novote,1,novote,novote,1,4,4,0,0,0,6
130196,U75-001,2022AR11A,Nul,1,1,1,1 2,1 2,1 2,1,1,1,1 2,6,6,0,0,0,0
130396,U75-001,2022AR11A,Nul,2,2,1,1,3,2,2 3,4,2,1,9,3,4,1,1,0
131158,U11-002,2022AR11B,Valide,1,3,1,1,2,2,3,1,3,2,10,4,3,3,0,0
131226,U11-002,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
