ID,Urne,QR-Code,Categorie,1 - Ameliorer les equipements sportifs du 11e pour en developper l usage,2 - Innover au service de toutes et tous dans le 11e,3 - Rendre le 11e encore plus vert,4 - Amenager et equiper les ecoles du 11e,5 - Creer une cour Oasis pour les ecoles Belleville et Presentation,6 - Equiper les colleges du 11e pour developper les apprentissages,"7 - Embellir l eglise Saint-Ambroise, patrimoine du 11e",8 - Embellir le 11e grace a des œuvres sur les murs,9 - Favoriser la vie culturelle du quartier Belleville Saint-Maur,10 - Apaiser la circulation et partager l espace public du 11e,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
193520,U11-004,2022AR11A,Valide,1,novote,1,1,novote,1,1,4,1,1,8,7,0,0,1,2
193532,U11-010,2022AR11A,Valide,2,novote,novote,2,novote,2,novote,novote,novote,2,4,0,4,0,0,6
193549,U11-010,2022AR11A,Valide,1,novote,1,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,6
193566,U11-004,2022AR11A,Valide,1,1,2,1,3,1,3,3,2,2,10,4,3,3,0,0
193570,U11-010,2022AR11B,Valide,3,1,3,3,1,novote,2,3,2,3,9,2,2,5,0,1
193577,U11-010,2022AR11A,Valide,novote,novote,1,1,novote,1,1,novote,novote,1,5,5,0,0,0,5
193591,U11-010,2022AR11A,Valide,1,1,1,novote,novote,novote,1,novote,novote,1,5,5,0,0,0,5
193597,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
193647,U11-004,2022AR11B,Valide,3,4,2,2,2,2,3,4,4,4,10,0,4,2,4,0
193662,U11-004,2022AR11A,Valide,2,2,2,1,1,1,1,1,2,1,10,6,4,0,0,0
193689,U11-004,2022AR11A,Nul,novote,novote,1,1,novote,novote,novote,1,novote,novote,3,3,0,0,0,7
193696,U11-010,2022AR11B,Valide,4,4,1,4,1,1,1,4,4,1,10,5,0,0,5,0
193709,U11-010,2022AR11B,Valide,4,1,1,4,1,4,1,4,3,2,10,4,1,1,4,0
193749,U11-010,2022AR11B,Valide,1,1,1,1,1,1,2,4,1,1,10,8,1,0,1,0
193756,U11-004,2022AR11B,Valide,novote,1,1,novote,novote,1,novote,novote,novote,1,4,4,0,0,0,6
193781,U11-004,2022AR11A,Valide,2,1,2,2,3,2,2,2,2,2,10,1,8,1,0,0
193882,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
193930,U11-010,2022AR11B,Valide,novote,2,novote,novote,2,2,novote,3,novote,2,5,0,4,1,0,5
193957,U11-010,2022AR11A,Valide,1,2,2,3,3,2,4,4,3,novote,9,1,3,3,2,1
194007,U11-010,2022AR11A,Valide,novote,novote,1,novote,novote,novote,1,novote,1,1,4,4,0,0,0,6
194019,U11-010,2022AR11A,Valide,1,3,2,1,4,1,4,2,3,2,10,3,3,2,2,0
194089,U11-010,2022AR11B,Valide,4,3,2,1,2,2,4,3,2,3,10,1,4,3,2,0
194098,U11-004,2022AR11A,Valide,2,1,novote,1,3,2,novote,novote,novote,novote,5,2,2,1,0,5
194149,U11-010,2022AR11B,Valide,2,3,1,3,3,1,4,3,2,1,10,3,2,4,1,0
194179,U11-004,2022AR11A,Valide,1,2,1,1,1,1,3,3,2,1,10,6,2,2,0,0
194197,U11-010,2022AR11A,Valide,2,1,3,2,1,2,3,4,2,3,10,2,4,3,1,0
194207,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
194258,U11-010,2022AR11A,Nul,1,novote,1,1,novote,novote,novote,novote,novote,novote,3,3,0,0,0,7
194262,U11-010,2022AR11A,Valide,2,2,1,2,3,2,2,3,2,2,10,1,7,2,0,0
194303,U11-010,2022AR11A,Valide,2,1,1,2,3,3,1,2,2,2,10,3,5,2,0,0
194315,U11-010,2022AR11A,Valide,4,1,1,3,3,1,1,3,1,1,10,6,0,3,1,0
194317,U11-010,2022AR11B,Valide,3,2,1,3,3,3,1,1,1,3,10,4,1,5,0,0
194336,U11-004,2022AR11B,Nul,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
194356,U11-010,2022AR11B,Valide,3,3,1,1,1,2,2,2,2,2,10,3,5,2,0,0
194376,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
194392,U11-010,2022AR11B,Valide,novote,2,1,novote,novote,novote,novote,novote,3,2,4,1,2,1,0,6
194393,U11-010,2022AR11B,Valide,3,1,1,2,2,1,3,2,3,2,10,3,4,3,0,0
194400,U11-010,2022AR11B,Valide,2,3,2,2,1,1,3,3,2,2,10,2,5,3,0,0
194401,U11-010,2022AR11B,Valide,1,1,1,1,1,1,1,novote,1,1,9,9,0,0,0,1
194406,U11-010,2022AR11A,Valide,1,2,2,2,1,3,1,2,2,1,10,4,5,1,0,0
194421,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
194468,U11-010,2022AR11B,Valide,2,2,1,1,1,1,4,2,2,2,10,4,5,0,1,0
194477,U11-010,2022AR11B,Valide,2,2,1,1,3,1,3,2,1,1,10,5,3,2,0,0
194479,U11-010,2022AR11A,Valide,1,novote,1,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
194483,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
194498,U11-010,2022AR11A,Valide,2,2,2,2,3,2,1,3,4,3,10,1,5,3,1,0
194525,U11-010,2022AR11A,Valide,2,2,2,2,2,2,3,2,2,2,10,0,9,1,0,0
194576,U11-010,2022AR11B,Valide,1,3,1,1,2,2,4,4,2,1,10,4,3,1,2,0
194618,U11-010,2022AR11A,Valide,2,2,2,1,2,2,3,2,3,3,10,1,6,3,0,0
194619,U11-010,2022AR11B,Valide,2,2,1,novote,2,2,2,1,1,2,9,3,6,0,0,1
194633,U11-010,2022AR11A,Valide,2,4,2,2,1,4,3,2,3,1,10,2,4,2,2,0
194644,U11-010,2022AR11B,Valide,1,2,novote,novote,2,novote,novote,novote,novote,2,4,1,3,0,0,6
194671,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
194770,U11-010,2022AR11A,Valide,novote,1,2,novote,novote,2,3,novote,novote,novote,4,1,2,1,0,6
194773,U11-010,2022AR11B,Valide,1,1,1,1,1,1,4,1,1,1,10,9,0,0,1,0
194806,U11-010,2022AR11A,Valide,2,1,novote,1,novote,1,novote,novote,novote,1,5,4,1,0,0,5
194833,U11-010,2022AR11B,Valide,1,2,1,2,2,2,3,2,3,1,10,3,5,2,0,0
194889,U11-010,2022AR11A,Valide,2,2,1,1,2,1,2,1,1,2,10,5,5,0,0,0
194898,U11-010,2022AR11B,Valide,2,2,1,1,1,1,2,2,2,3,10,4,5,1,0,0
194955,U01-004,2022AR11A,Valide,1,novote,novote,1,novote,1,1,novote,novote,novote,4,4,0,0,0,6
194960,U11-010,2022AR11B,Valide,novote,novote,1,2,novote,novote,novote,novote,1,1,4,3,1,0,0,6
194969,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
194977,U11-010,2022AR11B,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,1,2,2,0,0,0,8
194987,U11-010,2022AR11B,Valide,2,2,2,1,1,1,3,3,2,1,10,4,4,2,0,0
194989,U11-010,2022AR11B,Valide,1,2,4,2,1,1,1,2,1,3,10,5,3,1,1,0
195004,U11-010,2022AR11B,Valide,2,2,1,1,2,1,4,2,2,1,10,4,5,0,1,0
195011,U11-010,2022AR11B,Valide,2,2,2,novote,novote,novote,2,novote,2,2,6,0,6,0,0,4
195025,U11-010,2022AR11B,Valide,1,1,1,1,1,1,3,1,1,1,10,9,0,1,0,0
195066,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
195077,U11-010,2022AR11B,Valide,2,2,1,1,1,1,3,3,2,1,10,5,3,2,0,0
195110,U11-010,2022AR11A,Valide,3,3,1,3,3,3,4,1,3,1,10,3,0,6,1,0
195129,U11-010,2022AR11A,Valide,3,2,1,2,2,2,3,2,3,1,10,2,5,3,0,0
195165,U11-010,2022AR11A,Valide,novote,1,1,1,1,1,4,1,1,1,9,8,0,0,1,1
195173,U11-010,2022AR11B,Valide,3,1,1,3,3,3,1,3,3,1,10,4,0,6,0,0
195179,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
195184,U11-010,2022AR11B,Valide,3,2,1,3,3,3,3,3,3,1,10,2,1,7,0,0
195196,U11-010,2022AR11B,Valide,1,1,1,1,1,novote,novote,novote,novote,1,6,6,0,0,0,4
195231,U11-010,2022AR11B,Valide,2,1,1,1,2,2,4,1,2,1,10,5,4,0,1,0
195247,U11-010,2022AR11A,Valide,1,novote,1,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,6
195287,U11-010,2022AR11A,Valide,1,1,2,1,3,2,3,4,1,3,10,4,2,3,1,0
195300,U11-010,2022AR11B,Valide,3,3,1,4,4,4,1,4,4,3,10,2,0,3,5,0
195302,U11-010,2022AR11B,Valide,2,3,1,3,2,3,1,2,2,2,10,2,5,3,0,0
195327,U11-010,2022AR11A,Valide,4,4,1,1,1,1,4,1,2,1,10,6,1,0,3,0
195330,U11-010,2022AR11B,Valide,1,novote,1,novote,novote,novote,novote,1,1,novote,4,4,0,0,0,6
195331,U11-010,2022AR11A,Valide,1,3,2,2,3,3,2,1,2,1,10,3,4,3,0,0
195341,U11-010,2022AR11B,Valide,1,2,1,3,3,2,2,3,3,2,10,2,4,4,0,0
195343,U11-010,2022AR11B,Valide,3,3,2,2,3,1,4,4,3,1,10,2,2,4,2,0
195356,U11-010,2022AR11B,Valide,2,2,2,2,1,2,2,2,2,2,10,1,9,0,0,0
195381,U11-010,2022AR11B,Valide,1,2,1,2,3,1,2,1,2,2,10,4,5,1,0,0
195402,U11-010,2022AR11B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
195417,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
195436,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
195453,U11-010,2022AR11A,Valide,novote,2,1,novote,novote,2,novote,novote,1,1,5,3,2,0,0,5
195489,U11-010,2022AR11B,Valide,3,3,2,1,2,2,3,3,2,1,10,2,4,4,0,0
195518,U11-010,2022AR11B,Valide,1,1,2,2,2,2,1,1,2,2,10,4,6,0,0,0
195585,U11-010,2022AR11A,Valide,2,4,1,4,1,4,3,2,2,2,10,2,4,1,3,0
195587,U11-010,2022AR11A,Valide,1,novote,novote,novote,novote,novote,1,1,novote,1,4,4,0,0,0,6
195588,U11-010,2022AR11B,Valide,2,1,1,1,1,1,2,3,4,2,10,5,3,1,1,0
195590,U11-010,2022AR11B,Valide,novote,1,1,novote,novote,1,novote,novote,novote,1,4,4,0,0,0,6
195593,U11-010,2022AR11A,Valide,1,1,1,1,novote,novote,1,novote,novote,novote,5,5,0,0,0,5
195602,U11-010,2022AR11B,Valide,novote,novote,novote,novote,1,1,2,2,4,3,6,2,2,1,1,4
195618,U11-010,2022AR11A,Valide,1,1,2,2,3,2,2,novote,novote,novote,7,2,4,1,0,3
195621,U11-010,2022AR11B,Valide,3,1,1,1,2,2,1,4,1,1,10,6,2,1,1,0
195642,U11-010,2022AR11B,Valide,3,2,2,1,2,1,4,3,2,1,10,3,4,2,1,0
195646,U11-010,2022AR11B,Valide,2,novote,2,2,novote,1,novote,1,novote,novote,5,2,3,0,0,5
195666,U11-010,2022AR11B,Valide,2,1,1,2,2,2,2,1,2,2,10,3,7,0,0,0
195683,U11-010,2022AR11B,Valide,1,2,2,3,3,1,1,3,2,1,10,4,3,3,0,0
195695,U11-010,2022AR11B,Valide,1,1,1,1,1,1,3,3,1,1,10,8,0,2,0,0
195746,U11-010,2022AR11B,Valide,1,1,1,1,2,3,2,3,1,2,10,5,3,2,0,0
195749,U11-010,2022AR11A,Nul,1,1,1,1,2,3,1,2,1 3,1,9,6,2,1,0,0
195768,U11-010,2022AR11B,Valide,novote,novote,1,novote,novote,novote,1,1,novote,1,4,4,0,0,0,6
195780,U11-010,2022AR11A,Valide,2,2,novote,2,1,novote,4,1,1,3,8,3,3,1,1,2
195781,U11-010,2022AR11A,Valide,novote,novote,1,novote,novote,novote,2,1,1,1,5,4,1,0,0,5
195795,U11-010,2022AR11A,Valide,2,1,2,1,novote,novote,novote,novote,1,1,6,4,2,0,0,4
195826,U11-010,2022AR11A,Valide,1,2,1,2,2,novote,1,4,1,1,9,5,3,0,1,1
195839,U11-010,2022AR11B,Valide,1,1,1,1,3,1,2,3,2,2,10,5,3,2,0,0
195885,U11-010,2022AR11B,Valide,3,3,3,1,4,2,3,4,3,1,10,2,1,5,2,0
195899,U11-010,2022AR11B,Valide,1,2,1,1,4,1,2,3,2,1,10,5,3,1,1,0
195924,U11-010,2022AR11B,Valide,2,3,3,2,3,2,2,4,3,4,10,0,4,4,2,0
195925,U11-010,2022AR11A,Valide,1,3,2,3,3,3,4,1,1,3,10,3,1,5,1,0
195928,U11-010,2022AR11B,Valide,1,1,2,1,1,1,1,1,1,1,10,9,1,0,0,0
195958,U11-010,2022AR11B,Valide,novote,novote,1,2,novote,1,1,2,novote,1,6,4,2,0,0,4
195961,U11-010,2022AR11B,Nul,2,2,novote,2,1 2,2,1,4,2,3,8,1,5,1,1,1
195971,U11-010,2022AR11A,Valide,1,3,1,novote,1,novote,3,2,2,1,8,4,2,2,0,2
195986,U11-010,2022AR11A,Valide,2,1,1,2,2,2,2,2,2,1,10,3,7,0,0,0
196014,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196023,U11-010,2022AR11A,Nul,1,novote,1,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,8
196037,U11-010,2022AR11A,Valide,2,3,1,1,2,2,3,2,3,2,10,2,5,3,0,0
196065,U11-010,2022AR11A,Valide,2,4,1,1,novote,novote,novote,novote,novote,novote,4,2,1,0,1,6
196087,U11-010,2022AR11B,Valide,2,2,1,1,1,1,3,2,2,2,10,4,5,1,0,0
196090,U11-010,2022AR11B,Valide,3,novote,3,1,1,1,4,2,2,4,9,3,2,2,2,1
196096,U11-010,2022AR11A,Valide,3,3,3,2,3,2,3,4,3,4,10,0,2,6,2,0
196099,U11-010,2022AR11A,Valide,1,2,2,2,4,2,4,1,1,3,10,3,4,1,2,0
196163,U11-010,2022AR11B,Valide,3,2,1,2,2,1,2,4,2,2,10,2,6,1,1,0
196164,U11-010,2022AR11A,Valide,1,2,2,2,2,2,4,2,3,2,10,1,7,1,1,0
196176,U11-010,2022AR11B,Valide,2,2,1,2,2,1,novote,1,novote,1,8,4,4,0,0,2
196208,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196242,U11-010,2022AR11B,Valide,2,2,1,2,2,2,3,2,1,1,10,3,6,1,0,0
196243,U11-010,2022AR11B,Valide,3,2,1,1,2,2,1,2,2,1,10,4,5,1,0,0
196245,U11-010,2022AR11B,Valide,novote,3,1,2,1,novote,novote,novote,novote,novote,4,2,1,1,0,6
196247,U11-010,2022AR11B,Valide,4,4,1,1,1,1,4,4,4,4,10,4,0,0,6,0
196272,U11-010,2022AR11A,Valide,2,2,1,2,2,3,2,2,2,1,10,2,7,1,0,0
196281,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196298,U11-010,2022AR11A,Valide,2,3,1,novote,novote,3,novote,novote,novote,1,5,2,1,2,0,5
196317,U11-010,2022AR11A,Valide,2,1,1,1,1,2,3,2,1,2,10,5,4,1,0,0
196338,U11-010,2022AR11A,Valide,3,3,2,2,3,3,2,3,2,1,10,1,4,5,0,0
196350,U11-010,2022AR11B,Valide,1,2,1,2,3,2,3,4,3,1,10,3,3,3,1,0
196353,U11-010,2022AR11A,Nul,2,2,3,novote,1 2,2,3,3,3,novote,7,0,3,4,0,2
196365,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196380,U11-010,2022AR11A,Valide,2,3,1,1,2,2,2,3,1,1,10,4,4,2,0,0
196389,U11-010,2022AR11A,Valide,2,3,2,2,3,2,2,3,2,1,10,1,6,3,0,0
196404,U11-010,2022AR11A,Valide,2,2,2,2,3,2,3,3,2,3,10,0,6,4,0,0
196433,U11-010,2022AR11A,Valide,3,2,2,1,4,1,4,3,4,1,10,3,2,2,3,0
196451,U11-010,2022AR11B,Valide,1,2,1,1,1,1,novote,1,1,1,9,8,1,0,0,1
196472,U11-010,2022AR11B,Valide,1,3,1,2,3,2,2,3,1,2,10,3,4,3,0,0
196480,U11-010,2022AR11A,Valide,1,1,1,4,1,4,1,1,4,1,10,7,0,0,3,0
196491,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196495,U11-010,2022AR11A,Nul,2,novote,2,2,2,2,2,4,2,1 2,8,0,7,0,1,1
196499,U11-010,2022AR11B,Valide,3,2,1,2,2,3,3,2,3,2,10,1,5,4,0,0
196512,U11-010,2022AR11B,Valide,1,3,1,3,2,2,1,1,2,1,10,5,3,2,0,0
196529,U11-010,2022AR11A,Valide,2,2,2,2,2,2,2,2,2,2,10,0,10,0,0,0
196551,U11-010,2022AR11A,Valide,1,2,1,3,2,2,1,1,1,2,10,5,4,1,0,0
196566,U11-010,2022AR11A,Valide,2,1,1,2,2,2,2,2,1,1,10,4,6,0,0,0
196575,U11-010,2022AR11A,Valide,novote,novote,1,novote,novote,novote,1,novote,1,1,4,4,0,0,0,6
196580,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196581,U11-010,2022AR11B,Valide,3,1,1,1,novote,1,4,3,1,1,9,6,0,2,1,1
196593,U11-010,2022AR11A,Valide,2,2,2,2,2,1,2,3,2,2,10,1,8,1,0,0
196596,U11-010,2022AR11A,Valide,1,1,1,2,2,2,4,2,2,1,10,4,5,0,1,0
196603,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196608,U11-010,2022AR11B,Valide,4,3,1,4,4,1,1,2,2,3,10,3,2,2,3,0
196669,U11-010,2022AR11B,Valide,1,1,2,1,2,1,3,novote,2,2,9,4,4,1,0,1
196722,U11-010,2022AR11A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
196729,U11-010,2022AR11B,Valide,2,2,1,1,1,1,3,2,1,1,10,6,3,1,0,0
196749,U11-010,2022AR11B,Valide,2,2,2,2,2,3,1,1,1,3,10,3,5,2,0,0
196753,U11-010,2022AR11B,Valide,2,2,2,1,1,1,2,2,1,2,10,4,6,0,0,0
196755,U11-010,2022AR11B,Valide,1,2,1,3,3,2,2,3,1,4,10,3,3,3,1,0
196780,U11-010,2022AR11A,Valide,1,3,1,1,4,1,1,1,1,1,10,8,0,1,1,0
196783,U11-010,2022AR11B,Valide,2,1,1,1,1,1,1,1,2,1,10,8,2,0,0,0
196786,U11-010,2022AR11B,Valide,1,2,2,2,2,2,4,1,2,1,10,3,6,0,1,0
196806,U11-010,2022AR11A,Valide,1,1,1,1,4,1,4,2,3,2,10,5,2,1,2,0
196812,U11-010,2022AR11A,Valide,2,3,2,3,3,3,3,4,2,1,10,1,3,5,1,0
196839,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196848,U11-010,2022AR11B,Valide,4,4,1,3,3,2,2,4,3,1,10,2,2,3,3,0
196862,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196879,U11-010,2022AR11B,Valide,1,1,1,1,1,1,2,1,1,1,10,9,1,0,0,0
196886,U11-010,2022AR11A,Valide,2,3,2,1,1,2,3,4,3,1,10,3,3,3,1,0
196889,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196908,U11-010,2022AR11A,Valide,3,2,1,2,3,2,3,3,1,1,10,3,3,4,0,0
196910,U11-010,2022AR11B,Valide,1,3,3,2,2,2,1,2,2,4,10,2,5,2,1,0
196962,U11-010,2022AR11B,Valide,novote,1,4,novote,novote,1,novote,novote,4,4,5,2,0,0,3,5
196976,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
196997,U11-010,2022AR11B,Valide,2,2,1,2,2,2,2,3,2,1,10,2,7,1,0,0
196998,U11-010,2022AR11A,Nul,2,2,1,novote,novote,novote,novote,novote,novote,novote,3,1,2,0,0,7
197038,U11-010,2022AR11A,Valide,novote,1,2,novote,novote,3,1,novote,2,novote,5,2,2,1,0,5
197043,U11-010,2022AR11A,Valide,1,2,1,1,2,1,2,2,3,1,10,5,4,1,0,0
197094,U11-010,2022AR11B,Valide,3,2,1,2,2,2,2,3,2,1,10,2,6,2,0,0
197124,U11-010,2022AR11A,Valide,3,novote,novote,2,3,1,4,3,2,2,8,1,3,3,1,2
197129,U11-010,2022AR11A,Nul,novote,novote,1,novote,1,novote,novote,novote,novote,1,3,3,0,0,0,7
197169,U11-010,2022AR11B,Valide,2,1,2,1,2,1,3,1,2,3,10,4,4,2,0,0
197170,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
197173,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
197211,U11-010,2022AR11A,Valide,1,3,1,2,2,2,2,1,2,1,10,4,5,1,0,0
197216,U11-010,2022AR11B,Valide,4,3,2,1,3,1,4,1,2,3,10,3,2,3,2,0
197234,U11-010,2022AR11A,Valide,novote,novote,1,1,novote,1,novote,novote,novote,1,4,4,0,0,0,6
197256,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
197272,U11-010,2022AR11A,Valide,2,2,2,novote,novote,novote,novote,2,2,1,6,1,5,0,0,4
197274,U11-010,2022AR11B,Valide,1,3,1,2,4,1,1,4,3,2,10,4,2,2,2,0
197302,U11-010,2022AR11A,Valide,2,novote,1,1,3,2,4,2,3,1,9,3,3,2,1,1
197366,U11-010,2022AR11B,Valide,3,3,1,2,2,2,3,3,3,1,10,2,3,5,0,0
197368,U11-010,2022AR11A,Valide,2,2,1,1,3,1,2,2,2,1,10,4,5,1,0,0
197373,U11-010,2022AR11B,Valide,1,1,1,1,1,1,4,4,4,1,10,7,0,0,3,0
197381,U11-010,2022AR11A,Valide,2,1,1,1,1,1,1,1,1,3,10,8,1,1,0,0
197450,U11-010,2022AR11B,Valide,3,3,2,2,3,3,4,3,3,3,10,0,2,7,1,0
197466,U11-010,2022AR11B,Valide,2,2,1,2,2,3,4,2,3,2,10,1,6,2,1,0
197483,U11-010,2022AR11A,Valide,2,1,2,3,3,2,3,2,4,3,10,1,4,4,1,0
197485,U11-010,2022AR11A,Valide,novote,novote,1,novote,novote,novote,1,1,novote,1,4,4,0,0,0,6
197514,U11-010,2022AR11B,Valide,2,2,1,1,3,2,2,1,2,1,10,4,5,1,0,0
197516,U11-010,2022AR11B,Valide,novote,novote,1,novote,1,novote,novote,1,1,1,5,5,0,0,0,5
197528,U11-010,2022AR11B,Valide,4,2,2,2,3,2,1,1,1,1,10,4,4,1,1,0
197548,U11-010,2022AR11A,Valide,1,1,1,novote,novote,1,novote,novote,novote,1,5,5,0,0,0,5
197567,U11-010,2022AR11A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,9
197633,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
197643,U11-010,2022AR11A,Valide,2,3,1,2,3,3,4,4,2,1,10,2,3,3,2,0
197675,U11-010,2022AR11B,Valide,2,1,2,1,1,1,2,3,2,1,10,5,4,1,0,0
197686,U11-010,2022AR11B,Valide,2,1,1,1,1,2,3,novote,1,1,9,6,2,1,0,1
197705,U11-010,2022AR11B,Valide,3,3,1,2,3,2,2,1,2,2,10,2,5,3,0,0
197706,U11-010,2022AR11B,Valide,2,2,1,2,2,2,2,2,2,2,10,1,9,0,0,0
197716,U11-010,2022AR11A,Valide,1,1,1,1,2,1,3,1,1,3,10,7,1,2,0,0
197726,U11-010,2022AR11B,Valide,novote,novote,1,2,novote,1,1,4,3,3,7,3,1,2,1,3
197740,U11-010,2022AR11B,Valide,novote,2,3,2,novote,novote,1,novote,2,3,6,1,3,2,0,4
197759,U11-010,2022AR11A,Valide,2,1,1,2,2,1,3,2,2,1,10,4,5,1,0,0
197761,U11-010,2022AR11B,Valide,1,1,1,1,1,1,2,1,1,4,10,8,1,0,1,0
197775,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
197776,U11-010,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
197789,U11-010,2022AR11A,Valide,1,1,1,1,4,1,4,2,3,3,10,5,1,2,2,0
197821,U11-010,2022AR11B,Valide,3,3,1,3,3,2,2,4,2,2,10,1,4,4,1,0
197859,U11-010,2022AR11A,Valide,2,2,1,1,1,1,1,2,2,2,10,5,5,0,0,0
197882,U11-010,2022AR11A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
197884,U11-010,2022AR11B,Valide,2,2,2,1,2,2,1,1,2,1,10,4,6,0,0,0
197921,U11-010,2022AR11B,Valide,1,1,1,1,1,1,1,2,1,2,10,8,2,0,0,0
197961,U11-010,2022AR11A,Valide,2,2,1,1,2,1,2,1,1,1,10,6,4,0,0,0
197998,U11-010,2022AR11A,Valide,2,3,1,1,2,4,1,4,2,1,10,4,3,1,2,0
198000,U11-010,2022AR11A,Valide,2,1,1,2,2,2,3,4,1,2,10,3,5,1,1,0
198008,U11-010,2022AR11A,Valide,1,1,1,1,4,1,4,2,3,3,10,5,1,2,2,0
198043,U11-010,2022AR11A,Valide,1,1,1,2,2,2,2,2,2,1,10,4,6,0,0,0
198055,U11-010,2022AR11B,Valide,1,2,3,1,1,1,1,2,2,3,10,5,3,2,0,0
198056,U11-010,2022AR11B,Valide,2,novote,novote,2,novote,2,novote,1,novote,novote,4,1,3,0,0,6
198059,U11-010,2022AR11A,Valide,2,2,1,2,3,3,4,4,2,2,10,1,5,2,2,0
198081,U11-010,2022AR11B,Valide,3,1,3,3,1,novote,2,3,2,3,9,2,2,5,0,1
198105,U11-010,2022AR11A,Valide,3,2,1,2,2,2,3,1,1,1,10,4,4,2,0,0
198109,U11-010,2022AR11B,Valide,2,1,1,1,1,1,2,2,1,1,10,7,3,0,0,0
198112,U11-010,2022AR11B,Valide,2,3,2,4,4,2,4,3,1,3,10,1,3,3,3,0
198114,U11-010,2022AR11B,Valide,1,1,1,1,novote,1,1,1,1,1,9,9,0,0,0,1
198135,U11-010,2022AR11B,Valide,2,1,1,2,3,2,3,2,2,1,10,3,5,2,0,0
198145,U11-010,2022AR11A,Valide,1,2,1,1,1,1,1,1,1,1,10,9,1,0,0,0
