ID,Urne,QR-Code,Categorie,1 - Developper les stationnements velos dans le 19e,2 - Faciliter les deplacements des pietons et des cyclistes,3 - Marcher et pedaler en toute securite,4 - Destination 2024 : le 19e a l heure du sport,5 - Modernisons nos equipements pour faire du sport ensemble,6 - Faire vivre l inclusion dans le 19e,7 - Soutenons le dynamisme associatif et solidaire de nos quartiers,8 - Rafraichir la ville et promouvoir la biodiversite,"9 - Cours vegetalisees, musique et lecture pour mieux vivre a l ecole",10 - Plus belles nos ecoles : de la nature et du ciel bleu,"11 - Art, patrimoine et couleur : le 19e plus culturel",12 - Embellir et illuminer les rues et jardins de nos quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
195533,U19-031,2022AR19A,Valide,novote,novote,novote,novote,novote,1,1,novote,1,1,novote,novote,4,4,0,0,0,8
195534,U19-031,2022AR19A,Valide,novote,novote,novote,1,novote,1,1,novote,1,novote,novote,2,5,4,1,0,0,7
195579,U19-031,2022AR19A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
195631,U19-031,2022AR19B,Valide,novote,novote,novote,novote,novote,novote,2,1,2,1,2,1,6,3,3,0,0,6
195656,U19-031,2022AR19B,Valide,novote,1,novote,novote,novote,1,1,1,novote,novote,novote,novote,4,4,0,0,0,8
195704,U19-031,2022AR19A,Valide,1,novote,novote,novote,1,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,8
195710,U19-031,2022AR19A,Valide,3,novote,novote,novote,3,novote,1,novote,novote,2,novote,novote,4,1,1,2,0,8
195731,U19-031,2022AR19A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,0,0,0
195759,U19-031,2022AR19A,Valide,3,1,1,1,1,1,1,1,1,1,3,1,12,10,0,2,0,0
195779,U19-031,2022AR19A,Valide,novote,3,novote,3,2,novote,1,novote,novote,novote,novote,novote,4,1,1,2,0,8
195785,U19-031,2022AR19B,Valide,4,4,4,novote,novote,1,1,2,novote,novote,2,novote,7,2,2,0,3,5
195794,U19-031,2022AR19A,Nul,4,1,3,2 4,novote,novote,1,novote,novote,2,2,2,7,2,3,1,1,4
195803,U19-031,2022AR19A,Valide,novote,novote,novote,novote,novote,novote,1,1,1,1,novote,novote,4,4,0,0,0,8
195850,U19-031,2022AR19A,Valide,novote,novote,2,novote,novote,novote,1,novote,2,novote,novote,1,4,2,2,0,0,8
195864,U19-031,2022AR19A,Valide,1,novote,2,3,1,1,4,1,1,2,1,1,11,7,2,1,1,1
195932,U19-031,2022AR19A,Valide,novote,novote,1,novote,novote,1,1,novote,1,novote,1,novote,5,5,0,0,0,7
