ID,Urne,QR-Code,Categorie,1 - Installer du mobilier urbain sur les berges pour les sports de glisse,2 - Rendre l eglise St-Germain l Auxerrois accessible au PMR,3 - Poursuivre la refection des chaussees des Grands Boulevards,4 - Ameliorer le confort et l amenagement d etablissements scolaires,5 - Completer la renovation des arcades de la rue de Rivoli,6 - Ravaler la facade de l eglise St-Nicolas-des-Champs,7 - Rénover le petit tunnel de l ecluse du bassin de l Arsenal,8 - Restaurer la facade et les candelabres de l eglise des Blancs-Manteaux,9 - Restaurer le patrimoine de 3 eglises de Paris Centre,10 - Restaurer le toit et les decors de l eglise Ste-Elisabeth de Hongrie,11 - Restaurer les chapelles de l eglise St-Germain-l Auxerrois,12 - Restaurer les fontaines du Theatre Francais,13 - Restaurer les peintures de 2 eglises et tracer le chemin de Compostelle,14 - Remplacer et renover les bancs de Paris Centre,15 - Renover les reverberes du Louvre,16 - Vegetaliser temporairement la rue Greneta,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
119591,U01-011,2022AR01A,Valide,3,1,3,1,3,4,2,3,3,4,4,3,3,3,4,3,16,2,1,9,4,0
119607,U01-003,2022AR01A,Valide,novote,novote,novote,novote,novote,1,novote,novote,1,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,12
119618,U01-009,2022AR01A,Valide,2,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,1,1,4,3,1,0,0,12
119623,U01-002,2022AR01B,Valide,novote,1,novote,1,novote,novote,novote,novote,1,novote,novote,1,novote,novote,novote,1,5,5,0,0,0,11
119625,U01-003,2022AR01B,Valide,novote,1,novote,1,1,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,12
119628,U01-012,2022AR01A,Nul,2,2,2,1,2,2,2,2,2,2,1 2,2,2,2,1,1,15,3,12,0,0,0
119635,U01-009,2022AR01A,Valide,novote,novote,novote,1,2,novote,1,novote,novote,novote,novote,novote,2,2,novote,1,6,3,3,0,0,10
119647,U01-006,2022AR01B,Valide,1,novote,1,novote,novote,1,novote,novote,1,novote,novote,1,novote,novote,novote,novote,5,5,0,0,0,11
119665,U01-003,2022AR01A,Valide,3,1,novote,1,novote,novote,2,novote,2,novote,novote,novote,novote,2,novote,1,7,3,3,1,0,9
119671,U75-001,2022AR01B,Valide,1,1,2,1,novote,novote,novote,3,3,3,3,2,2,2,3,3,13,3,4,6,0,3
119677,U01-003,2022AR01A,Nul,novote,novote,2,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,3,1,2,0,0,13
119709,U01-003,2022AR01A,Valide,novote,2,novote,novote,novote,novote,1,2,2,novote,novote,1,novote,novote,novote,novote,5,2,3,0,0,11
119712,U75-001,2022AR01B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,novote,1,novote,novote,novote,3,3,0,0,0,13
119722,U01-012,2022AR01A,Valide,2,1,novote,1,novote,novote,novote,novote,novote,novote,novote,2,novote,1,novote,1,6,4,2,0,0,10
119741,U01-011,2022AR01A,Valide,1,2,1,2,1,1,1,1,1,1,2,2,3,2,2,2,16,8,7,1,0,0
119749,U01-003,2022AR01B,Valide,2,1,2,2,2,4,1,2,2,1,novote,2,1,1,2,2,15,5,9,0,1,1
119755,U01-009,2022AR01A,Valide,novote,1,1,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,12
119758,U01-012,2022AR01A,Valide,2,3,1,1,4,4,4,4,novote,4,4,4,4,novote,4,4,14,2,1,1,10,2
119777,U01-012,2022AR01A,Valide,3,1,2,3,3,4,3,4,4,4,4,4,4,4,4,1,16,2,1,4,9,0
119785,U01-006,2022AR01B,Valide,novote,novote,novote,1,1,novote,novote,novote,1,novote,novote,novote,novote,1,novote,novote,4,4,0,0,0,12
119799,U01-012,2022AR01A,Valide,3,2,1,1,2,3,3,2,2,3,3,1,1,1,1,1,16,7,4,5,0,0
119811,U01-008,2022AR01B,Valide,1,3,2,1,2,3,novote,novote,novote,3,novote,novote,3,1,3,3,11,3,2,6,0,5
119813,U01-003,2022AR01A,Valide,novote,1,novote,1,1,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,4,4,0,0,0,12
119819,U75-001,2022AR01A,Valide,3,1,2,1,1,2,2,3,3,3,3,2,3,1,3,2,16,4,5,7,0,0
119837,U01-003,2022AR01A,Valide,novote,1,novote,1,novote,1,1,novote,1,novote,1,1,1,1,1,4,11,10,0,0,1,5
119841,U01-011,2022AR01A,Nul,3,2 3 4,novote,novote,novote,novote,novote,4,4,2,2 4,novote,novote,2,4,novote,6,0,2,1,3,8
119855,U01-003,2022AR01B,Valide,novote,1,novote,1,1,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,12
119861,U01-011,2022AR01A,Valide,3,2,1,2,novote,2,3,3,2,novote,novote,1,2,1,1,2,13,4,6,3,0,3
119869,U01-010,2022AR01A,Valide,2,1,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,4,3,1,0,0,12
119873,U01-003,2022AR01A,Valide,1,novote,novote,1,novote,novote,novote,novote,2,novote,2,novote,novote,novote,novote,novote,4,2,2,0,0,12
119890,U01-012,2022AR01A,Valide,novote,novote,2,1,novote,novote,1,novote,novote,novote,novote,novote,novote,3,novote,novote,4,2,1,1,0,12
119901,U01-006,2022AR01B,Valide,novote,novote,1,novote,novote,novote,1,1,novote,1,novote,novote,1,novote,novote,novote,5,5,0,0,0,11
