ID,Urne,QR-Code,Categorie,1 - Favoriser le lien social et les pratiques artistiques et sportives,2 - Kits pedagogiques pour parler aux enfants des personnes SDF,3 - Lutter contre les inegalites d acces,4 - Securiser et amenager pour favoriser les mobilites douces,5 - Vegetaliser l arrondissement et amenager les parcs et jardins,6 - Doter les ecoles du 18e de davantage d outils numeriques,7 - Creer une ecole des metiers du velo du Grand Paris,8 - Mettre en lumiere les monuments de Chapelle Marx Dormoy,9 - Mettre en valeur l histoire du quartier La Chapelle,10 - Restaurer la fleche de l eglise St-Bernard,11 - Restaurer le patrimoine cultuel,12 - Mettre de la couleur sur les murs,13 - Vegetaliser et ameliorer les lieux publics dans les quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
47730,U75-004,2022AR18B,Valide,4,3,4,3,3,3,novote,1,1,1,1,4,2,12,4,1,4,3,1
50510,U75-005,2022AR18B,Valide,3,1,1,1,1,1,3,4,3,4,2,3,2,13,5,2,4,2,0
50796,U75-005,2022AR18B,Valide,1,1,1,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,9
51627,U75-004,2022AR18B,Valide,1,1,2,2,1,4,4,4,4,4,3,3,1,13,4,2,2,5,0
53361,U75-002,2022AR15B,Valide,4,4,4,2,1 1,1 1 2,1 1 2,2 1 2 3,4 1 2 3,2 1 2,1,novote,1 2 3,5,1,1,0,3,1
53704,U75-002,2022AR18B,Valide,2,1,1,1,1,2,2,2,2,1,1,1,1,13,8,5,0,0,0
53833,U75-004,2022AR18B,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,2,novote,2,2,5,2,3,0,0,8
56369,U75-004,2022AR18B,Valide,2,1,1,1,1,2,1,3,2,4,2,2,1,13,6,5,1,1,0
57148,U75-002,2022AR18B,Valide,1,1,1,1,1,2,3,3,2,3,1,2,1,13,7,3,3,0,0
57459,U75-002,2022AR18B,Valide,1,1,1,3,1,3,4,4,3,4,4,3,1,13,5,0,4,4,0
58040,U75-003,2022AR18B,Valide,1,1,1,3,1,1,2,3,3,3,2,4,1,13,6,2,4,1,0
58363,U75-002,2022AR18B,Valide,2,2,1,1,1,1,3,2,1,3,1,3,1,13,7,3,3,0,0
58710,U75-003,2022AR18B,Valide,2,3,2,2,1,2,3,2,3,2,1,2,1,13,3,7,3,0,0
59133,U75-004,2022AR18B,Valide,1,1,1,novote,1,1,1,novote,1,novote,novote,novote,1,8,8,0,0,0,5
59139,U75-003,2022AR18B,Valide,2,2,1,2,2,2,2,2,1,3,2,2,2,13,2,10,1,0,0
59200,U75-003,2022AR18B,Nul,novote,novote,novote,4,novote,novote,novote,1,novote,novote,novote,novote,1,3,2,0,0,1,10
60004,U75-003,2022AR18B,Valide,2,novote,novote,2,1,novote,3,3,2,novote,novote,2,1,8,2,4,2,0,5
60119,U75-003,2022AR18B,Valide,3,2,4,2,1,novote,4,novote,2,novote,3,2,1,10,2,4,2,2,3
60848,U75-003,2022AR18B,Valide,1,2,novote,2,1,2,novote,novote,novote,novote,novote,novote,2,6,2,4,0,0,7
60989,U75-003,2022AR18B,Valide,2,2,1,1,2,2,2,3,3,3,2,2,1,13,3,7,3,0,0
61142,U75-002,2022AR18B,Valide,1,4,4,4,1,1,4,4,4,4,4,4,1,13,4,0,0,9,0
61266,U75-002,2022AR18B,Valide,2,novote,1,1,2,novote,2,novote,2,novote,novote,novote,1,7,3,4,0,0,6
61432,U75-004,2022AR18B,Valide,1,4,1,1,1,1,3,3,1,3,2,3,1,13,7,1,4,1,0
61653,U75-003,2022AR18B,Valide,1,1,1,1,1,1,1,2,2,1,1,4,novote,12,9,2,0,1,1
62736,U75-003,2022AR18B,Valide,1,2,2,1,1,1,2,1,1,3,2,3,1,13,7,4,2,0,0
62774,U75-003,2022AR18B,Valide,1,1,1,1,1,3,2,2,2,4,2,3,1,13,6,4,2,1,0
63049,U75-003,2022AR18B,Valide,1,novote,2,novote,2,novote,novote,novote,novote,novote,novote,novote,1,4,2,2,0,0,9
63462,U75-003,2022AR18B,Valide,2,2,2,2,1,novote,novote,novote,2,novote,3,3,1,9,2,5,2,0,4
63808,U75-003,2022AR18B,Valide,1,1,1,1,1,1,novote,novote,novote,novote,novote,novote,1,7,7,0,0,0,6
64245,U75-005,2022AR18B,Valide,novote,novote,1,1,1,novote,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
64420,U75-003,2022AR18B,Valide,1,1,1,2,1,1,1,novote,1,3,1,3,1,12,9,1,2,0,1
64592,U75-004,2022AR18B,Valide,3,4,1,1,1,1,3,3,1,3,2,3,1,13,6,1,5,1,0
64607,U75-003,2022AR18B,Valide,4,1,4,1,1,2,3,1,1,1,1,4,1,13,8,1,1,3,0
64692,U75-003,2022AR18B,Valide,1,1,1,3,1,1,3,2,3,novote,2,1,2,12,6,3,3,0,1
64974,U75-002,2022AR18B,Valide,3,4,2,2,2,1,2,4,4,4,3,2,1,13,2,5,2,4,0
65593,U75-002,2022AR18B,Valide,3,3,3,2,1,3,3,1,2,3,2,2,1,13,3,4,6,0,0
65924,U75-004,2022AR18B,Valide,2,2,1,2,1,1,2,2,2,1,1,1,1,13,7,6,0,0,0
66043,U75-003,2022AR18B,Valide,novote,novote,1,novote,1,1,1,4,novote,novote,novote,novote,novote,5,4,0,0,1,8
66191,U75-003,2022AR18B,Valide,1,2,1,1,1,novote,novote,2,2,novote,1,2,1,10,6,4,0,0,3
66468,U75-003,2022AR18B,Valide,novote,novote,novote,novote,1,novote,1,novote,novote,2,2,3,2,6,2,3,1,0,7
66564,U75-003,2022AR18B,Valide,3,3,1,1,1,3,novote,3,3,3,2,3,1,12,4,1,7,0,1
67004,U75-002,2022AR18B,Valide,1,2,1,1,1,1,3,3,1,3,2,3,2,13,6,3,4,0,0
67479,U75-003,2022AR18B,Valide,2,2,2,1,3,2,3,2,2,3,2,2,2,13,1,9,3,0,0
67762,U75-002,2022AR18B,Valide,novote,novote,novote,novote,novote,novote,2,2,2,2,1,1,1,7,3,4,0,0,6
69280,U75-003,2022AR18B,Valide,2,2,2,1,1,1,2,3,2,2,3,2,2,13,3,8,2,0,0
69471,U75-002,2022AR18B,Valide,3,2,4,1,1,4,1,1,1,3,2,1,1,13,7,2,2,2,0
69824,U75-002,2022AR18B,Valide,4,3,3,1,2,2,2,1,1,1,1,4,1,13,6,3,2,2,0
69973,U75-003,2022AR18B,Valide,2,novote,1,2,1,novote,2,1,novote,novote,2,1,novote,8,4,4,0,0,5
70138,U75-003,2022AR18B,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,9
70141,U75-004,2022AR18B,Nul,novote,novote,1,novote,novote,novote,2,novote,novote,novote,novote,1,novote,3,2,1,0,0,10
70157,U75-002,2022AR18B,Valide,2,2,2,2,1,3,4,3,3,3,3,4,1,13,2,4,5,2,0
70409,U75-002,2022AR18B,Valide,novote,1,novote,1,1,novote,1,novote,novote,1,novote,novote,1,6,6,0,0,0,7
70503,U75-003,2022AR18B,Valide,3,2,2,2,2,3,2,4,2,2,2,2,2,13,0,10,2,1,0
70592,U75-002,2022AR18B,Nul,1,1,1,1,1,1,1,1,1,1 4,1,1,1,12,12,0,0,0,0
70694,U75-003,2022AR18B,Nul,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,2,2,0,0,0,11
70955,U75-003,2022AR18B,Valide,3,2,2,1,2,4,2,3,3,3,1,4,2,13,2,5,4,2,0
71121,U75-002,2022AR18B,Valide,1,1,2,1,1,2,3,2,1,3,2,2,1,13,6,5,2,0,0
71182,U75-003,2022AR18B,Nul,1,1,1,2 4,1,1,3,3,3,4,1,4,1,12,7,0,3,2,0
71636,U75-003,2022AR18B,Valide,1,1,1,1,1,1,1,1,1,3,1,3,1,13,11,0,2,0,0
72004,U75-003,2022AR18B,Valide,1,1,1,3,2,1,1,2,1,novote,2,novote,1,11,7,3,1,0,2
72117,U75-004,2022AR18B,Valide,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,1,4,4,0,0,0,9
72410,U75-003,2022AR18B,Valide,novote,2,2,1,novote,novote,4,3,3,4,1,2,2,10,2,4,2,2,3
72449,U75-003,2022AR18B,Valide,2,2,2,2,1,2,4,3,3,2,2,4,2,13,1,8,2,2,0
72594,U75-004,2022AR18B,Valide,2,2,1,1,1,2,3,3,3,4,3,3,1,13,4,3,5,1,0
72696,U75-003,2022AR18B,Valide,4,4,4,1,1,4,4,4,4,4,1,1,1,13,5,0,0,8,0
72803,U75-003,2022AR18B,Valide,1,novote,novote,novote,1,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,9
72847,U75-003,2022AR18B,Valide,1,1,1,1,1,2,2,2,2,2,1,4,3,13,6,5,1,1,0
72970,U75-003,2022AR18B,Valide,1,novote,1,novote,1,1,2,novote,novote,novote,2,1,1,8,6,2,0,0,5
73141,U75-003,2022AR18B,Valide,1,1,1,1,1,1,1,2,1,2,3,2,1,13,9,3,1,0,0
73263,U75-003,2022AR18B,Valide,2,1,1,1,1,2,3,2,2,2,1,3,1,13,6,5,2,0,0
73633,U75-003,2022AR18B,Valide,2,novote,1,2,1,1,3,1,1,3,2,4,2,12,5,4,2,1,1
73699,U75-002,2022AR18B,Valide,2,novote,novote,novote,novote,novote,1,novote,2,novote,2,novote,novote,4,1,3,0,0,9
73737,U75-003,2022AR18B,Valide,3,novote,2,3,1,3,4,3,novote,1,1,4,1,11,4,1,4,2,2
73743,U75-002,2022AR18B,Valide,1,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
73764,U75-003,2022AR18B,Valide,3,3,1,novote,novote,2,4,3,2,3,2,1,1,11,3,3,4,1,2
73792,U75-003,2022AR18B,Valide,3,4,3,2,1,3,4,2,3,novote,2,4,1,12,2,3,4,3,1
73883,U75-003,2022AR18B,Valide,1,1,1,1,1,1,1,1,1,3,1,3,1,13,11,0,2,0,0
74384,U75-003,2022AR18B,Valide,1,1,1,1,1,1,3,4,2,4,1,2,1,13,8,2,1,2,0
74500,U75-003,2022AR18B,Valide,3,3,1,1,1,3,4,4,3,3,1,1,1,13,6,0,5,2,0
74672,U75-003,2022AR18B,Valide,2,2,2,1,1,1,1,1,1,2,2,4,1,13,7,5,0,1,0
74784,U75-003,2022AR18B,Valide,2,2,1,2,2,1,3,1,1,3,2,3,1,13,5,5,3,0,0
74817,U75-003,2022AR18B,Valide,novote,novote,1,novote,1,1,novote,novote,novote,novote,1,novote,novote,4,4,0,0,0,9
74840,U75-003,2022AR18B,Valide,3,4,1,3,2,3,3,4,4,3,3,4,1,13,2,1,6,4,0
74865,U75-003,2022AR18B,Valide,1,3,1,1,1,3,4,2,4,4,2,3,1,13,5,2,3,3,0
74918,U75-002,2022AR18B,Valide,2,3,2,2,3,1,3,3,2,4,2,3,2,13,1,6,5,1,0
74972,U75-002,2022AR18B,Valide,novote,novote,novote,2,1,4,1,novote,novote,novote,novote,1,1,6,4,1,0,1,7
75024,U75-003,2022AR18B,Valide,1,1,1,1,1,1,4,1,1,1,1,4,1,13,11,0,0,2,0
75127,U75-002,2022AR18B,Valide,1,2,2,2,novote,novote,novote,novote,novote,novote,novote,2,2,6,1,5,0,0,7
75487,U75-003,2022AR18B,Valide,1,novote,novote,1,1,1,1,1,1,2,1,2,1,11,9,2,0,0,2
75618,U75-003,2022AR18B,Valide,2,2,2,2,2,2,3,2,3,2,2,4,1,13,1,9,2,1,0
77291,U75-002,2022AR18B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,12
95465,U75-001,2022AR18B,Valide,1,1,1,1,1,1,2,3,3,3,novote,2,1,12,7,2,3,0,1
98394,U75-001,2022AR18B,Valide,1,1,1,1,1,2,1,4,2,2,1,1,1,13,9,3,0,1,0
101026,U75-001,2022AR18B,Valide,2,2,2,1,1,2,1,3,3,3,2,3,1,13,4,5,4,0,0
101601,U75-001,2022AR18B,Valide,1,novote,1,1,1,1,novote,novote,novote,novote,novote,novote,1,6,6,0,0,0,7
103066,U18-010,2022AR18A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,0,0,0,0
103916,U18-010,2022AR18A,Nul,1,novote,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,3,3,0,0,0,10
105142,U18-010,2022AR18A,Valide,1,3,2,3,2,2,3,4,3,3,3,3,2,13,1,4,7,1,0
105442,U18-010,2022AR18A,Valide,3,2,1,1,1,3,2,2,2,2,1,3,1,13,5,5,3,0,0
105529,U18-010,2022AR18A,Valide,2,1,1,2,1,1,3,3,3,3,1,3,1,13,6,2,5,0,0
105610,U18-010,2022AR18A,Valide,3,2,1,1,3,2,4,3,2,4,4,4,3,13,2,3,4,4,0
106236,U18-010,2022AR18A,Valide,2,2,2,2,2,2,novote,novote,novote,novote,novote,novote,novote,6,0,6,0,0,7
106763,U18-010,2022AR18A,Nul,novote,novote,novote,novote,4,novote,4,novote,novote,novote,novote,novote,novote,2,0,0,0,2,11
107321,U18-010,2022AR18A,Valide,novote,novote,1,2,2,1,2,3,3,3,3,2,1,11,3,4,4,0,2
107404,U18-010,2022AR18A,Valide,novote,novote,novote,1,1,novote,1,novote,novote,1,novote,novote,novote,4,4,0,0,0,9
107977,U18-010,2022AR18A,Valide,novote,1,novote,2,1,1,1,2,1,novote,novote,2,1,9,6,3,0,0,4
107990,U18-010,2022AR18A,Valide,1,novote,1,1,1,2,3,3,3,3,3,4,1,12,5,1,5,1,1
108214,U18-010,2022AR18A,Valide,3,1,3,3,1,3,3,1,1,3,3,1,3,13,5,0,8,0,0
108627,U18-010,2022AR18A,Valide,1,3,2,3,2,2,3,4,3,3,3,3,2,13,1,4,7,1,0
108698,U75-001,2022AR18B,Valide,3,4,3,2,3,4,2,2,3,2,3,3,2,13,0,5,6,2,0
108833,U18-010,2022AR18A,Valide,1,1,1,1,2,2,3,2,2,3,2,3,2,13,4,6,3,0,0
108941,U18-010,2022AR18A,Valide,novote,novote,novote,2,2,novote,novote,novote,novote,novote,1,novote,2,4,1,3,0,0,9
108954,U18-010,2022AR18A,Valide,2,2,1,1,1,3,2,2,3,3,3,3,1,13,4,4,5,0,0
109029,U75-001,2022AR18B,Valide,1,1,1,1,1,4,1,4,4,2,1,1,2,13,8,2,0,3,0
109134,U18-010,2022AR18A,Valide,1,4,4,4,1,4,4,4,4,4,1,4,1,13,4,0,0,9,0
109710,U18-010,2022AR18A,Valide,1,1,1,2,2,1,3,2,2,3,2,4,2,13,4,6,2,1,0
109818,U75-001,2022AR18B,Valide,1,1,1,1,1,1,1,novote,1,3,1,2,1,12,10,1,1,0,1
110594,U18-010,2022AR18A,Valide,1,2,1,2,2,1,novote,novote,novote,novote,novote,novote,novote,6,3,3,0,0,7
111079,U18-010,2022AR18A,Valide,1,2,1,1,2,1,1,1,1,1,2,2,1,13,9,4,0,0,0
111181,U18-010,2022AR18A,Valide,1,novote,novote,3,2,novote,novote,novote,novote,novote,novote,2,2,5,1,3,1,0,8
111817,U75-001,2022AR18B,Nul,novote,novote,novote,1,1,novote,1,novote,novote,novote,novote,novote,novote,3,3,0,0,0,10
111939,U18-010,2022AR18A,Nul,1,3,1,2,3,3,1 3,3,4,3,4,3,1,12,3,1,6,2,0
112310,U75-001,2022AR18B,Valide,2,1,1,1,2,1,novote,2,2,3,2,novote,2,11,4,6,1,0,2
112415,U18-009,2022AR18A,Valide,2,2,novote,1,1,1,3,4,3,4,4,2,2,12,3,4,2,3,1
112617,U18-009,2022AR18A,Valide,2,2,2,3,2,1,1,1,2,2,novote,1,1,12,5,6,1,0,1
112648,U18-010,2022AR18A,Valide,1,2,2,2,3,2,2,2,2,3,3,3,3,13,1,7,5,0,0
112789,U18-009,2022AR18A,Valide,2,2,2,1,novote,1,2,novote,novote,novote,novote,2,novote,7,2,5,0,0,6
112810,U18-009,2022AR18A,Nul,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,12
113154,U18-009,2022AR18A,Valide,1,novote,novote,1,1,novote,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,9
113256,U18-010,2022AR18A,Valide,novote,novote,novote,2,1,2,novote,novote,novote,novote,novote,3,2,5,1,3,1,0,8
113368,U18-010,2022AR18A,Valide,1,2,2,3,2,2,3,3,2,3,3,3,2,13,1,6,6,0,0
113489,U18-009,2022AR18A,Valide,novote,novote,1,1,1,1,3,3,3,3,3,3,1,11,5,0,6,0,2
113739,U18-010,2022AR18A,Valide,1,1,1,2,1,1,3,2,3,2,2,3,1,13,6,4,3,0,0
114025,U18-010,2022AR18A,Valide,1,1,1,1,1,1,novote,3,2,3,1,1,1,12,9,1,2,0,1
114086,U18-009,2022AR18A,Valide,4,1,1,4,1,4,4,4,4,4,2,1,novote,12,4,1,0,7,1
114183,U18-009,2022AR18A,Valide,2,2,1,1,1,1,1,2,3,4,3,3,2,13,5,4,3,1,0
114200,U18-009,2022AR18A,Valide,1,3,1,novote,1,1,1,1,1,1,1,1,1,12,11,0,1,0,1
114250,U18-009,2022AR18A,Nul,novote,novote,novote,novote,novote,novote,1 2 3,1 2 3,novote,novote,novote,novote,novote,0,0,0,0,0,11
114347,U18-010,2022AR18A,Valide,2,2,2,2,2,3,3,2,2,3,3,3,1,13,1,7,5,0,0
114532,U18-010,2022AR18A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
114712,U18-010,2022AR18A,Valide,2,2,2,2,2,3,3,3,3,3,3,3,3,13,0,5,8,0,0
114730,U18-009,2022AR18A,Valide,2,2,2,2,2,1,1,3,1,2,2,2,1,13,4,8,1,0,0
114742,U18-009,2022AR18A,Nul,2,novote,novote,1,2,novote,novote,novote,novote,novote,novote,novote,novote,3,1,2,0,0,10
114757,U18-012,2022AR18B,Valide,3,4,3,4,4,4,3,3,3,2,3,4,4,13,0,1,6,6,0
114910,U18-009,2022AR18A,Valide,1,4,1,4,4,1,1,1,1,4,1,4,4,13,7,0,0,6,0
115012,U18-009,2022AR18A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
115039,U18-012,2022AR18B,Valide,1,novote,novote,1,1,1,1,1,novote,novote,1,novote,1,8,8,0,0,0,5
115122,U18-009,2022AR18A,Nul,novote,novote,1 2,novote,1 2,novote,1 2,1 2,novote,novote,novote,novote,novote,0,0,0,0,0,9
115140,U18-009,2022AR18A,Valide,1,2,1,1,1,1,3,3,3,3,3,3,1,13,6,1,6,0,0
115195,U18-012,2022AR18B,Valide,2,novote,novote,novote,1,3,novote,4,novote,novote,novote,novote,novote,4,1,1,1,1,9
115209,U18-009,2022AR18A,Nul,2,2,3,4,4,4,3,3,3,3,2,1 3,3,12,0,3,6,3,0
115264,U18-012,2022AR18B,Valide,1,1,1,1,1,1,1,1,1,1,1,4,1,13,12,0,0,1,0
115410,U18-009,2022AR18A,Valide,1,2,2,1,2,1,2,1,1,2,1,1,1,13,8,5,0,0,0
115413,U18-009,2022AR18A,Valide,1,novote,novote,3,novote,novote,novote,3,novote,novote,1,1,novote,5,3,0,2,0,8
115470,U18-012,2022AR18B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,1,1,0,0,0,12
115534,U18-012,2022AR18B,Valide,novote,novote,novote,novote,novote,1,novote,novote,2,1,2,novote,novote,4,2,2,0,0,9
115550,U18-012,2022AR18B,Valide,2,2,2,2,1,1,2,3,3,3,2,1,1,13,4,6,3,0,0
115556,U18-009,2022AR18A,Valide,novote,novote,novote,2,novote,2,3,novote,novote,novote,novote,3,novote,4,0,2,2,0,9
115589,U18-009,2022AR18A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,9
115602,U18-012,2022AR18B,Valide,3,3,2,2,2,2,3,2,2,2,3,3,2,13,0,8,5,0,0
115691,U18-009,2022AR18A,Valide,novote,1,novote,novote,1,1,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,9
115695,U18-012,2022AR18B,Valide,2,2,2,2,4,3,novote,3,3,novote,2,3,2,11,0,6,4,1,2
115809,U18-012,2022AR18B,Valide,1,2,novote,novote,1,novote,novote,novote,novote,novote,1,novote,novote,4,3,1,0,0,9
115839,U18-012,2022AR18B,Valide,1,1,1,novote,1,2,3,novote,2,1,2,1,1,11,7,3,1,0,2
115852,U18-012,2022AR18B,Valide,novote,novote,novote,1,1,1,2,2,novote,2,1,1,1,9,6,3,0,0,4
115882,U18-009,2022AR18B,Valide,1,3,1,3,2,1,2,3,2,3,1,2,1,13,5,4,4,0,0
115899,U18-012,2022AR18B,Valide,2,1,2,1,2,1,1,2,1,2,2,3,2,13,5,7,1,0,0
115932,U18-009,2022AR18A,Valide,2,2,2,3,1,2,3,2,1,2,2,1,1,13,4,7,2,0,0
116029,U18-012,2022AR18B,Valide,2,2,1,3,1,3,1,3,2,3,3,2,1,13,4,4,5,0,0
116134,U18-009,2022AR18A,Valide,1,novote,2,novote,novote,novote,2,novote,novote,novote,novote,2,novote,4,1,3,0,0,9
116169,U18-009,2022AR18A,Valide,1,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
116205,U18-012,2022AR18B,Valide,2,1,2,1,2,1,1,2,1,2,1,2,1,13,7,6,0,0,0
116290,U18-012,2022AR18B,Valide,2,3,1,1,1,1,3,3,3,3,3,1,1,13,6,1,6,0,0
116321,U18-009,2022AR18A,Valide,1,1,1,1,1,1,novote,novote,novote,novote,novote,novote,novote,6,6,0,0,0,7
116351,U18-012,2022AR18B,Valide,novote,novote,1,1,novote,1,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
116367,U18-012,2022AR18B,Valide,1,3,1,2,1,2,3,4,4,4,novote,2,1,12,4,3,2,3,1
116431,U18-012,2022AR18B,Valide,novote,novote,1,novote,1,novote,novote,novote,novote,1,novote,novote,1,4,4,0,0,0,9
116432,U18-009,2022AR18A,Valide,1,1,1,1,1,1,1,4,2,4,1,1,1,13,10,1,0,2,0
116463,U18-012,2022AR18B,Valide,2,2,novote,2,novote,2,novote,novote,novote,novote,novote,novote,novote,4,0,4,0,0,9
116559,U18-012,2022AR18B,Valide,1,1,1,1,1,1,1,3,1,1,1,1,1,13,12,0,1,0,0
116588,U18-012,2022AR18B,Valide,1,1,1,1,1,1,1,1,1,1,2,1,1,13,12,1,0,0,0
116657,U18-012,2022AR18B,Valide,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,1,1,1,4,4,0,0,0,9
116665,U18-009,2022AR18A,Valide,2,2,1,2,2,1,2,3,2,2,2,3,2,13,2,9,2,0,0
116674,U18-012,2022AR18B,Valide,novote,1,novote,1,novote,novote,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,9
116693,U18-009,2022AR18A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
116737,U18-012,2022AR18B,Valide,1,2,2,2,1,1,1,1,1,novote,2,2,1,12,7,5,0,0,1
116755,U18-012,2022AR18B,Nul,2,2,2,4,1,4,3,3,3,4,2 4,2,1,12,2,4,3,3,0
116840,U18-009,2022AR18A,Nul,1 2,novote,novote,novote,novote,novote,1 2,novote,novote,novote,novote,novote,1 2,0,0,0,0,0,10
116841,U18-012,2022AR18B,Valide,novote,4,novote,novote,4,1,novote,2,2,2,2,novote,novote,7,1,4,0,2,6
116875,U18-012,2022AR18B,Valide,novote,novote,novote,1,1,2,2,novote,novote,novote,novote,novote,novote,4,2,2,0,0,9
116932,U18-012,2022AR18B,Valide,1,novote,novote,novote,1,novote,novote,1,novote,novote,novote,novote,1,4,4,0,0,0,9
117193,U18-012,2022AR18B,Valide,3,3,3,1,1,2,4,3,3,2,3,4,1,13,3,2,6,2,0
117215,U18-012,2022AR18B,Valide,novote,novote,1,novote,1,1,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
117276,U18-012,2022AR18B,Valide,1,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
117325,U18-009,2022AR18A,Valide,1,1,1,1,1,1,1,1,1,1,1,novote,1,12,12,0,0,0,1
117388,U18-012,2022AR18B,Nul,1,4,4,novote,1,2,1,1,2,3 4,3,2,3,11,4,3,2,2,1
117403,U18-012,2022AR18B,Valide,1,1,1,1,1,1,novote,1,1,2,1,1,1,12,11,1,0,0,1
117416,U18-012,2022AR18B,Valide,2,2,1,1,1,3,2,3,3,3,3,novote,1,12,4,3,5,0,1
117455,U75-001,2022AR18B,Valide,1,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
117462,U18-012,2022AR18B,Valide,1,1,1,2,1,1,1,2,2,2,1,1,1,13,9,4,0,0,0
117466,U18-009,2022AR18A,Nul,novote,novote,1 2,novote,1 2,novote,1 2,novote,1 2,novote,novote,novote,novote,0,0,0,0,0,9
117559,U18-012,2022AR18B,Valide,1,2,2,3,1,2,3,3,3,3,3,3,2,13,2,4,7,0,0
117643,U18-012,2022AR18B,Valide,novote,2,novote,novote,2,2,novote,2,2,novote,novote,novote,novote,5,0,5,0,0,8
117709,U18-012,2022AR18B,Valide,2,1,1,2,1,2,2,4,2,2,2,2,1,13,4,8,0,1,0
117790,U18-012,2022AR18B,Valide,novote,novote,novote,1,1,novote,novote,4,novote,novote,novote,novote,1,4,3,0,0,1,9
117930,U18-012,2022AR18B,Valide,novote,1,1,1,novote,novote,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,9
117947,U18-012,2022AR18B,Valide,4,novote,4,4,1,4,4,4,4,4,1,4,1,12,3,0,0,9,1
117980,U18-009,2022AR18A,Valide,1,3,4,3,3,2,3,3,4,3,3,4,4,13,1,1,7,4,0
118053,U18-009,2022AR18A,Nul,novote,novote,novote,novote,1,1,novote,1,novote,novote,novote,novote,novote,3,3,0,0,0,10
118167,U18-012,2022AR18B,Valide,novote,novote,novote,2,2,2,3,3,3,3,3,3,3,10,0,3,7,0,3
118214,U18-012,2022AR18B,Valide,2,2,2,2,2,1,3,1,1,3,3,1,2,13,4,6,3,0,0
118254,U18-009,2022AR18A,Nul,1 2,novote,1 2,novote,1 2,novote,1 2,novote,novote,novote,novote,novote,novote,0,0,0,0,0,9
118399,U18-012,2022AR18B,Nul,novote,novote,1,novote,novote,1,1,novote,novote,novote,novote,novote,novote,3,3,0,0,0,10
118508,U18-009,2022AR18A,Valide,1,2,2,2,3,3,3,2,4,4,3,3,3,13,1,4,6,2,0
118582,U18-012,2022AR18B,Valide,1,1,1,novote,novote,1,novote,novote,novote,novote,novote,1,novote,5,5,0,0,0,8
118678,U18-012,2022AR18B,Valide,1,2,1,2,1,1,2,novote,novote,novote,3,1,2,10,5,4,1,0,3
118809,U18-009,2022AR18B,Valide,1,3,1,3,1,2,3,3,3,3,2,3,1,13,4,2,7,0,0
118815,U18-012,2022AR18B,Valide,2,1,1,1,1,1,3,novote,novote,novote,2,1,1,10,7,2,1,0,3
118965,U18-009,2022AR18A,Valide,1,1,1,1,1,1,2,2,1,2,1,1,1,13,10,3,0,0,0
119048,U18-012,2022AR18B,Valide,1,3,2,2,1,2,1,1,2,2,4,1,2,13,5,6,1,1,0
119205,U18-012,2022AR18B,Valide,1,1,1,1,1,1,1,1,1,1,1,novote,1,12,12,0,0,0,1
119265,U18-012,2022AR18B,Valide,novote,1,novote,novote,novote,1,1,novote,novote,1,novote,novote,1,5,5,0,0,0,8
119580,U18-008,2022AR18A,Valide,2,2,2,2,3,3,novote,2,novote,2,2,2,2,11,0,9,2,0,2
