ID,Urne,QR-Code,Categorie,1 - Favoriser le lien social et les pratiques artistiques et sportives,2 - Kits pedagogiques pour parler aux enfants des personnes SDF,3 - Lutter contre les inegalites d acces,4 - Securiser et amenager pour favoriser les mobilites douces,5 - Vegetaliser l arrondissement et amenager les parcs et jardins,6 - Doter les ecoles du 18e de davantage d outils numeriques,7 - Creer une ecole des metiers du velo du Grand Paris,8 - Mettre en lumiere les monuments de Chapelle Marx Dormoy,9 - Mettre en valeur l histoire du quartier La Chapelle,10 - Restaurer la fleche de l eglise St-Bernard,11 - Restaurer le patrimoine cultuel,12 - Mettre de la couleur sur les murs,13 - Vegetaliser et ameliorer les lieux publics dans les quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
141242,U18-011,2022AR18B,Valide,2,3,2,2,1,1,2,4,3,4,3,4,1,13,3,4,3,3,0
141275,U18-003,2022AR18A,Valide,2,4,3,2,2,4,3,novote,4,novote,novote,3,4,10,0,3,3,4,3
141279,U18-011,2022AR18B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
141300,U18-011,2022AR18B,Valide,1,novote,novote,1,1,novote,novote,2,novote,novote,novote,novote,novote,4,3,1,0,0,9
141322,U18-011,2022AR18B,Valide,novote,novote,1,1,novote,1,1,1,novote,1,1,novote,novote,7,7,0,0,0,6
141324,U18-001,2022AR18B,Valide,1,1,2,1,1,3,1,3,3,3,2,3,1,13,6,2,5,0,0
141350,U18-011,2022AR18B,Valide,novote,novote,novote,novote,novote,novote,1,novote,1,novote,1,1,novote,4,4,0,0,0,9
141357,U18-005,2022AR18A,Valide,novote,1,novote,novote,1,novote,novote,novote,novote,novote,novote,2,1,4,3,1,0,0,9
141366,U18-011,2022AR18B,Valide,novote,3,3,3,1,novote,novote,novote,novote,novote,novote,novote,novote,4,1,0,3,0,9
141384,U18-011,2022AR18B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
141385,U18-012,2022AR18B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
141392,U18-003,2022AR18A,Valide,1,novote,2,1,1,2,3,4,2,4,2,1,1,12,5,4,1,2,1
141410,U18-005,2022AR18A,Nul,4,1,1,1,1,1,1,1,2,3 4,1,4,2,12,8,2,0,2,0
141413,U18-003,2022AR18A,Valide,novote,1,novote,novote,novote,novote,novote,novote,1,novote,novote,1,1,4,4,0,0,0,9
141426,U18-012,2022AR18B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
141428,U18-003,2022AR18A,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,2,2,0,0,0,11
141429,U18-005,2022AR18A,Valide,2,2,2,1,1,1,1,novote,novote,novote,novote,1,novote,8,5,3,0,0,5
141446,U18-012,2022AR18B,Valide,novote,1,1,1,novote,1,1,novote,novote,novote,novote,novote,novote,5,5,0,0,0,8
141449,U18-003,2022AR18A,Valide,2,3,1,1,3,3,1,4,4,3,3,4,2,13,3,2,5,3,0
141465,U18-004,2022AR18B,Valide,3,3,1,1,1,1,3,1,1,4,4,3,1,13,7,0,4,2,0
141469,U18-005,2022AR18A,Valide,1,1,1,1,1,1,3,3,novote,3,3,3,2,12,6,1,5,0,1
141498,U18-001,2022AR18B,Valide,1,4,1,1,1,1,1,4,4,4,4,4,4,13,6,0,0,7,0
