ID,Urne,QR-Code,Categorie,1 - Humanisation de La Peniche du Coeur,2 - Apportons une touche de modernite aux lieux de loisirs du 5e,3 - Embellir et renover les ecoles du 5e,4 - Rendre sa splendeur a l eglise Saint-Severin,5 - Restaurons les oeuvres d art de nos eglises,"6 - Fontaines et piscine, plus de fraicheur dans le 5e",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
2322,U05-003,2022AR05B,Valide,novote,1,1,1,1,1,5,5,0,0,0,1
2325,U05-003,2022AR05B,Valide,1,2,2,1,1,3,6,3,2,1,0,0
2329,U05-003,2022AR05B,Valide,novote,1,1,novote,1,2,4,3,1,0,0,2
2333,U05-003,2022AR05B,Valide,2,2,2,3,3,2,6,0,4,2,0,0
2335,U05-003,2022AR05B,Valide,novote,1,1,3,3,2,5,2,1,2,0,1
2337,U05-003,2022AR05B,Valide,4,4,4,4,1,4,6,1,0,0,5,0
2339,U05-003,2022AR05B,Valide,2,2,1,novote,2,1,5,2,3,0,0,1
2342,U05-003,2022AR05B,Valide,novote,novote,1,2,2,2,4,1,3,0,0,2
2343,U05-003,2022AR05B,Valide,novote,2,2,2,novote,1,4,1,3,0,0,2
2344,U05-003,2022AR05B,Valide,3,3,2,3,3,2,6,0,2,4,0,0
2348,U05-003,2022AR05B,Valide,2,1,novote,2,novote,2,4,1,3,0,0,2
2350,U05-003,2022AR05B,Valide,2,2,2,2,2,2,6,0,6,0,0,0
2352,U05-003,2022AR05B,Valide,1,novote,1,1,novote,1,4,4,0,0,0,2
2354,U05-003,2022AR05B,Valide,1,novote,2,3,novote,1,4,2,1,1,0,2
2356,U05-003,2022AR05B,Valide,2,novote,1,3,novote,2,4,1,2,1,0,2
2358,U05-003,2022AR05B,Valide,4,3,3,4,4,2,6,0,1,2,3,0
2363,U05-003,2022AR05B,Valide,1,3,2,2,2,1,6,2,3,1,0,0
2364,U05-003,2022AR05B,Valide,1,2,2,novote,2,1,5,2,3,0,0,1
2368,U05-003,2022AR05B,Valide,2,novote,1,2,novote,1,4,2,2,0,0,2
2371,U05-003,2022AR05B,Valide,2,1,2,novote,novote,1,4,2,2,0,0,2
2372,U05-003,2022AR05B,Valide,2,3,1,3,2,2,6,1,3,2,0,0
2373,U05-003,2022AR05B,Valide,4,4,4,4,1,4,6,1,0,0,5,0
2374,U05-003,2022AR05B,Valide,1,1,1,1,1,1,6,6,0,0,0,0
2375,U05-003,2022AR05B,Valide,1,1,1,4,4,2,6,3,1,0,2,0
2378,U05-003,2022AR05B,Valide,novote,novote,1,4,4,2,4,1,1,0,2,2
2815,U05-001,2022AR05A,Valide,novote,1,novote,1,1,1,4,4,0,0,0,2
2816,U05-001,2022AR05A,Valide,2,2,2,2,2,2,6,0,6,0,0,0
2819,U05-001,2022AR05A,Valide,2,2,1,3,2,2,6,1,4,1,0,0
2820,U05-001,2022AR05A,Valide,2,1,1,1,1,2,6,4,2,0,0,0
2825,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2829,U05-001,2022AR05A,Valide,1,novote,2,2,novote,4,4,1,2,0,1,2
2831,U05-001,2022AR05A,Valide,3,2,3,3,1,1,6,2,1,3,0,0
2833,U05-001,2022AR05A,Valide,2,4,4,novote,1,novote,4,1,1,0,2,2
2834,U05-001,2022AR05A,Valide,1,2,2,3,3,1,6,2,2,2,0,0
2835,U05-001,2022AR05A,Valide,1,2,2,4,4,4,6,1,2,0,3,0
2836,U05-001,2022AR05A,Valide,1,1,1,1,novote,novote,4,4,0,0,0,2
2837,U05-001,2022AR05A,Valide,novote,1,novote,4,4,2,4,1,1,0,2,2
2838,U05-001,2022AR05A,Valide,1,1,1,4,4,1,6,4,0,0,2,0
2839,U05-001,2022AR05A,Nul,novote,novote,novote,novote,novote,1,1,1,0,0,0,5
2840,U05-001,2022AR05A,Valide,1,novote,1,3,novote,2,4,2,1,1,0,2
2842,U05-001,2022AR05A,Valide,3,1,1,4,4,1,6,3,0,1,2,0
2843,U05-001,2022AR05A,Valide,1,2,2,4,4,3,6,1,2,1,2,0
2844,U05-001,2022AR05A,Valide,4,4,4,4,novote,4,5,0,0,0,5,1
2848,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2850,U05-001,2022AR05A,Valide,3,novote,1,1,1,1,5,4,0,1,0,1
2851,U05-001,2022AR05A,Valide,2,4,novote,1,1,novote,4,2,1,0,1,2
2854,U05-001,2022AR05A,Valide,1,2,3,3,novote,4,5,1,1,2,1,1
2857,U05-001,2022AR05A,Valide,1,2,novote,1,1,novote,4,3,1,0,0,2
2858,U05-001,2022AR05A,Valide,2,2,2,3,4,1,6,1,3,1,1,0
2859,U05-001,2022AR05A,Valide,novote,4,novote,1,2,3,4,1,1,1,1,2
2860,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2861,U05-001,2022AR05A,Valide,1,1,2,novote,novote,1,4,3,1,0,0,2
2862,U05-001,2022AR05A,Valide,1,1,1,4,4,2,6,3,1,0,2,0
2863,U05-001,2022AR05A,Nul,novote,novote,novote,2,novote,2,2,0,2,0,0,4
2864,U05-001,2022AR05A,Valide,1,1,1,1,1,1,6,6,0,0,0,0
2866,U05-001,2022AR05A,Valide,2,3,2,1,3,3,6,1,2,3,0,0
2867,U05-001,2022AR05A,Valide,2,3,2,4,1,3,6,1,2,2,1,0
2869,U05-001,2022AR05A,Valide,novote,3,3,novote,1,3,4,1,0,3,0,2
2872,U05-001,2022AR05A,Valide,novote,3,novote,1,2,3,4,1,1,2,0,2
2873,U05-001,2022AR05A,Valide,3,3,3,1,1,3,6,2,0,4,0,0
2874,U05-001,2022AR05A,Valide,1,1,1,2,2,1,6,4,2,0,0,0
2875,U05-001,2022AR05A,Valide,3,3,1,2,2,2,6,1,3,2,0,0
2876,U05-001,2022AR05A,Valide,2,2,1,novote,novote,2,4,1,3,0,0,2
2877,U05-001,2022AR05A,Valide,2,2,3,3,3,3,6,0,2,4,0,0
2879,U05-001,2022AR05A,Valide,1,novote,1,1,novote,3,4,3,0,1,0,2
2880,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2881,U05-001,2022AR05A,Valide,3,2,2,1,1,3,6,2,2,2,0,0
2885,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2886,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2893,U05-001,2022AR05A,Valide,2,3,1,4,4,2,6,1,2,1,2,0
2897,U05-001,2022AR05A,Valide,1,2,1,novote,novote,1,4,3,1,0,0,2
2898,U05-001,2022AR05A,Valide,novote,4,novote,4,1,4,4,1,0,0,3,2
2899,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2902,U05-001,2022AR05A,Valide,2,2,novote,novote,1,2,4,1,3,0,0,2
2904,U05-001,2022AR05A,Valide,1,1,1,1,1,2,6,5,1,0,0,0
2905,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2906,U05-001,2022AR05A,Valide,3,novote,1,2,novote,2,4,1,2,1,0,2
2907,U05-001,2022AR05A,Valide,4,3,3,4,3,2,6,0,1,3,2,0
2908,U05-001,2022AR05A,Valide,1,2,novote,2,2,1,5,2,3,0,0,1
2910,U05-001,2022AR05A,Valide,4,3,3,2,1,1,6,2,1,2,1,0
2912,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2913,U05-001,2022AR05A,Valide,3,1,1,3,3,2,6,2,1,3,0,0
2915,U05-001,2022AR05A,Valide,1,2,novote,1,1,novote,4,3,1,0,0,2
2917,U05-001,2022AR05A,Valide,3,2,1,3,3,1,6,2,1,3,0,0
2918,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2919,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2921,U05-001,2022AR05A,Valide,1,novote,1,novote,2,1,4,3,1,0,0,2
2922,U05-001,2022AR05A,Valide,2,2,3,3,2,1,6,1,3,2,0,0
2923,U05-001,2022AR05A,Valide,1,2,2,novote,novote,2,4,1,3,0,0,2
2927,U05-001,2022AR05A,Valide,4,4,4,4,1,4,6,1,0,0,5,0
2928,U05-001,2022AR05A,Valide,1,1,2,4,4,4,6,2,1,0,3,0
2929,U05-001,2022AR05A,Valide,1,2,2,4,4,1,6,2,2,0,2,0
2930,U05-001,2022AR05A,Valide,3,4,4,2,2,2,6,0,3,1,2,0
2932,U05-001,2022AR05A,Valide,1,2,2,1,1,1,6,4,2,0,0,0
2933,U05-001,2022AR05A,Valide,2,3,3,1,novote,novote,4,1,1,2,0,2
2934,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2936,U05-001,2022AR05A,Valide,3,1,1,3,3,2,6,2,1,3,0,0
2937,U05-001,2022AR05A,Valide,1,2,1,4,4,3,6,2,1,1,2,0
2938,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2940,U05-001,2022AR05A,Valide,4,4,4,4,1,4,6,1,0,0,5,0
2941,U05-001,2022AR05A,Valide,3,2,3,2,2,3,6,0,3,3,0,0
2943,U05-001,2022AR05A,Valide,3,1,1,3,3,2,6,2,1,3,0,0
2946,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2948,U05-001,2022AR05A,Valide,1,1,1,1,1,1,6,6,0,0,0,0
2950,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2953,U05-001,2022AR05A,Valide,novote,novote,1,4,4,2,4,1,1,0,2,2
2954,U05-001,2022AR05A,Valide,3,1,3,3,4,1,6,2,0,3,1,0
2960,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2962,U05-001,2022AR05A,Valide,2,novote,3,1,2,novote,4,1,2,1,0,2
2965,U05-001,2022AR05A,Valide,1,2,1,novote,novote,1,4,3,1,0,0,2
2966,U05-001,2022AR05A,Valide,1,1,3,3,3,3,6,2,0,4,0,0
2967,U05-001,2022AR05A,Valide,4,2,novote,1,novote,3,4,1,1,1,1,2
2968,U05-001,2022AR05A,Valide,2,2,2,2,2,1,6,1,5,0,0,0
2971,U05-001,2022AR05A,Valide,1,1,1,2,2,1,6,4,2,0,0,0
2974,U05-001,2022AR05A,Valide,1,2,2,3,3,1,6,2,2,2,0,0
2975,U05-001,2022AR05A,Valide,1,novote,novote,1,1,1,4,4,0,0,0,2
2977,U05-001,2022AR05A,Valide,4,3,novote,3,novote,3,4,0,0,3,1,2
2980,U05-001,2022AR05A,Valide,1,3,1,2,3,2,6,2,2,2,0,0
2982,U05-001,2022AR05A,Valide,1,2,1,1,2,1,6,4,2,0,0,0
2983,U05-001,2022AR05A,Valide,3,3,4,2,4,1,6,1,1,2,2,0
2984,U05-001,2022AR05A,Valide,2,novote,3,novote,1,4,4,1,1,1,1,2
2987,U05-001,2022AR05A,Valide,4,4,novote,2,1,novote,4,1,1,0,2,2
2988,U05-001,2022AR05A,Valide,2,2,2,3,3,2,6,0,4,2,0,0
2989,U05-001,2022AR05A,Valide,3,2,1,1,1,1,6,4,1,1,0,0
2990,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2992,U05-001,2022AR05A,Valide,1,2,1,novote,novote,2,4,2,2,0,0,2
2993,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2995,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
2996,U05-001,2022AR05A,Valide,2,novote,1,2,2,1,5,2,3,0,0,1
2999,U05-001,2022AR05A,Valide,1,1,2,1,1,2,6,4,2,0,0,0
3001,U05-001,2022AR05A,Valide,1,3,3,novote,novote,2,4,1,1,2,0,2
3002,U05-001,2022AR05A,Valide,1,1,3,2,3,3,6,2,1,3,0,0
3004,U05-001,2022AR05A,Valide,2,2,1,novote,novote,1,4,2,2,0,0,2
3006,U05-001,2022AR05A,Valide,novote,novote,4,1,1,4,4,2,0,0,2,2
3008,U05-001,2022AR05A,Valide,3,2,3,2,1,2,6,1,3,2,0,0
3011,U05-001,2022AR05A,Valide,2,2,4,3,3,2,6,0,3,2,1,0
3012,U05-001,2022AR05A,Valide,1,1,1,1,3,1,6,5,0,1,0,0
3016,U05-001,2022AR05A,Valide,1,1,1,1,novote,1,5,5,0,0,0,1
3020,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3023,U05-001,2022AR05A,Valide,1,novote,novote,1,1,4,4,3,0,0,1,2
3027,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3028,U05-001,2022AR05A,Valide,1,novote,1,2,2,1,5,3,2,0,0,1
3029,U05-001,2022AR05A,Valide,2,2,3,2,2,4,6,0,4,1,1,0
3033,U05-001,2022AR05A,Valide,1,3,3,3,3,3,6,1,0,5,0,0
3034,U05-001,2022AR05A,Nul,3,novote,1,novote,novote,2,3,1,1,1,0,3
3036,U05-001,2022AR05A,Valide,1,2,2,2,2,2,6,1,5,0,0,0
3037,U05-001,2022AR05A,Valide,1,novote,1,3,2,2,5,2,2,1,0,1
3039,U05-001,2022AR05A,Valide,1,3,2,3,3,1,6,2,1,3,0,0
3040,U05-001,2022AR05A,Valide,3,1,novote,2,1,2,5,2,2,1,0,1
3044,U05-001,2022AR05A,Valide,1,1,2,2,1,1,6,4,2,0,0,0
3048,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3049,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3051,U05-001,2022AR05A,Valide,2,2,novote,novote,1,1,4,2,2,0,0,2
3053,U05-001,2022AR05A,Valide,1,1,novote,1,1,novote,4,4,0,0,0,2
3054,U05-001,2022AR05A,Valide,2,2,2,2,3,1,6,1,4,1,0,0
3056,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3057,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3058,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3062,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3064,U05-001,2022AR05A,Valide,3,2,3,1,2,1,6,2,2,2,0,0
3065,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3066,U05-001,2022AR05A,Valide,1,3,novote,1,2,novote,4,2,1,1,0,2
3067,U05-001,2022AR05A,Valide,1,novote,2,3,2,3,5,1,2,2,0,1
3068,U05-001,2022AR05A,Valide,3,3,1,2,4,1,6,2,1,2,1,0
3069,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3070,U05-001,2022AR05A,Valide,2,3,3,3,3,3,6,0,1,5,0,0
3072,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3074,U05-001,2022AR05A,Nul,2,1,2,1,2,1 2,5,2,3,0,0,0
3075,U05-001,2022AR05A,Valide,2,2,3,2,2,1,6,1,4,1,0,0
3077,U05-001,2022AR05A,Nul,novote,2,novote,novote,novote,novote,1,0,1,0,0,5
3078,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3079,U05-001,2022AR05A,Valide,1,1,1,3,3,3,6,3,0,3,0,0
3081,U05-001,2022AR05A,Valide,1,2,3,4,novote,4,5,1,1,1,2,1
3083,U05-001,2022AR05A,Valide,1,3,3,3,3,2,6,1,1,4,0,0
3085,U05-001,2022AR05A,Nul,2,2,2,1,novote,1 2,4,1,3,0,0,1
3088,U05-001,2022AR05A,Nul,4,3,3,3,novote,1 3,4,0,0,3,1,1
3092,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3096,U05-001,2022AR05A,Valide,1,1,1,novote,novote,2,4,3,1,0,0,2
3098,U05-001,2022AR05A,Valide,2,1,1,1,1,1,6,5,1,0,0,0
3099,U05-001,2022AR05A,Valide,1,3,3,2,3,1,6,2,1,3,0,0
3100,U05-001,2022AR05A,Valide,1,1,1,3,3,1,6,4,0,2,0,0
3101,U05-001,2022AR05A,Valide,novote,4,3,3,1,3,5,1,0,3,1,1
3102,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3104,U05-001,2022AR05A,Valide,1,2,2,2,3,1,6,2,3,1,0,0
3105,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3110,U05-001,2022AR05A,Valide,2,3,1,1,1,1,6,4,1,1,0,0
3111,U05-001,2022AR05A,Valide,3,3,4,novote,1,novote,4,1,0,2,1,2
3112,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3113,U05-001,2022AR05A,Valide,1,novote,2,2,novote,1,4,2,2,0,0,2
3114,U05-001,2022AR05A,Valide,2,novote,2,novote,1,1,4,2,2,0,0,2
3115,U05-001,2022AR05A,Valide,2,2,1,3,3,1,6,2,2,2,0,0
3118,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3120,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3122,U05-001,2022AR05A,Valide,4,3,2,1,2,1,6,2,2,1,1,0
3123,U05-001,2022AR05A,Valide,2,3,3,3,3,4,6,0,1,4,1,0
3124,U05-001,2022AR05A,Valide,3,3,2,1,1,4,6,2,1,2,1,0
3125,U05-001,2022AR05A,Valide,3,novote,novote,1,2,3,4,1,1,2,0,2
3128,U05-001,2022AR05A,Valide,2,3,3,3,3,2,6,0,2,4,0,0
3132,U05-001,2022AR05A,Valide,2,2,3,1,3,2,6,1,3,2,0,0
3134,U05-001,2022AR05A,Valide,3,2,3,4,4,1,6,1,1,2,2,0
3135,U05-001,2022AR05A,Nul,novote,novote,2,novote,novote,novote,1,0,1,0,0,5
3136,U05-001,2022AR05A,Valide,novote,novote,1,1,1,2,4,3,1,0,0,2
3139,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3140,U05-001,2022AR05A,Nul,novote,novote,novote,1,1,novote,2,2,0,0,0,4
3141,U05-001,2022AR05A,Valide,3,novote,novote,1,1,3,4,2,0,2,0,2
3143,U05-001,2022AR05A,Valide,1,1,1,1,1,1,6,6,0,0,0,0
3144,U05-001,2022AR05A,Valide,4,4,4,1,1,1,6,3,0,0,3,0
3145,U05-001,2022AR05A,Valide,2,novote,2,2,novote,2,4,0,4,0,0,2
3148,U05-001,2022AR05A,Valide,1,2,novote,1,1,novote,4,3,1,0,0,2
3151,U05-001,2022AR05A,Valide,1,2,2,2,2,2,6,1,5,0,0,0
3152,U05-001,2022AR05A,Valide,3,2,2,3,3,2,6,0,3,3,0,0
3153,U05-001,2022AR05A,Valide,2,3,novote,4,4,1,5,1,1,1,2,1
3154,U05-001,2022AR05A,Valide,1,1,1,1,4,4,6,4,0,0,2,0
3155,U05-001,2022AR05A,Valide,2,2,1,2,2,1,6,2,4,0,0,0
3157,U05-001,2022AR05A,Valide,novote,novote,2,1,1,2,4,2,2,0,0,2
3158,U05-001,2022AR05A,Valide,3,2,3,3,3,3,6,0,1,5,0,0
3160,U05-001,2022AR05A,Valide,1,novote,1,1,1,novote,4,4,0,0,0,2
3161,U05-001,2022AR05A,Valide,novote,novote,3,1,1,2,4,2,1,1,0,2
3165,U05-001,2022AR05A,Valide,1,2,2,3,3,1,6,2,2,2,0,0
3169,U05-001,2022AR05A,Valide,2,1,1,2,3,2,6,2,3,1,0,0
3170,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3173,U05-001,2022AR05A,Valide,novote,2,1,3,2,2,5,1,3,1,0,1
3175,U05-001,2022AR05A,Valide,1,1,1,novote,2,1,5,4,1,0,0,1
3177,U05-001,2022AR05A,Valide,1,novote,novote,1,1,1,4,4,0,0,0,2
3182,U05-001,2022AR05A,Valide,2,1,1,2,3,2,6,2,3,1,0,0
3183,U05-001,2022AR05A,Valide,novote,novote,3,1,2,4,4,1,1,1,1,2
3185,U05-001,2022AR05A,Valide,1,2,3,novote,2,3,5,1,2,2,0,1
3186,U05-001,2022AR05A,Valide,1,1,1,novote,novote,2,4,3,1,0,0,2
3187,U05-001,2022AR05A,Valide,2,3,2,2,3,3,6,0,3,3,0,0
3192,U05-001,2022AR05A,Nul,2,2,novote,novote,novote,1,3,1,2,0,0,3
3194,U05-001,2022AR05A,Valide,2,2,2,1,novote,2,5,1,4,0,0,1
3198,U05-001,2022AR05A,Valide,1,1,1,2,2,2,6,3,3,0,0,0
3199,U05-001,2022AR05A,Valide,3,3,3,3,3,3,6,0,0,6,0,0
3201,U05-001,2022AR05A,Valide,novote,novote,1,4,4,2,4,1,1,0,2,2
3204,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3205,U05-001,2022AR05A,Valide,4,4,4,1,novote,1,5,2,0,0,3,1
3210,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3213,U05-001,2022AR05A,Valide,2,novote,novote,1,2,4,4,1,2,0,1,2
3214,U05-001,2022AR05A,Valide,novote,2,novote,1,1,3,4,2,1,1,0,2
3215,U05-001,2022AR05A,Valide,2,2,2,1,2,2,6,1,5,0,0,0
3217,U05-001,2022AR05A,Valide,1,1,1,1,1,1,6,6,0,0,0,0
3218,U05-001,2022AR05A,Valide,1,1,1,novote,novote,1,4,4,0,0,0,2
3219,U05-001,2022AR05A,Valide,1,novote,1,1,novote,2,4,3,1,0,0,2
3227,U05-001,2022AR05A,Valide,1,1,1,1,1,1,6,6,0,0,0,0
3228,U05-001,2022AR05A,Valide,1,2,3,4,4,3,6,1,1,2,2,0
3230,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3231,U05-001,2022AR05A,Valide,1,1,1,novote,novote,2,4,3,1,0,0,2
3235,U05-001,2022AR05A,Valide,4,novote,novote,1,1,3,4,2,0,1,1,2
3241,U05-001,2022AR05A,Valide,3,3,3,3,3,2,6,0,1,5,0,0
3242,U05-001,2022AR05A,Valide,2,1,2,novote,2,novote,4,1,3,0,0,2
3248,U05-001,2022AR05A,Valide,1,novote,novote,1,1,1,4,4,0,0,0,2
3249,U05-001,2022AR05A,Valide,2,3,2,4,4,1,6,1,2,1,2,0
3251,U05-001,2022AR05A,Valide,3,4,1,novote,novote,2,4,1,1,1,1,2
3254,U05-001,2022AR05A,Valide,1,3,3,2,1,1,6,3,1,2,0,0
3256,U05-001,2022AR05A,Valide,1,2,3,3,3,2,6,1,2,3,0,0
3257,U05-001,2022AR05A,Valide,4,novote,3,2,1,novote,4,1,1,1,1,2
3258,U05-001,2022AR05A,Valide,2,1,1,3,3,1,6,3,1,2,0,0
3260,U05-001,2022AR05A,Valide,2,1,1,1,2,2,6,3,3,0,0,0
3264,U05-001,2022AR05A,Nul,novote,2,1,novote,novote,2,3,1,2,0,0,3
3265,U05-001,2022AR05A,Valide,1,novote,novote,1,1,1,4,4,0,0,0,2
3268,U05-001,2022AR05A,Valide,4,4,4,3,3,1,6,1,0,2,3,0
3270,U05-001,2022AR05A,Valide,2,1,1,1,1,3,6,4,1,1,0,0
3275,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3276,U05-001,2022AR05A,Valide,2,2,2,2,2,3,6,0,5,1,0,0
3277,U05-001,2022AR05A,Valide,2,2,1,1,2,1,6,3,3,0,0,0
3278,U05-001,2022AR05A,Valide,2,1,1,1,1,1,6,5,1,0,0,0
3283,U05-001,2022AR05A,Nul,1,novote,2,novote,novote,2,3,1,2,0,0,3
3285,U05-001,2022AR05A,Valide,novote,2,1,3,novote,2,4,1,2,1,0,2
3286,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3287,U05-001,2022AR05A,Nul,novote,novote,novote,1,novote,novote,1,1,0,0,0,5
3290,U05-001,2022AR05A,Valide,3,1,1,1,2,1,6,4,1,1,0,0
3291,U05-001,2022AR05A,Valide,2,3,1,3,3,2,6,1,2,3,0,0
3292,U05-001,2022AR05A,Valide,2,2,2,3,3,2,6,0,4,2,0,0
3293,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3294,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3296,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3297,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3298,U05-001,2022AR05A,Valide,3,4,4,2,1,4,6,1,1,1,3,0
3299,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3300,U05-001,2022AR05A,Valide,1,novote,3,1,1,novote,4,3,0,1,0,2
3302,U05-001,2022AR05A,Nul,1,novote,novote,1,1,novote,3,3,0,0,0,3
3303,U05-001,2022AR05A,Valide,3,2,novote,1,1,1,5,3,1,1,0,1
3305,U05-001,2022AR05A,Valide,1,2,4,1,3,1,6,3,1,1,1,0
3306,U05-001,2022AR05A,Valide,novote,3,novote,2,1,3,4,1,1,2,0,2
3307,U05-001,2022AR05A,Nul,2,novote,novote,novote,novote,1,2,1,1,0,0,4
3312,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3314,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3316,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3317,U05-001,2022AR05A,Valide,3,novote,2,1,novote,1,4,2,1,1,0,2
3325,U05-001,2022AR05A,Valide,1,1,1,1,1,1,6,6,0,0,0,0
3326,U05-001,2022AR05A,Valide,1,4,1,2,3,2,6,2,2,1,1,0
3327,U05-001,2022AR05A,Valide,2,3,2,1,1,1,6,3,2,1,0,0
3330,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3332,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3334,U05-001,2022AR05A,Valide,3,2,1,3,2,1,6,2,2,2,0,0
3335,U05-001,2022AR05A,Valide,novote,novote,1,1,1,1,4,4,0,0,0,2
3338,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3339,U05-001,2022AR05A,Valide,novote,2,novote,1,4,3,4,1,1,1,1,2
3340,U05-001,2022AR05A,Valide,1,1,1,1,3,1,6,5,0,1,0,0
3342,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3343,U05-001,2022AR05A,Blanc,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
3345,U05-001,2022AR05A,Valide,2,1,1,2,2,1,6,3,3,0,0,0
3348,U05-001,2022AR05A,Nul,3,novote,novote,novote,novote,novote,1,0,0,1,0,5
3350,U05-001,2022AR05A,Valide,2,2,1,4,3,3,6,1,2,2,1,0
3351,U05-001,2022AR05A,Valide,1,1,1,1,1,1,6,6,0,0,0,0
