ID,Urne,QR-Code,Categorie,1 - Bagagerie solidaire dans le 6e arrondissement,2 - Installation de brumisateurs urbains,3 - Ouverture d un Jardin Partage - Rue du Cherche-Midi,4 - Revelation d un petit jardin - Angle Littre-Vaugirard,5 - Des videoprojecteurs interactifs pour les ecoles du 6e,6 - Dotation aux ecoles de solution de fraicheur,7 - Les jardiniers du Jardinet,8 - Creer un espace scenique ouvert a tous publics et styles,9 - Restaurer le patrimoine cultuel et culturel du 6e arrondissement,10 - Un parc d exercice et de detente canin,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
209,U06-002,2022AR06B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
211,U06-002,2022AR06B,Valide,4,4,2,3,4,4,novote,novote,novote,4,7,0,1,1,5,3
213,U06-002,2022AR06B,Valide,novote,novote,1,novote,4,novote,novote,4,1,novote,4,2,0,0,2,6
215,U06-002,2022AR06B,Valide,1,1,1,1,3,3,3,3,2,4,10,4,1,4,1,0
217,U06-002,2022AR06B,Valide,4,3,1,1,3,1,1,2,2,3,10,4,2,3,1,0
218,U06-002,2022AR06A,Valide,novote,novote,1,1,novote,1,novote,novote,1,novote,4,4,0,0,0,6
222,U06-002,2022AR06A,Valide,novote,novote,novote,novote,1,novote,2,1,2,novote,4,2,2,0,0,6
228,U06-002,2022AR06A,Nul,4,2,3,3,1,2 4,3,4,4,3,9,1,1,4,3,0
229,U06-002,2022AR06B,Valide,novote,1,novote,1,1,1,novote,novote,novote,novote,4,4,0,0,0,6
235,U06-002,2022AR06B,Valide,3,1,4,1,4,4,4,4,3,3,10,2,0,3,5,0
236,U06-002,2022AR06A,Valide,novote,novote,1,1,novote,novote,1,novote,1,novote,4,4,0,0,0,6
239,U06-002,2022AR06B,Valide,novote,novote,2,2,novote,novote,3,novote,1,novote,4,1,2,1,0,6
240,U06-002,2022AR06A,Valide,novote,novote,1,novote,1,1,novote,novote,novote,1,4,4,0,0,0,6
243,U06-002,2022AR06B,Valide,4,4,4,4,1,4,4,4,4,4,10,1,0,0,9,0
245,U06-002,2022AR06B,Valide,1,3,1,2,3,3,2,3,2,2,10,2,4,4,0,0
248,U06-002,2022AR06B,Valide,4,4,4,4,1,4,4,4,4,4,10,1,0,0,9,0
249,U06-002,2022AR06B,Valide,1,1,novote,1,novote,1,novote,novote,novote,novote,4,4,0,0,0,6
251,U06-002,2022AR06B,Valide,2,4,2,2,novote,1,1,novote,novote,2,7,2,4,0,1,3
259,U06-002,2022AR06B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
261,U06-002,2022AR06A,Valide,novote,novote,novote,novote,2,novote,novote,1,1,1,4,3,1,0,0,6
265,U06-002,2022AR06A,Nul,novote,novote,1,1,novote,novote,novote,novote,novote,novote,2,2,0,0,0,8
267,U06-002,2022AR06B,Valide,novote,novote,1,1,1,novote,1,novote,novote,novote,4,4,0,0,0,6
268,U06-002,2022AR06B,Nul,1,novote,1,novote,novote,novote,novote,novote,1,novote,3,3,0,0,0,7
274,U06-002,2022AR06A,Valide,2,2,novote,novote,2,2,novote,novote,3,2,6,0,5,1,0,4
275,U06-002,2022AR06A,Valide,novote,novote,1,novote,novote,1,1,1,novote,novote,4,4,0,0,0,6
276,U06-002,2022AR06B,Valide,1,2,2,3,1,2,1,3,1,1,10,5,3,2,0,0
285,U06-002,2022AR06A,Valide,1,1,1,1,novote,1,novote,1,1,novote,7,7,0,0,0,3
294,U06-002,2022AR06B,Valide,4,2,4,1,3,3,3,1,4,4,10,2,1,3,4,0
297,U06-002,2022AR06B,Valide,2,1,novote,2,4,1,2,1,2,4,9,3,4,0,2,1
298,U06-002,2022AR06B,Nul,novote,novote,novote,2,novote,novote,novote,novote,novote,novote,1,0,1,0,0,9
299,U06-002,2022AR06B,Valide,4,novote,novote,novote,3,novote,2,novote,1,novote,4,1,1,1,1,6
301,U06-002,2022AR06B,Valide,novote,novote,3,1,3,1,1,4,novote,novote,6,3,0,2,1,4
305,U06-002,2022AR06B,Valide,novote,4,3,novote,novote,novote,novote,novote,1,4,4,1,0,1,2,6
306,U06-002,2022AR06B,Valide,2,novote,novote,2,novote,novote,3,novote,1,novote,4,1,2,1,0,6
307,U06-002,2022AR06B,Valide,3,4,3,3,4,4,4,1,1,2,10,2,1,3,4,0
308,U06-002,2022AR06B,Valide,3,3,1,2,1,3,3,1,2,3,10,3,2,5,0,0
315,U06-002,2022AR06B,Valide,2,novote,novote,2,novote,novote,2,novote,1,novote,4,1,3,0,0,6
316,U06-002,2022AR06B,Valide,2,2,1,2,3,2,2,4,2,3,10,1,6,2,1,0
317,U06-002,2022AR06B,Valide,novote,novote,2,2,1,1,novote,novote,novote,novote,4,2,2,0,0,6
