ID,Urne,QR-Code,Categorie,1 - La modernisation du centre sportif Georges Carpentier,2 - Une activite sportive pour toutes et tous !,3 - Maison des Associations et club-house : se retrouver et recevoir !,4 - Vos projets pour faire du partage une valeur commune !,5 - Ameliorer l acces aux outils numeriques dans les ecoles !,6 - Modernisation et renovation de vos Centres Paris Anim,7 - Vegetaliser et rafraichir les cours des ecoles et colleges,8 - Vos projets pour ameliorer le cadre de vie dans nos écoles !,9 - De la place pour les animaux au Parc de Choisy : plus de biodiversite,"10 - Vos micro-quartiers : fresques, jeux, jardins et accessibilite !",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
54461,U13-071,2022AR13B,Valide,4,3,4,4,2,3,1,1,4,3,10,2,1,3,4,0
54477,U13-013,2022AR13B,Valide,3,4,1,4,3,3,3,novote,4,4,9,1,0,4,4,1
54479,U13-003,2022AR13A,Nul,novote,novote,1,1,novote,novote,novote,novote,novote,novote,2,2,0,0,0,8
54486,U13-099,2022AR13A,Valide,1,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,6
54494,U13-013,2022AR13B,Nul,novote,novote,novote,2,1 2,1 2,1 2,novote,1 2,1 2,1,0,1,0,0,4
54498,U13-003,2022AR13A,Valide,1,1,1,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,6
54505,U13-013,2022AR13B,Valide,novote,novote,1,4,4,novote,novote,4,novote,novote,4,1,0,0,3,6
54508,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,2,novote,novote,novote,5,3,1,0,1,5
54519,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,1,novote,novote,5,4,0,0,1,5
54520,U13-001,2022AR13B,Valide,novote,1,novote,2,1,novote,novote,novote,novote,1,4,3,1,0,0,6
54522,U75-005,2022AR13B,Valide,2,2,2,3,2,2,1,2,1,1,10,3,6,1,0,0
54532,U13-001,2022AR13B,Valide,3,2,1,3,2,1,1,1,1,2,10,5,3,2,0,0
54533,U13-044,2022AR13A,Valide,1,1,3,3,1,1,1,1,1,1,10,8,0,2,0,0
54540,U13-013,2022AR13B,Valide,1,2,1,2,1,2,1,1,2,1,10,6,4,0,0,0
54544,U13-026,2022AR13B,Valide,novote,1,novote,novote,novote,1,1,novote,novote,1,4,4,0,0,0,6
54551,U13-013,2022AR13B,Nul,1,novote,novote,2,novote,novote,novote,novote,1,1 2,3,2,1,0,0,6
54552,U13-065,2022AR13A,Valide,3,2,2,3,1,1,1,1,2,3,10,4,3,3,0,0
54555,U13-044,2022AR13A,Nul,novote,novote,novote,novote,2,novote,1,novote,novote,novote,2,1,1,0,0,8
54556,U75-005,2022AR13B,Valide,novote,3,novote,novote,2,novote,1,1,novote,novote,4,2,1,1,0,6
54563,U13-088,2022AR13A,Valide,novote,novote,novote,novote,1,1,1,1,novote,novote,4,4,0,0,0,6
54582,U13-095,2022AR13A,Valide,novote,1,novote,novote,1,2,1,novote,4,novote,5,3,1,0,1,5
54584,U13-013,2022AR13B,Valide,1,novote,4,4,4,4,4,4,4,4,9,1,0,0,8,1
54588,U13-004,2022AR13A,Valide,1,1,1,novote,novote,2,novote,novote,novote,novote,4,3,1,0,0,6
54591,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,novote,novote,4,3,0,0,1,6
54595,U13-001,2022AR13B,Nul,1,novote,1,novote,novote,novote,1,novote,novote,novote,3,3,0,0,0,7
54599,U13-013,2022AR13B,Valide,3,3,1,novote,3,novote,novote,3,novote,3,6,1,0,5,0,4
54606,U13-072,2022AR13A,Valide,1,1,1,2,3,2,1,1,1,1,10,7,2,1,0,0
54619,U13-004,2022AR13A,Valide,2,2,1,novote,2,2,novote,novote,novote,novote,5,1,4,0,0,5
54622,U13-001,2022AR13B,Valide,1,novote,4,novote,3,novote,novote,novote,2,novote,4,1,1,1,1,6
54630,U75-004,2022AR13B,Valide,3,2,1,2,1,novote,1,novote,2,1,8,4,3,1,0,2
54631,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54643,U13-003,2022AR13A,Valide,2,novote,1,3,2,3,2,2,3,3,9,1,4,4,0,1
54645,U13-001,2022AR13B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
54659,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54661,U13-004,2022AR13B,Valide,novote,2,novote,1,2,novote,2,novote,4,novote,5,1,3,0,1,5
54665,U13-067,2022AR13A,Valide,novote,novote,novote,novote,1,novote,1,novote,1,1,4,4,0,0,0,6
54669,U13-013,2022AR13B,Valide,novote,novote,1,2,4,3,novote,novote,1,1,6,3,1,1,1,4
54678,U13-003,2022AR13B,Valide,1,1,1,1,2,novote,novote,novote,novote,1,6,5,1,0,0,4
54680,U13-001,2022AR13B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
54696,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,1,novote,novote,novote,5,4,0,0,1,5
54702,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,4,novote,5,3,0,0,2,5
54704,U13-001,2022AR13B,Valide,3,2,3,2,2,3,3,2,2,2,10,0,6,4,0,0
54707,U13-095,2022AR13A,Valide,1,1,novote,2,1,1,novote,novote,novote,novote,5,4,1,0,0,5
54721,U13-099,2022AR13B,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
54732,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,novote,novote,4,3,0,0,1,6
54736,U13-001,2022AR13B,Valide,2,1,1,1,1,1,1,1,2,2,10,7,3,0,0,0
54747,U13-026,2022AR13A,Nul,novote,novote,novote,1,novote,1,novote,novote,novote,novote,2,2,0,0,0,8
54749,U13-004,2022AR13A,Valide,novote,novote,1,novote,novote,2,2,2,novote,novote,4,1,3,0,0,6
54751,U13-003,2022AR13A,Valide,2,2,1,novote,novote,2,2,novote,2,novote,6,1,5,0,0,4
54752,U13-013,2022AR13B,Valide,4,novote,1,novote,novote,4,novote,4,novote,1,5,2,0,0,3,5
54764,U13-067,2022AR13B,Valide,3,3,3,1,2,3,1,1,2,2,10,3,3,4,0,0
54765,U13-099,2022AR13B,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
54766,U13-035,2022AR13A,Valide,novote,novote,novote,novote,1,1,1,novote,1,novote,4,4,0,0,0,6
54767,U13-013,2022AR13B,Valide,4,4,1,novote,novote,4,4,4,4,4,8,1,0,0,7,2
54772,U13-003,2022AR13A,Valide,1,1,1,4,4,4,2,2,2,4,10,3,3,0,4,0
54773,U13-013,2022AR13B,Valide,novote,novote,1,2,novote,novote,novote,novote,1,1,4,3,1,0,0,6
54777,U13-001,2022AR13B,Valide,1,2,2,1,1,1,2,1,2,1,10,6,4,0,0,0
54783,U13-003,2022AR13B,Valide,1,3,1,1,3,1,1,3,novote,novote,8,5,0,3,0,2
54785,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54788,U13-001,2022AR13B,Valide,1,1,novote,novote,1,novote,1,novote,1,1,6,6,0,0,0,4
54792,U13-030,2022AR13B,Valide,novote,1,novote,novote,1,novote,1,1,novote,novote,4,4,0,0,0,6
54804,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54807,U13-003,2022AR13A,Valide,novote,novote,1,novote,novote,novote,1,1,1,novote,4,4,0,0,0,6
54811,U13-095,2022AR13A,Valide,4,novote,novote,2,1,3,2,3,4,novote,7,1,2,2,2,3
54817,U13-003,2022AR13B,Valide,1,1,1,1,4,4,4,4,4,4,10,4,0,0,6,0
54820,U13-001,2022AR13B,Nul,3,2,novote,novote,novote,2,novote,novote,novote,novote,3,0,2,1,0,7
54827,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54829,U13-013,2022AR13B,Valide,3,novote,1,novote,4,novote,novote,novote,novote,4,4,1,0,1,2,6
54831,U13-099,2022AR13A,Valide,1,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,6
54839,U13-013,2022AR13A,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54842,U13-099,2022AR13B,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
54845,U13-003,2022AR13B,Valide,1,4,1,4,novote,1,novote,4,4,novote,7,3,0,0,4,3
54855,U13-001,2022AR13A,Valide,2,2,2,2,4,1,2,1,2,1,10,3,6,0,1,0
54856,U13-072,2022AR13A,Valide,3,4,3,2,3,3,1,2,3,2,10,1,3,5,1,0
54863,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54864,U13-026,2022AR13B,Valide,novote,1,novote,novote,1,1,1,1,novote,novote,5,5,0,0,0,5
54873,U13-099,2022AR13A,Valide,1,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,6
54884,U13-013,2022AR13B,Valide,novote,novote,1,novote,4,4,novote,4,1,1,6,3,0,0,3,4
54888,U13-026,2022AR13B,Valide,novote,1,novote,novote,novote,1,novote,1,1,novote,4,4,0,0,0,6
54891,U13-013,2022AR13B,Valide,novote,novote,1,2,4,4,4,4,novote,1,7,2,1,0,4,3
54899,U13-001,2022AR13B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
54902,U13-013,2022AR13B,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,1,2,2,0,0,0,8
54904,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,novote,novote,4,3,0,0,1,6
54913,U13-003,2022AR13B,Valide,novote,novote,1,2,novote,novote,novote,novote,3,3,4,1,1,2,0,6
54914,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54924,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54928,U13-037,2022AR13A,Valide,1,2,2,2,2,novote,2,2,2,2,9,1,8,0,0,1
54931,U13-099,2022AR13B,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
54935,U13-013,2022AR13B,Valide,novote,novote,1,novote,4,4,4,4,4,1,7,2,0,0,5,3
54946,U13-003,2022AR13A,Valide,1,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,6
54947,U13-013,2022AR13B,Valide,4,4,1,4,4,novote,3,novote,4,4,8,1,0,1,6,2
54952,U13-071,2022AR13B,Valide,1,2,novote,novote,novote,novote,1,1,novote,novote,4,3,1,0,0,6
54956,U13-013,2022AR13B,Valide,4,4,4,4,4,4,4,4,4,4,10,0,0,0,10,0
54965,U13-013,2022AR13B,Valide,4,4,2,4,4,4,4,4,4,4,10,0,1,0,9,0
54968,U13-013,2022AR13A,Valide,4,4,4,4,4,4,4,1,4,4,10,1,0,0,9,0
54969,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,novote,novote,4,3,0,0,1,6
54982,U13-013,2022AR13B,Valide,2,4,1,4,novote,novote,novote,novote,novote,novote,4,1,1,0,2,6
54984,U75-004,2022AR13B,Valide,3,1,1,3,2,2,1,3,1,2,10,4,3,3,0,0
54991,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
54994,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,novote,novote,4,3,0,0,1,6
54995,U13-071,2022AR13B,Valide,4,4,2,3,3,novote,1,2,1,2,9,2,3,2,2,1
54996,U13-001,2022AR13B,Valide,novote,novote,novote,novote,3,1,1,1,novote,novote,4,3,0,1,0,6
54997,U13-088,2022AR13A,Valide,1,1,2,2,1,1,1,1,4,1,10,7,2,0,1,0
55000,U13-013,2022AR13B,Valide,novote,novote,1,novote,novote,novote,4,2,3,4,5,1,1,1,2,5
55012,U13-013,2022AR13B,Valide,novote,novote,novote,novote,4,4,4,4,1,1,6,2,0,0,4,4
55019,U13-099,2022AR13A,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55024,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55029,U13-019,2022AR13B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
55030,U13-072,2022AR13A,Nul,novote,novote,novote,novote,1,novote,1,novote,novote,novote,2,2,0,0,0,8
55041,U13-099,2022AR13A,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55044,U13-013,2022AR13B,Valide,3,novote,1,3,2,novote,novote,novote,novote,1,5,2,1,2,0,5
55047,U75-004,2022AR13B,Valide,1,1,1,1,2,2,1,1,1,novote,9,7,2,0,0,1
55052,U13-001,2022AR13B,Valide,2,novote,1,novote,novote,novote,novote,1,1,novote,4,3,1,0,0,6
55063,U13-013,2022AR13B,Valide,novote,novote,1,novote,novote,novote,4,4,novote,1,4,2,0,0,2,6
55065,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,novote,novote,4,3,0,0,1,6
55073,U13-001,2022AR13B,Valide,3,1,2,3,2,3,2,3,3,2,10,1,4,5,0,0
55074,U13-013,2022AR13B,Valide,novote,novote,novote,2,4,4,4,novote,novote,1,5,1,1,0,3,5
55086,U13-013,2022AR13B,Valide,novote,novote,1,novote,novote,novote,4,4,4,4,5,1,0,0,4,5
55094,U13-013,2022AR13B,Valide,novote,novote,1,novote,novote,novote,4,novote,4,4,4,1,0,0,3,6
55095,U13-003,2022AR13A,Valide,1,2,1,4,2,1,2,3,3,3,10,3,3,3,1,0
55098,U13-001,2022AR13B,Valide,2,1,1,2,3,3,1,1,1,2,10,5,3,2,0,0
55107,U13-029,2022AR13A,Valide,4,1,2,3,2,2,2,2,3,4,10,1,5,2,2,0
55111,U13-001,2022AR13B,Valide,novote,novote,1,1,novote,2,novote,novote,novote,3,4,2,1,1,0,6
55115,U13-029,2022AR13A,Valide,3,3,3,4,3,3,1,2,1,3,10,2,1,6,1,0
55126,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55128,U13-044,2022AR13A,Valide,2,2,2,2,2,2,1,2,1,1,10,3,7,0,0,0
55129,U13-003,2022AR13B,Valide,1,1,1,novote,novote,novote,novote,2,novote,2,5,3,2,0,0,5
55132,U13-099,2022AR13A,Nul,1,novote,1,novote,novote,1,novote,novote,novote,novote,3,3,0,0,0,7
55134,U13-013,2022AR13B,Valide,3,novote,1,novote,3,3,3,3,3,3,8,1,0,7,0,2
55139,U13-095,2022AR13A,Valide,novote,novote,novote,novote,1,novote,1,novote,4,4,4,2,0,0,2,6
55143,U13-001,2022AR13B,Valide,1,1,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,6
55148,U13-013,2022AR13B,Valide,novote,novote,1,novote,novote,4,novote,novote,1,1,4,3,0,0,1,6
55149,U13-029,2022AR13A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
55155,U13-041,2022AR13A,Valide,novote,novote,novote,novote,1,1,1,1,novote,novote,4,4,0,0,0,6
55161,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,novote,novote,4,3,0,0,1,6
55165,U13-001,2022AR13B,Valide,2,2,3,2,2,1,1,1,3,1,10,4,4,2,0,0
55167,U75-005,2022AR13B,Valide,2,1,1,1,2,2,1,2,3,1,10,5,4,1,0,0
55171,U13-037,2022AR13A,Valide,novote,novote,novote,1,1,novote,1,novote,1,novote,4,4,0,0,0,6
55176,U13-099,2022AR13A,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55178,U13-026,2022AR13B,Valide,novote,novote,3,2,4,1,2,novote,novote,2,6,1,3,1,1,4
55185,U13-099,2022AR13B,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55189,U13-013,2022AR13B,Valide,novote,3,1,novote,novote,3,novote,3,novote,novote,4,1,0,3,0,6
55197,U13-001,2022AR13B,Valide,novote,1,novote,2,2,novote,2,novote,novote,1,5,2,3,0,0,5
55200,U75-005,2022AR13B,Valide,novote,1,novote,novote,1,novote,1,1,novote,novote,4,4,0,0,0,6
55201,U13-013,2022AR13B,Valide,4,4,1,novote,4,4,4,4,4,4,9,1,0,0,8,1
55204,U13-071,2022AR13A,Valide,3,3,4,3,1,2,1,1,4,3,10,3,1,4,2,0
55231,U13-072,2022AR13A,Valide,1,1,1,1,1,1,1,1,novote,novote,8,8,0,0,0,2
55242,U13-013,2022AR13B,Valide,novote,novote,1,1,4,4,4,4,1,1,8,4,0,0,4,2
55244,U13-001,2022AR13B,Valide,1,1,2,3,1,1,2,1,2,1,10,6,3,1,0,0
55247,U13-013,2022AR13B,Valide,4,4,1,3,4,4,4,4,4,4,10,1,0,1,8,0
55253,U13-072,2022AR13A,Nul,3,4,3,2 3,3,3,1,2,3,2,9,1,2,5,1,0
55265,U13-013,2022AR13B,Valide,4,4,1,4,novote,novote,novote,novote,novote,novote,4,1,0,0,3,6
55266,U13-001,2022AR13B,Valide,novote,1,novote,novote,novote,novote,1,1,novote,1,4,4,0,0,0,6
55269,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55271,U13-004,2022AR13B,Valide,4,novote,1,2,novote,4,novote,novote,novote,2,5,1,2,0,2,5
55277,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55287,U13-099,2022AR13A,Nul,1,novote,1,novote,novote,1,novote,novote,novote,novote,3,3,0,0,0,7
55294,U13-003,2022AR13A,Valide,1,novote,1,4,1,novote,3,novote,novote,novote,5,3,0,1,1,5
55298,U13-001,2022AR13A,Valide,novote,novote,1,1,novote,novote,4,1,1,novote,5,4,0,0,1,5
55301,U13-013,2022AR13B,Valide,novote,novote,novote,novote,novote,4,novote,3,1,1,4,2,0,1,1,6
55310,U13-095,2022AR13A,Valide,1,1,novote,novote,1,3,1,novote,novote,novote,5,4,0,1,0,5
55317,U13-044,2022AR13A,Valide,1,1,2,1,1,1,1,1,2,1,10,8,2,0,0,0
55318,U13-003,2022AR13A,Valide,1,1,1,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,6
55325,U13-003,2022AR13A,Valide,novote,novote,1,1,novote,novote,novote,novote,1,1,4,4,0,0,0,6
55331,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55333,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,4,novote,5,3,0,0,2,5
55349,U13-030,2022AR13B,Valide,1,1,1,1,novote,1,novote,novote,4,1,7,6,0,0,1,3
55351,U13-099,2022AR13A,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55361,U13-001,2022AR13B,Valide,2,2,1,1,2,3,2,2,1,2,10,3,6,1,0,0
55363,U75-005,2022AR13B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
55368,U13-003,2022AR13B,Valide,1,4,1,4,3,1,1,3,3,4,10,4,0,3,3,0
55369,U13-095,2022AR13A,Valide,novote,1,novote,novote,1,novote,1,1,novote,novote,4,4,0,0,0,6
55373,U13-013,2022AR13B,Valide,novote,novote,1,2,novote,3,novote,novote,novote,1,4,2,1,1,0,6
55386,U75-005,2022AR13B,Valide,1,1,3,3,2,4,1,1,2,2,10,4,3,2,1,0
55393,U13-013,2022AR13B,Nul,novote,novote,1,2,1 2 4,1 2 4,1 2 4,4,1 2,1 2,3,1,1,0,1,2
55394,U13-095,2022AR13A,Valide,1,1,novote,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,6
55398,U18-083,2022AR13A,Valide,2,1,3,3,1,2,2,2,3,3,10,2,4,4,0,0
55400,U13-001,2022AR13B,Valide,2,1,3,1,1,2,1,2,3,3,10,4,3,3,0,0
55406,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55424,U13-001,2022AR13B,Valide,2,2,1,2,2,1,2,1,4,2,10,3,6,0,1,0
55427,U13-013,2022AR13B,Valide,novote,novote,1,novote,4,3,4,3,4,1,7,2,0,2,3,3
55438,U13-013,2022AR13B,Valide,novote,novote,1,1,4,3,novote,4,novote,1,6,3,0,1,2,4
55439,U13-072,2022AR13A,Valide,3,2,2,2,1,2,1,1,novote,2,9,3,5,1,0,1
55447,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55455,U13-013,2022AR13B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,9
55462,U13-004,2022AR13B,Valide,3,3,1,2,2,3,1,2,3,2,10,2,4,4,0,0
55466,U13-003,2022AR13B,Valide,novote,novote,1,4,novote,1,1,novote,novote,novote,4,3,0,0,1,6
55469,U13-099,2022AR13B,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55474,U13-013,2022AR13B,Valide,4,novote,1,novote,4,4,4,4,novote,1,7,2,0,0,5,3
55477,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,novote,novote,4,3,0,0,1,6
55478,U13-013,2022AR13B,Valide,2,3,1,novote,novote,novote,novote,3,novote,novote,4,1,1,2,0,6
55480,U13-099,2022AR13A,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55486,U13-003,2022AR13A,Valide,1,novote,1,novote,novote,1,novote,novote,4,novote,4,3,0,0,1,6
55489,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55493,U13-071,2022AR13B,Valide,1,1,1,2,2,1,3,1,3,1,10,6,2,2,0,0
55497,U13-003,2022AR13A,Valide,novote,novote,novote,novote,novote,novote,1,1,1,1,4,4,0,0,0,6
55500,U13-013,2022AR13B,Valide,novote,novote,1,novote,novote,4,4,4,4,1,6,2,0,0,4,4
55503,U75-005,2022AR13B,Valide,2,2,2,2,2,2,2,2,3,3,10,0,8,2,0,0
55504,U13-029,2022AR13A,Valide,3,2,2,3,3,3,1,1,4,4,10,2,2,4,2,0
55511,U13-013,2022AR13B,Valide,novote,novote,1,novote,4,4,4,novote,1,1,6,3,0,0,3,4
55514,U13-099,2022AR13A,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55518,U13-067,2022AR13B,Valide,novote,novote,novote,novote,1,1,1,1,4,novote,5,4,0,0,1,5
55526,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55535,U13-088,2022AR13B,Valide,novote,novote,novote,novote,1,1,1,1,novote,novote,4,4,0,0,0,6
55542,U13-026,2022AR13B,Valide,novote,novote,novote,novote,1,1,novote,1,4,novote,4,3,0,0,1,6
55543,U13-003,2022AR13B,Valide,novote,novote,1,1,2,3,1,novote,1,1,7,5,1,1,0,3
55552,U13-013,2022AR13B,Nul,novote,novote,novote,2,3,3 4,novote,novote,1,1,4,2,1,1,0,5
55556,U13-026,2022AR13B,Nul,novote,2,novote,1,novote,1,novote,novote,novote,novote,3,2,1,0,0,7
55561,U13-001,2022AR13B,Valide,2,2,3,3,3,3,2,2,2,1,10,1,5,4,0,0
55564,U13-013,2022AR13B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,9
55572,U13-001,2022AR13B,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
55576,U13-035,2022AR13A,Valide,novote,novote,novote,novote,1,novote,2,2,2,novote,4,1,3,0,0,6
55585,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55587,U13-072,2022AR13A,Valide,novote,novote,novote,novote,1,novote,1,1,4,novote,4,3,0,0,1,6
55597,U13-072,2022AR13A,Valide,2,2,3,2,1,1,1,2,2,2,10,3,6,1,0,0
55600,U13-003,2022AR13A,Valide,4,4,1,4,4,4,1,1,1,4,10,4,0,0,6,0
55605,U13-099,2022AR13A,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55618,U13-013,2022AR13A,Valide,1,novote,1,novote,4,4,novote,novote,novote,novote,4,2,0,0,2,6
55630,U13-013,2022AR13B,Valide,novote,novote,1,novote,4,4,4,novote,novote,1,5,2,0,0,3,5
55649,U13-099,2022AR13A,Valide,1,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,6
55682,U13-001,2022AR13B,Valide,1,1,2,2,1,3,1,1,3,1,10,6,2,2,0,0
55705,U75-002,2022AR13B,Valide,1,novote,1,novote,novote,novote,1,novote,novote,1,4,4,0,0,0,6
55722,U13-026,2022AR13B,Valide,2,2,3,2,2,2,novote,2,2,2,9,0,8,1,0,1
55723,U13-035,2022AR13B,Nul,novote,novote,1,1 2,1,novote,1,novote,2,1,5,4,1,0,0,4
55725,U13-001,2022AR13B,Valide,3,3,3,3,3,2,2,2,2,2,10,0,5,5,0,0
55730,U13-013,2022AR13B,Valide,novote,novote,1,2,novote,novote,novote,novote,1,1,4,3,1,0,0,6
55733,U13-013,2022AR13B,Valide,4,4,1,4,novote,4,novote,4,novote,4,7,1,0,0,6,3
55743,U13-004,2022AR13A,Valide,novote,novote,1,novote,novote,novote,1,1,1,1,5,5,0,0,0,5
55744,U13-013,2022AR13B,Valide,4,novote,1,2,novote,4,novote,4,novote,1,6,2,1,0,3,4
55749,U13-001,2022AR13B,Valide,1,1,1,1,novote,1,1,1,novote,1,8,8,0,0,0,2
55752,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,4,novote,5,3,0,0,2,5
55756,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55758,U13-001,2022AR13B,Valide,4,novote,1,novote,novote,novote,3,3,novote,novote,4,1,0,2,1,6
55775,U13-013,2022AR13B,Valide,4,novote,1,2,3,3,novote,4,4,4,8,1,1,2,4,2
55780,U13-099,2022AR13A,Nul,1,novote,1,novote,novote,1,novote,novote,novote,novote,3,3,0,0,0,7
55782,U13-003,2022AR13A,Valide,1,novote,1,4,novote,1,novote,novote,novote,novote,4,3,0,0,1,6
55792,U13-003,2022AR13A,Valide,novote,1,1,novote,1,novote,novote,1,novote,novote,4,4,0,0,0,6
55793,U13-099,2022AR13A,Valide,1,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,6
55795,U13-013,2022AR13B,Valide,4,3,1,4,4,4,4,4,4,4,10,1,0,1,8,0
55808,U13-013,2022AR13B,Valide,novote,novote,1,2,4,4,4,novote,2,1,7,2,2,0,3,3
55816,U13-099,2022AR13A,Valide,1,novote,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,6
55819,U13-013,2022AR13B,Valide,4,4,1,4,4,4,4,4,4,4,10,1,0,0,9,0
55829,U13-013,2022AR13B,Nul,4,4,1,novote,novote,novote,novote,novote,novote,novote,3,1,0,0,2,7
55834,U13-013,2022AR13B,Valide,novote,novote,1,2,4,4,4,4,1,1,8,3,1,0,4,2
55838,U13-099,2022AR13B,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55849,U13-001,2022AR13B,Valide,novote,novote,novote,2,novote,novote,1,1,novote,2,4,2,2,0,0,6
55850,U13-013,2022AR13B,Valide,novote,novote,1,novote,novote,novote,4,4,4,4,5,1,0,0,4,5
55860,U13-099,2022AR13A,Valide,1,4,1,4,4,1,4,4,4,4,10,3,0,0,7,0
55861,U13-013,2022AR13B,Valide,3,4,1,4,novote,4,novote,3,3,3,8,1,0,4,3,2
55862,U13-004,2022AR13B,Valide,novote,novote,1,novote,novote,2,2,2,novote,novote,4,1,3,0,0,6
