ID,Urne,QR-Code,Categorie,1 - La modernisation du centre sportif Georges Carpentier,2 - Une activite sportive pour toutes et tous !,3 - Maison des Associations et club-house : se retrouver et recevoir !,4 - Vos projets pour faire du partage une valeur commune !,5 - Ameliorer l acces aux outils numeriques dans les ecoles !,6 - Modernisation et renovation de vos Centres Paris Anim,7 - Vegetaliser et rafraichir les cours des ecoles et colleges,8 - Vos projets pour ameliorer le cadre de vie dans nos écoles !,9 - De la place pour les animaux au Parc de Choisy : plus de biodiversite,"10 - Vos micro-quartiers : fresques, jeux, jardins et accessibilite !",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
19587,U13-032,2022AR13A,Valide,novote,novote,novote,novote,novote,novote,1,1,1,1,4,4,0,0,0,6
19678,U13-085,2022AR13A,Valide,1,2,2,3,1,2,1,1,3,3,10,4,3,3,0,0
19713,U13-047,2022AR13A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
19728,U13-079,2022AR13B,Nul,novote,2,novote,novote,novote,novote,2,novote,2,novote,3,0,3,0,0,7
19742,U13-085,2022AR13A,Valide,novote,1,novote,novote,1,novote,1,1,novote,novote,4,4,0,0,0,6
19767,U13-051,2022AR13B,Valide,novote,novote,novote,novote,novote,2,2,2,novote,1,4,1,3,0,0,6
19770,U13-032,2022AR13A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
19827,U13-079,2022AR13B,Valide,novote,1,novote,novote,1,novote,1,novote,1,novote,4,4,0,0,0,6
19864,U13-081,2022AR13A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
19905,U13-085,2022AR13A,Valide,novote,novote,novote,novote,1,novote,1,1,1,novote,4,4,0,0,0,6
19911,U13-032,2022AR13A,Valide,novote,2,novote,1,novote,novote,novote,novote,1,1,4,3,1,0,0,6
19912,U13-081,2022AR13A,Valide,1,2,3,novote,2,3,2,2,3,3,9,1,4,4,0,1
19955,U13-085,2022AR13A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
19970,U13-085,2022AR13A,Valide,novote,novote,novote,novote,1,1,1,1,novote,novote,4,4,0,0,0,6
19991,U13-081,2022AR13A,Nul,1,novote,novote,2,2,novote,novote,novote,novote,novote,3,1,2,0,0,7
20008,U13-081,2022AR13A,Nul,1,1,novote,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,8
20043,U13-032,2022AR13A,Nul,novote,novote,novote,1,novote,2,novote,novote,novote,novote,2,1,1,0,0,8
20054,U13-051,2022AR13B,Valide,novote,1,novote,1,novote,1,1,1,novote,1,6,6,0,0,0,4
20103,U13-079,2022AR13B,Valide,novote,1,novote,novote,1,novote,1,novote,1,novote,4,4,0,0,0,6
20105,U13-032,2022AR13A,Valide,1,1,novote,novote,1,novote,novote,1,novote,novote,4,4,0,0,0,6
20115,U13-047,2022AR13A,Valide,1,novote,novote,novote,1,novote,2,novote,2,1,5,3,2,0,0,5
20162,U13-031,2022AR13B,Valide,3,4,4,4,4,4,3,3,1,2,10,1,1,3,5,0
20165,U13-032,2022AR13A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
